FIPS,POPCENSUS2010,POPESTIMATE2019,STATE,COUNTY
1001,54571,55869,Alabama,Autauga County
1003,182265,223234,Alabama,Baldwin County
1005,27457,24686,Alabama,Barbour County
1007,22915,22394,Alabama,Bibb County
1009,57322,57826,Alabama,Blount County
1011,10914,10101,Alabama,Bullock County
1013,20947,19448,Alabama,Butler County
1015,118572,113605,Alabama,Calhoun County
1017,34215,33254,Alabama,Chambers County
1019,25989,26196,Alabama,Cherokee County
1021,43643,44428,Alabama,Chilton County
1023,13859,12589,Alabama,Choctaw County
1025,25833,23622,Alabama,Clarke County
1027,13932,13235,Alabama,Clay County
1029,14972,14910,Alabama,Cleburne County
1031,49948,52342,Alabama,Coffee County
1033,54428,55241,Alabama,Colbert County
1035,13228,12067,Alabama,Conecuh County
1037,11539,10663,Alabama,Coosa County
1039,37765,37049,Alabama,Covington County
1041,13906,13772,Alabama,Crenshaw County
1043,80406,83768,Alabama,Cullman County
1045,50251,49172,Alabama,Dale County
1047,43820,37196,Alabama,Dallas County
1049,71109,71513,Alabama,DeKalb County
1051,79303,81209,Alabama,Elmore County
1053,38319,36633,Alabama,Escambia County
1055,104430,102268,Alabama,Etowah County
1057,17241,16302,Alabama,Fayette County
1059,31704,31362,Alabama,Franklin County
1061,26790,26271,Alabama,Geneva County
1063,9045,8111,Alabama,Greene County
1065,15760,14651,Alabama,Hale County
1067,17302,17205,Alabama,Henry County
1069,101547,105882,Alabama,Houston County
1071,53227,51626,Alabama,Jackson County
1073,658466,658573,Alabama,Jefferson County
1075,14564,13805,Alabama,Lamar County
1077,92709,92729,Alabama,Lauderdale County
1079,34339,32924,Alabama,Lawrence County
1081,140247,164542,Alabama,Lee County
1083,82782,98915,Alabama,Limestone County
1085,11299,9726,Alabama,Lowndes County
1087,21452,18068,Alabama,Macon County
1089,334811,372909,Alabama,Madison County
1091,21027,18863,Alabama,Marengo County
1093,30776,29709,Alabama,Marion County
1095,93019,96774,Alabama,Marshall County
1097,412992,413210,Alabama,Mobile County
1099,23068,20733,Alabama,Monroe County
1101,229363,226486,Alabama,Montgomery County
1103,119490,119679,Alabama,Morgan County
1105,10591,8923,Alabama,Perry County
1107,19746,19930,Alabama,Pickens County
1109,32899,33114,Alabama,Pike County
1111,22913,22722,Alabama,Randolph County
1113,52947,57961,Alabama,Russell County
1115,83593,89512,Alabama,St. Clair County
1117,195085,217702,Alabama,Shelby County
1119,13763,12427,Alabama,Sumter County
1121,82291,79978,Alabama,Talladega County
1123,41616,40367,Alabama,Tallapoosa County
1125,194656,209355,Alabama,Tuscaloosa County
1127,67023,63521,Alabama,Walker County
1129,17581,16326,Alabama,Washington County
1131,11670,10373,Alabama,Wilcox County
1133,24484,23629,Alabama,Winston County
2013,3141,3337,Alaska,Aleutians East Borough
2016,5561,5634,Alaska,Aleutians West Census Area
2020,291826,288000,Alaska,Anchorage Municipality
2050,17013,18386,Alaska,Bethel Census Area
2060,997,836,Alaska,Bristol Bay Borough
2068,1826,2097,Alaska,Denali Borough
2070,4847,4916,Alaska,Dillingham Census Area
2090,97581,96849,Alaska,Fairbanks North Star Borough
2100,2508,2530,Alaska,Haines Borough
2105,2150,2148,Alaska,Hoonah-Angoon Census Area
2110,31275,31974,Alaska,Juneau City and Borough
2122,55400,58708,Alaska,Kenai Peninsula Borough
2130,13477,13901,Alaska,Ketchikan Gateway Borough
2150,13592,12998,Alaska,Kodiak Island Borough
2158,7459,8314,Alaska,Kusilvak Census Area
2164,1631,1592,Alaska,Lake and Peninsula Borough
2170,88995,108317,Alaska,Matanuska-Susitna Borough
2180,9492,10004,Alaska,Nome Census Area
2185,9430,9832,Alaska,North Slope Borough
2188,7523,7621,Alaska,Northwest Arctic Borough
2195,3815,3266,Alaska,Petersburg Borough
2198,5559,6203,Alaska,Prince of Wales-Hyder Census Area
2220,8881,8493,Alaska,Sitka City and Borough
2230,968,1183,Alaska,Skagway Municipality
2240,7029,6893,Alaska,Southeast Fairbanks Census Area
2261,9636,9202,Alaska,Valdez-Cordova Census Area
2275,2369,2502,Alaska,Wrangell City and Borough
2282,662,579,Alaska,Yakutat City and Borough
2290,5588,5230,Alaska,Yukon-Koyukuk Census Area
4001,71518,71887,Arizona,Apache County
4003,131346,125922,Arizona,Cochise County
4005,134421,143476,Arizona,Coconino County
4007,53597,54018,Arizona,Gila County
4009,37220,38837,Arizona,Graham County
4011,8437,9498,Arizona,Greenlee County
4012,20489,21108,Arizona,La Paz County
4013,3817117,4485414,Arizona,Maricopa County
4015,200186,212181,Arizona,Mohave County
4017,107449,110924,Arizona,Navajo County
4019,980263,1047279,Arizona,Pima County
4021,375770,462789,Arizona,Pinal County
4023,47420,46498,Arizona,Santa Cruz County
4025,211033,235099,Arizona,Yavapai County
4027,195751,213787,Arizona,Yuma County
5001,19019,17486,Arkansas,Arkansas County
5003,21853,19657,Arkansas,Ashley County
5005,41513,41932,Arkansas,Baxter County
5007,221339,279141,Arkansas,Benton County
5009,36903,37432,Arkansas,Boone County
5011,11508,10763,Arkansas,Bradley County
5013,5368,5189,Arkansas,Calhoun County
5015,27446,28380,Arkansas,Carroll County
5017,11800,10118,Arkansas,Chicot County
5019,22995,22320,Arkansas,Clark County
5021,16083,14551,Arkansas,Clay County
5023,25970,24919,Arkansas,Cleburne County
5025,8689,7956,Arkansas,Cleveland County
5027,24552,23457,Arkansas,Columbia County
5029,21273,20846,Arkansas,Conway County
5031,96443,110332,Arkansas,Craighead County
5033,61948,63257,Arkansas,Crawford County
5035,50902,47955,Arkansas,Crittenden County
5037,17870,16419,Arkansas,Cross County
5039,8116,7009,Arkansas,Dallas County
5041,13008,11361,Arkansas,Desha County
5043,18509,18219,Arkansas,Drew County
5045,113237,126007,Arkansas,Faulkner County
5047,18125,17715,Arkansas,Franklin County
5049,12245,12477,Arkansas,Fulton County
5051,96024,99386,Arkansas,Garland County
5053,17853,18265,Arkansas,Grant County
5055,42090,45325,Arkansas,Greene County
5057,22609,21532,Arkansas,Hempstead County
5059,32923,33771,Arkansas,Hot Spring County
5061,13789,13202,Arkansas,Howard County
5063,36647,37825,Arkansas,Independence County
5065,13696,13629,Arkansas,Izard County
5067,17997,16719,Arkansas,Jackson County
5069,77435,66824,Arkansas,Jefferson County
5071,25540,26578,Arkansas,Johnson County
5073,7645,6624,Arkansas,Lafayette County
5075,17415,16406,Arkansas,Lawrence County
5077,10424,8857,Arkansas,Lee County
5079,14134,13024,Arkansas,Lincoln County
5081,13171,12259,Arkansas,Little River County
5083,22353,21466,Arkansas,Logan County
5085,68356,73309,Arkansas,Lonoke County
5087,15717,16576,Arkansas,Madison County
5089,16653,16694,Arkansas,Marion County
5091,43462,43257,Arkansas,Miller County
5093,46480,40651,Arkansas,Mississippi County
5095,8149,6701,Arkansas,Monroe County
5097,9487,8986,Arkansas,Montgomery County
5099,8997,8252,Arkansas,Nevada County
5101,8330,7753,Arkansas,Newton County
5103,26120,23382,Arkansas,Ouachita County
5105,10445,10455,Arkansas,Perry County
5107,21757,17782,Arkansas,Phillips County
5109,11291,10718,Arkansas,Pike County
5111,24583,23528,Arkansas,Poinsett County
5113,20662,19964,Arkansas,Polk County
5115,61754,64072,Arkansas,Pope County
5117,8715,8062,Arkansas,Prairie County
5119,382748,391911,Arkansas,Pulaski County
5121,17969,17958,Arkansas,Randolph County
5123,28258,24994,Arkansas,St. Francis County
5125,107118,122437,Arkansas,Saline County
5127,11233,10281,Arkansas,Scott County
5129,8195,7881,Arkansas,Searcy County
5131,125744,127827,Arkansas,Sebastian County
5133,17058,17007,Arkansas,Sevier County
5135,17264,17442,Arkansas,Sharp County
5137,12394,12506,Arkansas,Stone County
5139,41639,38682,Arkansas,Union County
5141,17295,16545,Arkansas,Van Buren County
5143,203065,239187,Arkansas,Washington County
5145,77076,78753,Arkansas,White County
5147,7260,6320,Arkansas,Woodruff County
5149,22185,21341,Arkansas,Yell County
6001,1510271,1671329,California,Alameda County
6003,1175,1129,California,Alpine County
6005,38091,39752,California,Amador County
6007,220000,219186,California,Butte County
6009,45578,45905,California,Calaveras County
6011,21419,21547,California,Colusa County
6013,1049025,1153526,California,Contra Costa County
6015,28610,27812,California,Del Norte County
6017,181058,192843,California,El Dorado County
6019,930450,999101,California,Fresno County
6021,28122,28393,California,Glenn County
6023,134623,135558,California,Humboldt County
6025,174528,181215,California,Imperial County
6027,18546,18039,California,Inyo County
6029,839631,900202,California,Kern County
6031,152982,152940,California,Kings County
6033,64665,64386,California,Lake County
6035,34895,30573,California,Lassen County
6037,9818605,10039107,California,Los Angeles County
6039,150865,157327,California,Madera County
6041,252409,258826,California,Marin County
6043,18251,17203,California,Mariposa County
6045,87841,86749,California,Mendocino County
6047,255793,277680,California,Merced County
6049,9686,8841,California,Modoc County
6051,14202,14444,California,Mono County
6053,415057,434061,California,Monterey County
6055,136484,137744,California,Napa County
6057,98764,99755,California,Nevada County
6059,3010232,3175692,California,Orange County
6061,348432,398329,California,Placer County
6063,20007,18807,California,Plumas County
6065,2189641,2470546,California,Riverside County
6067,1418788,1552058,California,Sacramento County
6069,55269,62808,California,San Benito County
6071,2035210,2180085,California,San Bernardino County
6073,3095313,3338330,California,San Diego County
6075,805235,881549,California,San Francisco County
6077,685306,762148,California,San Joaquin County
6079,269637,283111,California,San Luis Obispo County
6081,718451,766573,California,San Mateo County
6083,423895,446499,California,Santa Barbara County
6085,1781642,1927852,California,Santa Clara County
6087,262382,273213,California,Santa Cruz County
6089,177223,180080,California,Shasta County
6091,3240,3005,California,Sierra County
6093,44900,43539,California,Siskiyou County
6095,413344,447643,California,Solano County
6097,483878,494336,California,Sonoma County
6099,514453,550660,California,Stanislaus County
6101,94737,96971,California,Sutter County
6103,63463,65084,California,Tehama County
6105,13786,12285,California,Trinity County
6107,442179,466195,California,Tulare County
6109,55365,54478,California,Tuolumne County
6111,823318,846006,California,Ventura County
6113,200849,220500,California,Yolo County
6115,72155,78668,California,Yuba County
8001,441603,517421,Colorado,Adams County
8003,15445,16233,Colorado,Alamosa County
8005,572003,656590,Colorado,Arapahoe County
8007,12084,14029,Colorado,Archuleta County
8009,3788,3581,Colorado,Baca County
8011,6499,5577,Colorado,Bent County
8013,294567,326196,Colorado,Boulder County
8014,55889,70465,Colorado,Broomfield County
8015,17809,20356,Colorado,Chaffee County
8017,1836,1831,Colorado,Cheyenne County
8019,9088,9700,Colorado,Clear Creek County
8021,8256,8205,Colorado,Conejos County
8023,3524,3887,Colorado,Costilla County
8025,5823,6061,Colorado,Crowley County
8027,4255,5068,Colorado,Custer County
8029,30952,31162,Colorado,Delta County
8031,600158,727211,Colorado,Denver County
8033,2064,2055,Colorado,Dolores County
8035,285465,351154,Colorado,Douglas County
8037,52197,55127,Colorado,Eagle County
8039,23086,26729,Colorado,Elbert County
8041,622263,720403,Colorado,El Paso County
8043,46824,47839,Colorado,Fremont County
8045,56389,60061,Colorado,Garfield County
8047,5441,6243,Colorado,Gilpin County
8049,14843,15734,Colorado,Grand County
8051,15324,17462,Colorado,Gunnison County
8053,843,820,Colorado,Hinsdale County
8055,6711,6897,Colorado,Huerfano County
8057,1394,1392,Colorado,Jackson County
8059,534543,582881,Colorado,Jefferson County
8061,1398,1406,Colorado,Kiowa County
8063,8270,7097,Colorado,Kit Carson County
8065,7310,8127,Colorado,Lake County
8067,51334,56221,Colorado,La Plata County
8069,299630,356899,Colorado,Larimer County
8071,15507,14506,Colorado,Las Animas County
8073,5467,5701,Colorado,Lincoln County
8075,22709,22409,Colorado,Logan County
8077,146723,154210,Colorado,Mesa County
8079,712,769,Colorado,Mineral County
8081,13795,13283,Colorado,Moffat County
8083,25535,26183,Colorado,Montezuma County
8085,41276,42758,Colorado,Montrose County
8087,28159,29068,Colorado,Morgan County
8089,18831,18278,Colorado,Otero County
8091,4436,4952,Colorado,Ouray County
8093,16206,18845,Colorado,Park County
8095,4442,4265,Colorado,Phillips County
8097,17148,17767,Colorado,Pitkin County
8099,12551,12172,Colorado,Prowers County
8101,159063,168424,Colorado,Pueblo County
8103,6666,6324,Colorado,Rio Blanco County
8105,11982,11267,Colorado,Rio Grande County
8107,23509,25638,Colorado,Routt County
8109,6108,6824,Colorado,Saguache County
8111,699,728,Colorado,San Juan County
8113,7359,8179,Colorado,San Miguel County
8115,2379,2248,Colorado,Sedgwick County
8117,27994,31011,Colorado,Summit County
8119,23350,25388,Colorado,Teller County
8121,4814,4908,Colorado,Washington County
8123,252825,324492,Colorado,Weld County
8125,10043,10019,Colorado,Yuma County
9001,916829,943332,Connecticut,Fairfield County
9003,894014,891720,Connecticut,Hartford County
9005,189927,180333,Connecticut,Litchfield County
9007,165676,162436,Connecticut,Middlesex County
9009,862477,854757,Connecticut,New Haven County
9011,274055,265206,Connecticut,New London County
9013,152691,150721,Connecticut,Tolland County
9015,118428,116782,Connecticut,Windham County
10001,162310,180786,Delaware,Kent County
10003,538479,558753,Delaware,New Castle County
10005,197145,234225,Delaware,Sussex County
11001,601723,705749,District of Columbia,District of Columbia
12001,247336,269043,Florida,Alachua County
12003,27115,29210,Florida,Baker County
12005,168852,174705,Florida,Bay County
12007,28520,28201,Florida,Bradford County
12009,543376,601942,Florida,Brevard County
12011,1748066,1952778,Florida,Broward County
12013,14625,14105,Florida,Calhoun County
12015,159978,188910,Florida,Charlotte County
12017,141236,149657,Florida,Citrus County
12019,190865,219252,Florida,Clay County
12021,321520,384902,Florida,Collier County
12023,67531,71686,Florida,Columbia County
12027,34862,38001,Florida,DeSoto County
12029,16422,16826,Florida,Dixie County
12031,864263,957755,Florida,Duval County
12033,297619,318316,Florida,Escambia County
12035,95696,115081,Florida,Flagler County
12037,11549,12125,Florida,Franklin County
12039,46389,45660,Florida,Gadsden County
12041,16939,18582,Florida,Gilchrist County
12043,12884,13811,Florida,Glades County
12045,15863,13639,Florida,Gulf County
12047,14799,14428,Florida,Hamilton County
12049,27731,26937,Florida,Hardee County
12051,39140,42022,Florida,Hendry County
12053,172778,193920,Florida,Hernando County
12055,98786,106221,Florida,Highlands County
12057,1229226,1471968,Florida,Hillsborough County
12059,19927,19617,Florida,Holmes County
12061,138028,159923,Florida,Indian River County
12063,49746,46414,Florida,Jackson County
12065,14761,14246,Florida,Jefferson County
12067,8870,8422,Florida,Lafayette County
12069,297052,367118,Florida,Lake County
12071,618754,770577,Florida,Lee County
12073,275487,293582,Florida,Leon County
12075,40801,41503,Florida,Levy County
12077,8365,8354,Florida,Liberty County
12079,19224,18493,Florida,Madison County
12081,322833,403253,Florida,Manatee County
12083,331298,365579,Florida,Marion County
12085,146318,161000,Florida,Martin County
12086,2496435,2716940,Florida,Miami-Dade County
12087,73090,74228,Florida,Monroe County
12089,73314,88625,Florida,Nassau County
12091,180822,210738,Florida,Okaloosa County
12093,39996,42168,Florida,Okeechobee County
12095,1145956,1393452,Florida,Orange County
12097,268685,375751,Florida,Osceola County
12099,1320134,1496770,Florida,Palm Beach County
12101,464697,553947,Florida,Pasco County
12103,916542,974996,Florida,Pinellas County
12105,602095,724777,Florida,Polk County
12107,74364,74521,Florida,Putnam County
12109,190039,264672,Florida,St. Johns County
12111,277789,328297,Florida,St. Lucie County
12113,151372,184313,Florida,Santa Rosa County
12115,379448,433742,Florida,Sarasota County
12117,422718,471826,Florida,Seminole County
12119,93420,132420,Florida,Sumter County
12121,41551,44417,Florida,Suwannee County
12123,22570,21569,Florida,Taylor County
12125,15535,15237,Florida,Union County
12127,494593,553284,Florida,Volusia County
12129,30776,33739,Florida,Wakulla County
12131,55043,74071,Florida,Walton County
12133,24896,25473,Florida,Washington County
13001,18236,18386,Georgia,Appling County
13003,8375,8165,Georgia,Atkinson County
13005,11096,11164,Georgia,Bacon County
13007,3451,3038,Georgia,Baker County
13009,45720,44890,Georgia,Baldwin County
13011,18395,19234,Georgia,Banks County
13013,69367,83240,Georgia,Barrow County
13015,100157,107738,Georgia,Bartow County
13017,17634,16700,Georgia,Ben Hill County
13019,19286,19397,Georgia,Berrien County
13021,155547,153159,Georgia,Bibb County
13023,13063,12873,Georgia,Bleckley County
13025,18411,19109,Georgia,Brantley County
13027,16243,15457,Georgia,Brooks County
13029,30233,39627,Georgia,Bryan County
13031,70217,79608,Georgia,Bulloch County
13033,23316,22383,Georgia,Burke County
13035,23655,24936,Georgia,Butts County
13037,6694,6189,Georgia,Calhoun County
13039,50513,54666,Georgia,Camden County
13043,10998,10803,Georgia,Candler County
13045,110527,119992,Georgia,Carroll County
13047,63942,67580,Georgia,Catoosa County
13049,12171,13392,Georgia,Charlton County
13051,265128,289430,Georgia,Chatham County
13053,11267,10907,Georgia,Chattahoochee County
13055,26015,24789,Georgia,Chattooga County
13057,214346,258773,Georgia,Cherokee County
13059,116714,128331,Georgia,Clarke County
13061,3183,2834,Georgia,Clay County
13063,259424,292256,Georgia,Clayton County
13065,6798,6618,Georgia,Clinch County
13067,688078,760141,Georgia,Cobb County
13069,42356,43273,Georgia,Coffee County
13071,45498,45600,Georgia,Colquitt County
13073,124053,156714,Georgia,Columbia County
13075,17212,17270,Georgia,Cook County
13077,127317,148509,Georgia,Coweta County
13079,12630,12404,Georgia,Crawford County
13081,23439,22372,Georgia,Crisp County
13083,16633,16116,Georgia,Dade County
13085,22330,26108,Georgia,Dawson County
13087,27842,26404,Georgia,Decatur County
13089,691893,759297,Georgia,DeKalb County
13091,21796,20605,Georgia,Dodge County
13093,14918,13390,Georgia,Dooly County
13095,94565,87956,Georgia,Dougherty County
13097,132403,146343,Georgia,Douglas County
13099,11008,10190,Georgia,Early County
13101,4034,4006,Georgia,Echols County
13103,52250,64296,Georgia,Effingham County
13105,20166,19194,Georgia,Elbert County
13107,22598,22646,Georgia,Emanuel County
13109,11000,10654,Georgia,Evans County
13111,23682,26188,Georgia,Fannin County
13113,106567,114421,Georgia,Fayette County
13115,96317,98498,Georgia,Floyd County
13117,175511,244252,Georgia,Forsyth County
13119,22084,23349,Georgia,Franklin County
13121,920581,1063937,Georgia,Fulton County
13123,28292,31369,Georgia,Gilmer County
13125,3082,2971,Georgia,Glascock County
13127,79626,85292,Georgia,Glynn County
13129,55186,57963,Georgia,Gordon County
13131,25011,24633,Georgia,Grady County
13133,15994,18324,Georgia,Greene County
13135,805321,936250,Georgia,Gwinnett County
13137,43041,45328,Georgia,Habersham County
13139,179684,204441,Georgia,Hall County
13141,9429,8457,Georgia,Hancock County
13143,28780,29792,Georgia,Haralson County
13145,32024,35236,Georgia,Harris County
13147,25213,26205,Georgia,Hart County
13149,11834,11923,Georgia,Heard County
13151,203922,234561,Georgia,Henry County
13153,139900,157863,Georgia,Houston County
13155,9538,9416,Georgia,Irwin County
13157,60485,72977,Georgia,Jackson County
13159,13900,14219,Georgia,Jasper County
13161,15068,15115,Georgia,Jeff Davis County
13163,16930,15362,Georgia,Jefferson County
13165,8340,8676,Georgia,Jenkins County
13167,9980,9643,Georgia,Johnson County
13169,28669,28735,Georgia,Jones County
13171,18317,19077,Georgia,Lamar County
13173,10078,10423,Georgia,Lanier County
13175,48434,47546,Georgia,Laurens County
13177,28298,29992,Georgia,Lee County
13179,63453,61435,Georgia,Liberty County
13181,7996,7921,Georgia,Lincoln County
13183,14464,19559,Georgia,Long County
13185,109233,117406,Georgia,Lowndes County
13187,29966,33610,Georgia,Lumpkin County
13189,21875,21312,Georgia,McDuffie County
13191,14333,14378,Georgia,McIntosh County
13193,14740,12947,Georgia,Macon County
13195,28120,29880,Georgia,Madison County
13197,8742,8359,Georgia,Marion County
13199,21992,21167,Georgia,Meriwether County
13201,6125,5718,Georgia,Miller County
13205,23498,21863,Georgia,Mitchell County
13207,26424,27578,Georgia,Monroe County
13209,9123,9172,Georgia,Montgomery County
13211,17868,19276,Georgia,Morgan County
13213,39628,40096,Georgia,Murray County
13215,189885,195769,Georgia,Muscogee County
13217,99958,111744,Georgia,Newton County
13219,32808,40280,Georgia,Oconee County
13221,14899,15259,Georgia,Oglethorpe County
13223,142324,168667,Georgia,Paulding County
13225,27695,27546,Georgia,Peach County
13227,29431,32591,Georgia,Pickens County
13229,18758,19465,Georgia,Pierce County
13231,17869,18962,Georgia,Pike County
13233,41475,42613,Georgia,Polk County
13235,12010,11137,Georgia,Pulaski County
13237,21218,22119,Georgia,Putnam County
13239,2513,2299,Georgia,Quitman County
13241,16276,17137,Georgia,Rabun County
13243,7719,6778,Georgia,Randolph County
13245,200549,202518,Georgia,Richmond County
13247,85215,90896,Georgia,Rockdale County
13249,5010,5257,Georgia,Schley County
13251,14593,13966,Georgia,Screven County
13253,8729,8090,Georgia,Seminole County
13255,64073,66703,Georgia,Spalding County
13257,26175,25925,Georgia,Stephens County
13259,6058,6621,Georgia,Stewart County
13261,32819,29524,Georgia,Sumter County
13263,6865,6195,Georgia,Talbot County
13265,1717,1537,Georgia,Taliaferro County
13267,25520,25286,Georgia,Tattnall County
13269,8906,8020,Georgia,Taylor County
13271,16500,15860,Georgia,Telfair County
13273,9315,8531,Georgia,Terrell County
13275,44720,44451,Georgia,Thomas County
13277,40118,40644,Georgia,Tift County
13279,27223,26830,Georgia,Toombs County
13281,10471,12037,Georgia,Towns County
13283,6885,6901,Georgia,Treutlen County
13285,67044,69922,Georgia,Troup County
13287,8930,7985,Georgia,Turner County
13289,9023,8120,Georgia,Twiggs County
13291,21356,24511,Georgia,Union County
13293,27153,26320,Georgia,Upson County
13295,68756,69761,Georgia,Walker County
13297,83768,94593,Georgia,Walton County
13299,36312,35734,Georgia,Ware County
13301,5834,5254,Georgia,Warren County
13303,21187,20374,Georgia,Washington County
13305,30099,29927,Georgia,Wayne County
13307,2799,2607,Georgia,Webster County
13309,7421,7855,Georgia,Wheeler County
13311,27144,30798,Georgia,White County
13313,102599,104628,Georgia,Whitfield County
13315,9255,8635,Georgia,Wilcox County
13317,10593,9777,Georgia,Wilkes County
13319,9563,8954,Georgia,Wilkinson County
13321,21679,20247,Georgia,Worth County
15001,185079,201513,Hawaii,Hawaii County
