Delta,Feature,Mu_star,Morris_sensitivity
0.001,AGE6579,0.005545326103014633,0.0004442334498929544
0.001,VaccinationFull,0.0037323801672562253,0.0007066815713003112
0.002,AGE6579,0.005826937991851417,0.0004667932450402274
0.002,VaccinationFull,0.002606135526908876,0.000493440610721983
0.003,AGE6579,0.005534370407361909,0.0004433557942987882
0.003,VaccinationFull,0.0023579611312508574,0.0004464517553479495
0.004,AGE6579,0.005279983415208953,0.0004229769727411949
0.004,VaccinationFull,0.0020758891770689403,0.00039304480244701736
0.005,AGE6579,0.004840408838194355,0.00038776286139681905
0.005,VaccinationFull,0.0018568069012993712,0.0003515641922339638
0.006,AGE6579,0.00452541718253512,0.00036252902892573594
0.006,VaccinationFull,0.0016835661162760344,0.0003187631203475515
0.007,AGE6579,0.004242746658047168,0.000339884426977427
0.007,VaccinationFull,0.0015615488785386377,0.0002956606148615213
0.008,AGE6579,0.0038365723441847106,0.0003073459949081332
0.008,VaccinationFull,0.0014860430916874795,0.0002813644966465678
0.009,AGE6579,0.003527220426780366,0.00028256395919975104
0.009,VaccinationFull,0.001397744182765024,0.000264646153684389
