Delta,Feature,Mu_star,Morris_sensitivity
0.001,AGE5064,0.004089047228709129,0.0004951616085732102
0.001,VaccinationFull,0.003666496378593496,0.0006942072634300006
0.002,AGE5064,0.0040583233729929195,0.0004914411150286021
0.002,VaccinationFull,0.0026463339702129467,0.0005010517054671441
0.003,AGE5064,0.0042697604910709175,0.0005170450118886138
0.003,VaccinationFull,0.0024318670755963086,0.00046044496250746323
0.004,AGE5064,0.003932313625672865,0.00047618201292265764
0.004,VaccinationFull,0.0021781599733715863,0.0004124085552778062
0.005,AGE5064,0.0035917649348848665,0.00043494339959871233
0.005,VaccinationFull,0.001963711874107463,0.00037180537099346203
0.006,AGE5064,0.0032473927457437866,0.0003932417812056163
0.006,VaccinationFull,0.0018028857467022746,0.0003413548661338802
0.007,AGE5064,0.003025110517793614,0.00036632459991793744
0.007,VaccinationFull,0.0016858231615929258,0.0003191904648997034
0.008,AGE5064,0.0029048820445753834,0.0003517655789858574
0.008,VaccinationFull,0.0016223000464966485,0.0003071631223519243
0.009,AGE5064,0.002730630165173961,0.0003306646143661477
0.009,VaccinationFull,0.0015369241317825574,0.0002909982134043697
