Delta,Feature,Mu_star,Morris_sensitivity
0.001,Accommodation and Food Services,0.00988694546583333,0.0006725129816195322
0.001,VaccinationFull,0.0032196742762455825,0.0006096068392424891
0.002,Accommodation and Food Services,0.008759933114818593,0.0005958532651153635
0.002,VaccinationFull,0.0023677966644143717,0.00044831399598772826
0.003,Accommodation and Food Services,0.007125618614565508,0.00048468670500158225
0.003,VaccinationFull,0.002112400941588525,0.0003999578686314342
0.004,Accommodation and Food Services,0.005658894449080624,0.00038491968948072534
0.004,VaccinationFull,0.0018390609559668402,0.00034820420960362484
0.005,Accommodation and Food Services,0.0047567756911126935,0.0003235573023013411
0.005,VaccinationFull,0.0016358584620963005,0.00030973024628114297
0.006,Accommodation and Food Services,0.004121361364500455,0.0002803362301481181
0.006,VaccinationFull,0.001484800743822056,0.0002811292729281103
0.007,Accommodation and Food Services,0.0036331835866341517,0.000247130231987432
0.007,VaccinationFull,0.001374789332502671,0.0002602999271679492
0.008,Accommodation and Food Services,0.003259332470051379,0.00022170076745121987
0.008,VaccinationFull,0.0013107489611565316,0.0002481746483320544
0.009,Accommodation and Food Services,0.002914160704379915,0.000198222080924144
0.009,VaccinationFull,0.0012348122693641207,0.00023379694341710803
