Delta,Feature,Mu_star,Morris_sensitivity
0.001,Manufacturing,0.00397815558396518,0.0005207795158193519
0.001,VaccinationFull,0.00353166964725055,0.0006686794334424245
0.002,Manufacturing,0.003973033616631911,0.0005201090001465578
0.002,VaccinationFull,0.002617612848140923,0.0004956137043081447
0.003,Manufacturing,0.0036318942281233424,0.00047545051411587236
0.003,VaccinationFull,0.0023902146419001575,0.0004525585720611983
0.004,Manufacturing,0.0033667773650754873,0.00044074412099989713
0.004,VaccinationFull,0.002087189999654861,0.0003951844781242342
0.005,Manufacturing,0.003233413304896886,0.00042328545976315184
0.005,VaccinationFull,0.0018680914065270149,0.0003537007784144332
0.006,Manufacturing,0.0032637069870475,0.00042725119936025857
0.006,VaccinationFull,0.0017079523848445987,0.00032338036881044134
0.007,Manufacturing,0.003017689626372926,0.0003950451181070069
0.007,VaccinationFull,0.0015880993511305775,0.0003006876294873735
0.008,Manufacturing,0.002834585322213425,0.0003710749719294714
0.008,VaccinationFull,0.0015198550892782884,0.00028776639423350105
0.009,Manufacturing,0.0027204143871715,0.0003561288786918328
0.009,VaccinationFull,0.0014356977035541985,0.00027183219918505133
