FIPS,Health Care and Social Assistance,Manufacturing,Retail Trade,Accommodation and Food Services,Others
1001,0.127395,0.079115,0.189652,0.192535,0.411304
1003,0.114588,0.06443,0.182408,0.185106,0.453469
1005,0.070985,0.354428,0.093907,0.080351,0.40033
1007,0.155225,0.142928,0.105765,0.06315,0.532932
1009,0.13459,0.150317,0.152692,0.099565,0.462836
1011,0.135814,0.32192,0.101547,0.035103,0.405617
1013,0.119608,0.249011,0.124821,0.106647,0.399912
1015,0.150043,0.182764,0.153917,0.118263,0.395013
1017,0.09777,0.287958,0.128764,0.102078,0.38343
1019,0.132855,0.209686,0.159467,0.123778,0.374214
1021,0.098955,0.234508,0.174674,0.105313,0.386551
1023,0.080029,0.348894,0.101231,0.037327,0.432518
1025,0.147337,0.181453,0.188076,0.100741,0.382393
1027,0.128477,0.586763,0.06901,0.028877,0.186874
1029,0.03216,0.208267,0.186756,0.078426,0.49439
1031,0.125355,0.252075,0.162061,0.117422,0.343086
1033,0.117908,0.260083,0.103221,0.076823,0.441965
1035,0.172069,0.1525,0.118491,0.097884,0.459056
1037,0.115561,0.338673,0.078716,0.172504,0.294546
1039,0.148461,0.165474,0.152413,0.091969,0.441683
1041,0.107612,0.328068,0.068481,0.058139,0.4377
1043,0.136923,0.18419,0.135241,0.106049,0.437597
1045,0.09727,0.034141,0.095876,0.080472,0.69224
1047,0.138592,0.285858,0.134874,0.074824,0.365852
1049,0.13273,0.370369,0.113549,0.085273,0.298079
1051,0.132409,0.164609,0.173954,0.185555,0.343473
1053,0.1089,0.191101,0.156217,0.17229,0.371492
1055,0.218042,0.153467,0.147286,0.115238,0.365966
1057,0.205283,0.330252,0.153591,0.067734,0.243141
1059,0.078045,0.538644,0.072933,0.051191,0.259188
1061,0.141465,0.143176,0.165361,0.069299,0.480699
1063,0.068443,0.471327,0.099553,0.0168,0.343878
1065,0.206665,0.24863,0.135237,0.083809,0.325659
1067,0.040017,0.070951,0.070659,0.050079,0.768294
1069,0.190831,0.096698,0.146465,0.117886,0.44812
1071,0.115037,0.394257,0.133442,0.092846,0.264419
1073,0.163929,0.059912,0.088193,0.0751,0.612866
1075,0.0847,0.523855,0.075673,0.049918,0.265854
1077,0.17632,0.109356,0.171245,0.139298,0.403781
1079,0.163589,0.064103,0.198495,0.138842,0.434972
1081,0.126516,0.144339,0.136216,0.148744,0.444185
1083,0.105729,0.236967,0.122328,0.094692,0.440285
1085,0.084369,0.440647,0.123741,0.0,0.351243
1087,0.241378,0.055318,0.067484,0.056061,0.57976
1089,0.125649,0.082742,0.094895,0.080379,0.616335
1091,0.145917,0.233267,0.115708,0.069966,0.435143
1093,0.126586,0.341314,0.102509,0.066849,0.362742
1095,0.106036,0.379618,0.120586,0.087275,0.306485
1097,0.118197,0.088263,0.110082,0.088548,0.59491
1099,0.11993,0.225727,0.126422,0.058261,0.46966
1101,0.145992,0.109226,0.095803,0.097148,0.551831
1103,0.117174,0.272583,0.100794,0.080563,0.428886
1105,0.06715,0.240367,0.080481,0.0553,0.556701
1107,0.182931,0.231509,0.13242,0.053582,0.399557
1109,0.073444,0.16589,0.104681,0.111035,0.54495
1111,0.127862,0.299777,0.164775,0.080275,0.327312
1113,0.122828,0.249422,0.155995,0.147822,0.323933
1117,0.107556,0.19348,0.147736,0.113458,0.43777
1115,0.070143,0.050118,0.091364,0.072758,0.715617
1119,0.115058,0.065495,0.082688,0.080124,0.656635
1121,0.099558,0.370675,0.099875,0.085345,0.344548
1123,0.165384,0.195508,0.129671,0.106203,0.403234
1125,0.136043,0.210883,0.10613,0.113662,0.433282
1127,0.195394,0.136473,0.190017,0.10198,0.376135
1129,0.046904,0.579787,0.042713,0.010154,0.320442
1131,0.098578,0.433753,0.097757,0.037378,0.332534
1133,0.066449,0.335078,0.069309,0.035274,0.49389
2013,0.020748,0.933656,0.018714,0.008543,0.018339
2016,0.024268,0.669676,0.028565,0.03084,0.24665
2020,0.150324,0.014429,0.083513,0.08418,0.667554
2050,0.19524,0.0,0.301703,0.017685,0.485372
2060,0.060446,0.164622,0.153862,0.148367,0.472703
2068,0.011785,0.0,0.056959,0.188553,0.742703
2070,0.544877,0.020133,0.173444,0.03927,0.222275
2090,0.216919,0.017905,0.147319,0.099377,0.51848
2100,0.176246,0.045869,0.201651,0.122261,0.453974
2105,0.105644,0.060048,0.221191,0.079233,0.533885
2110,0.16769,0.02343,0.116168,0.089095,0.603618
2122,0.230056,0.045667,0.15078,0.101661,0.471836
2130,0.140211,0.038531,0.146243,0.110596,0.564419
2150,0.14667,0.383927,0.083943,0.071213,0.314247
2158,0.03589,0.0,0.489977,0.0,0.474133
2164,0.01192,0.06377,0.143045,0.077483,0.703782
2170,0.208747,0.031648,0.162181,0.10974,0.487684
2180,0.452541,0.007967,0.14933,0.056671,0.333491
2185,0.068747,0.0,0.053044,0.037514,0.840695
2188,0.247641,0.0,0.086512,0.03893,0.626916
2195,0.172166,0.197637,0.157819,0.053802,0.418576
2198,0.130224,0.069665,0.205424,0.099044,0.495644
2220,0.234764,0.071671,0.12498,0.112265,0.456319
2230,0.014099,0.0,0.191745,0.211484,0.582672
2240,0.070077,0.008703,0.132645,0.08697,0.701605
2261,0.184984,0.062573,0.11347,0.078825,0.560149
2275,0.2333,0.0,0.211081,0.090728,0.464891
2282,0.204057,0.0,0.476132,0.09717,0.222642
2290,0.080539,0.0,0.354372,0.064431,0.500658
4001,0.333897,0.014413,0.183788,0.118218,0.349683
4003,0.165232,0.012254,0.170723,0.119216,0.532575
4005,0.151026,0.101717,0.126455,0.24723,0.373573
4007,0.18111,0.011026,0.172156,0.165905,0.469802
4009,0.271496,0.030115,0.188346,0.1249,0.385144
4011,0.021497,0.0,0.065757,0.025544,0.887202
4012,0.101568,0.034552,0.302101,0.369553,0.192226
4013,0.111522,0.051524,0.094098,0.089123,0.653732
4015,0.178146,0.068912,0.207946,0.142068,0.402927
4017,0.226491,0.024024,0.183717,0.189377,0.376391
4019,0.167963,0.059306,0.12408,0.116188,0.532463
4021,0.153065,0.072794,0.15691,0.129203,0.488028
4023,0.133828,0.029435,0.159753,0.10045,0.576534
4025,0.192458,0.049003,0.147395,0.146488,0.464656
4027,0.165934,0.070682,0.158208,0.121722,0.483453
5001,0.092566,0.473857,0.100422,0.046635,0.286519
5003,0.139583,0.240393,0.11494,0.078359,0.426725
5005,0.277165,0.182114,0.142202,0.098062,0.300457
5007,0.054962,0.071687,0.07145,0.063907,0.737994
5009,0.159796,0.117538,0.128197,0.071886,0.522584
5011,0.178714,0.233831,0.086845,0.062801,0.437809
5013,0.105838,0.0,0.108552,0.037993,0.747617
5015,0.072117,0.304494,0.121522,0.148539,0.353328
5017,0.362161,0.01066,0.100628,0.066753,0.459798
5019,0.131679,0.175745,0.143526,0.130815,0.418236
5021,0.294555,0.033809,0.147465,0.066961,0.457209
5023,0.121102,0.244951,0.151891,0.176837,0.305219
5025,0.361897,0.0,0.095321,0.042006,0.500775
5027,0.123212,0.23833,0.114957,0.090436,0.433065
5029,0.157292,0.189126,0.140845,0.082616,0.43012
5031,0.220749,0.155867,0.129961,0.10982,0.383604
5033,0.075554,0.317373,0.107121,0.08472,0.415231
5035,0.113564,0.135346,0.119908,0.113191,0.517991
5037,0.215509,0.127039,0.162204,0.075497,0.41975
5039,0.249866,0.24785,0.122359,0.04633,0.333596
5041,0.14572,0.263444,0.148311,0.094747,0.347778
5043,0.210799,0.192937,0.150033,0.107551,0.33868
5045,0.145977,0.085068,0.132416,0.103343,0.533197
5047,0.084124,0.299717,0.128661,0.063685,0.423814
5049,0.389176,0.069842,0.118742,0.14361,0.27863
5051,0.210256,0.072644,0.151157,0.15262,0.413323
5053,0.078371,0.311949,0.125494,0.090719,0.393466
5055,0.126344,0.326489,0.125501,0.098729,0.322937
5057,0.141493,0.349051,0.136705,0.086811,0.285939
5059,0.149034,0.24508,0.115512,0.090749,0.399625
5061,0.165719,0.451422,0.079011,0.057963,0.245885
5063,0.196103,0.308766,0.099289,0.077575,0.318268
5065,0.31855,0.154337,0.163667,0.061028,0.302417
5067,0.217095,0.258587,0.17462,0.068308,0.281391
5069,0.184724,0.213298,0.128177,0.09042,0.383381
5071,0.137231,0.35527,0.115702,0.073305,0.318492
5073,0.141195,0.12059,0.130048,0.052019,0.556146
5075,0.194905,0.104267,0.154038,0.069946,0.476845
5077,0.304811,0.010408,0.159972,0.049721,0.475089
5079,0.192237,0.249263,0.12792,0.088615,0.341965
5081,0.103378,0.419353,0.133843,0.066066,0.27736
5083,0.147608,0.276129,0.171513,0.076125,0.328625
5085,0.132354,0.12231,0.167441,0.144075,0.43382
5087,0.072337,0.424579,0.136826,0.061759,0.304499
5089,0.051691,0.509748,0.128917,0.064458,0.245186
5091,0.070904,0.196576,0.088105,0.081817,0.562598
5093,0.107322,0.44581,0.097441,0.06755,0.281878
5095,0.195045,0.061893,0.131054,0.13259,0.479417
5097,0.071433,0.062098,0.168536,0.271221,0.426713
5099,0.149407,0.295955,0.133218,0.035155,0.386266
5101,0.324766,0.102295,0.168453,0.200323,0.204163
5103,0.166517,0.388148,0.101416,0.049931,0.293988
5105,0.282408,0.028849,0.200098,0.08231,0.406336
5107,0.185494,0.091782,0.163827,0.084014,0.474883
5109,0.093708,0.188256,0.150531,0.103178,0.464327
5111,0.143417,0.194748,0.169749,0.107882,0.384203
5113,0.204305,0.222654,0.138313,0.086784,0.347944
5115,0.123722,0.186577,0.116778,0.097141,0.475783
5117,0.206913,0.0,0.188272,0.076427,0.528388
5119,0.173394,0.050897,0.089919,0.079628,0.606161
5121,0.223964,0.140317,0.140843,0.084737,0.410139
5125,0.247666,0.134022,0.156704,0.093652,0.367957
5127,0.187125,0.05652,0.183324,0.129087,0.443945
5129,0.184698,0.410429,0.09519,0.061092,0.248591
5131,0.339324,0.154022,0.210792,0.138814,0.157047
5133,0.161499,0.186097,0.107434,0.081967,0.463002
5135,0.107923,0.331138,0.122414,0.053853,0.384672
5123,0.268304,0.022139,0.236576,0.098286,0.374695
5137,0.260444,0.108499,0.204603,0.161717,0.264737
5139,0.094332,0.172868,0.112045,0.052249,0.568505
5141,0.188312,0.044301,0.157966,0.104082,0.505339
5143,0.150516,0.128477,0.105296,0.104319,0.511392
5145,0.171303,0.084601,0.131823,0.091679,0.520594
5147,0.177934,0.20485,0.161285,0.062433,0.393499
5149,0.183657,0.411275,0.091645,0.043527,0.269897
6001,0.112107,0.098523,0.077097,0.072252,0.640021
6003,0.050822,0.0,0.028401,0.09417,0.826607
6005,0.159486,0.085435,0.165744,0.261997,0.327338
6007,0.206556,0.063769,0.145369,0.116435,0.467871
6009,0.13065,0.058209,0.162038,0.153798,0.495305
6011,0.100899,0.152334,0.131192,0.178263,0.437312
6013,0.139243,0.038108,0.100634,0.08312,0.638895
6015,0.291338,0.037882,0.199981,0.152335,0.318463
6017,0.12282,0.043151,0.112281,0.122397,0.59935
6019,0.151384,0.084212,0.110147,0.096063,0.558193
6021,0.093791,0.146258,0.143877,0.108466,0.507607
6023,0.176847,0.057554,0.162185,0.137864,0.46555
6025,0.174193,0.05791,0.226717,0.115291,0.425889
6027,0.229953,0.040034,0.160386,0.235221,0.334407
6029,0.137683,0.059202,0.129086,0.103662,0.570367
6031,0.171619,0.162768,0.141207,0.166738,0.357667
6033,0.22449,0.036654,0.187876,0.145914,0.405067
6035,0.21561,0.014165,0.188659,0.163362,0.418204
6037,0.117613,0.065492,0.081558,0.090922,0.644415
6039,0.207685,0.126807,0.114114,0.089351,0.462042
6041,0.127726,0.021807,0.110901,0.096778,0.642788
6043,0.172103,0.034383,0.099977,0.335279,0.358258
6045,0.16331,0.094703,0.165394,0.145993,0.430601
6047,0.137881,0.190358,0.152764,0.106944,0.412052
6049,0.326556,0.012721,0.136329,0.110173,0.414221
6051,0.093601,0.017526,0.103273,0.568623,0.216978
6053,0.125482,0.066008,0.127904,0.159289,0.521318
6055,0.134823,0.172539,0.089833,0.163244,0.43956
6057,0.142527,0.047092,0.134584,0.171095,0.504702
6059,0.094453,0.079089,0.076897,0.094355,0.655206
6061,0.123102,0.026508,0.118306,0.123791,0.608293
6063,0.203515,0.12241,0.128251,0.098405,0.447418
6065,0.12548,0.071881,0.134181,0.138389,0.53007
6067,0.145591,0.03817,0.099577,0.095194,0.621468
6069,0.113881,0.239022,0.094117,0.099773,0.453207
6071,0.136034,0.075251,0.125561,0.091382,0.571773
