FIPS,Accommodation and Food Services,Administrative and Support and Waste Management and Remediation Services,"Agriculture, Forestry, Fishing and Hunting","Arts, Entertainment, and Recreation",Construction,Educational Services,Finance and Insurance,Health Care and Social Assistance,Information,Management of Companies and Enterprises,Manufacturing,"Mining, Quarrying, and Oil and Gas Extraction",Other Services (except Public Administration),"Professional, Scientific, and Technical Services",Retail Trade,Transportation and Warehousing,Utilities,Wholesale Trade
1001,0.192535,0.026927,0.012888,0.041812,0.043556,0.026026,0.057192,0.127395,0.025504,0.0,0.079115,0.007096,0.091051,0.031255,0.189652,0.010377,0.018843,0.018778
1003,0.185106,0.067315,0.000312,0.032379,0.056025,0.041301,0.045285,0.114588,0.035914,0.015925,0.06443,0.000501,0.060375,0.038609,0.182408,0.021176,0.005384,0.032968
1005,0.080351,0.035513,0.025479,0.006734,0.011091,0.015304,0.035739,0.070985,0.016449,0.0,0.354428,0.00977,0.03311,0.014148,0.093907,0.163598,0.015895,0.0175
1007,0.06315,0.025827,0.016673,0.003403,0.209322,0.042076,0.027821,0.155225,0.018244,0.0,0.142928,0.0,0.037316,0.020875,0.105765,0.104662,0.004854,0.02186
1009,0.099565,0.053703,0.002594,0.009925,0.070837,0.00309,0.056407,0.13459,0.019593,0.0,0.150317,0.0,0.106678,0.042343,0.152692,0.044146,0.0,0.053521
1011,0.035103,0.0,0.290749,0.008197,0.018805,0.0,0.035938,0.135814,0.0,0.0,0.32192,0.0,0.026559,0.014674,0.101547,0.003591,0.0,0.007104
1013,0.106647,0.073704,0.037486,0.022502,0.042264,0.0,0.041137,0.119608,0.0685,0.0,0.249011,0.0,0.022995,0.009704,0.124821,0.070208,0.0,0.011411
1015,0.118263,0.058194,0.003549,0.008262,0.024748,0.040151,0.045302,0.150043,0.033796,0.00847,0.182764,0.0,0.053354,0.031025,0.153917,0.036748,0.005967,0.04545
1017,0.102078,0.045301,0.042384,0.0,0.018908,0.0,0.03255,0.09777,0.020916,0.0,0.287958,0.0,0.050993,0.03281,0.128764,0.108649,0.015961,0.014959
1019,0.123778,0.109682,0.015577,0.002601,0.011346,0.0,0.050749,0.132855,0.026879,0.0,0.209686,0.0,0.049763,0.018668,0.159467,0.030724,0.028724,0.0295
1021,0.105313,0.017578,0.019328,0.011176,0.06439,0.0,0.047859,0.098955,0.02241,0.0,0.234508,0.0,0.092674,0.018736,0.174674,0.027812,0.013724,0.050865
