Date,0,1,2,3,4,5,6,7,8,9,10,11,12,mean,median,weekday
2020-03-13,0.075,0.073,0.078,0.079,0.078,0.078,0.08,0.08,0.079,0.078,0.078,0.077,0.077,0.078,0.078,4
2020-03-14,0.066,0.062,0.071,0.071,0.073,0.073,0.073,0.075,0.075,0.074,0.074,0.074,0.073,0.072,0.073,5
2020-03-15,0.069,0.059,0.068,0.071,0.073,0.074,0.073,0.073,0.075,0.075,0.074,0.074,0.074,0.072,0.073,6
2020-03-16,0.074,0.076,0.078,0.078,0.077,0.077,0.077,0.077,0.076,0.079,0.079,0.078,0.077,0.077,0.077,0
2020-03-17,0.073,0.076,0.079,0.081,0.081,0.08,0.08,0.08,0.079,0.079,0.082,0.082,0.081,0.079,0.08,1
2020-03-18,0.077,0.077,0.08,0.08,0.082,0.082,0.081,0.08,0.08,0.08,0.08,0.082,0.082,0.08,0.08,2
2020-03-19,0.078,0.079,0.08,0.08,0.079,0.081,0.081,0.081,0.08,0.08,0.079,0.079,0.082,0.08,0.08,3
2020-03-20,0.076,0.074,0.077,0.078,0.078,0.077,0.079,0.079,0.078,0.078,0.078,0.077,0.077,0.077,0.077,4
2020-03-21,0.07,0.066,0.073,0.072,0.074,0.074,0.074,0.076,0.076,0.075,0.075,0.075,0.075,0.073,0.074,5
2020-03-22,0.072,0.064,0.07,0.073,0.074,0.074,0.074,0.074,0.076,0.076,0.076,0.075,0.075,0.073,0.074,6
2020-03-23,0.075,0.076,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.079,0.079,0.078,0.078,0.077,0.077,0
2020-03-24,0.075,0.076,0.078,0.079,0.08,0.079,0.079,0.079,0.079,0.079,0.081,0.081,0.08,0.079,0.079,1
2020-03-25,0.078,0.077,0.079,0.079,0.08,0.08,0.079,0.079,0.079,0.079,0.079,0.081,0.082,0.079,0.079,2
2020-03-26,0.079,0.078,0.079,0.079,0.079,0.08,0.08,0.079,0.079,0.079,0.079,0.079,0.081,0.079,0.079,3
2020-03-27,0.078,0.076,0.077,0.078,0.077,0.077,0.078,0.078,0.078,0.077,0.077,0.077,0.077,0.077,0.077,4
2020-03-28,0.076,0.072,0.075,0.074,0.075,0.075,0.075,0.077,0.077,0.076,0.076,0.076,0.076,0.075,0.076,5
2020-03-29,0.076,0.07,0.073,0.074,0.075,0.075,0.075,0.075,0.077,0.077,0.076,0.076,0.076,0.075,0.075,6
2020-03-30,0.076,0.076,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.078,0.079,0.078,0.078,0.077,0.077,0
2020-03-31,0.077,0.078,0.078,0.079,0.079,0.078,0.078,0.078,0.078,0.078,0.08,0.08,0.08,0.078,0.078,1
2020-04-01,0.08,0.078,0.079,0.078,0.079,0.079,0.079,0.078,0.078,0.078,0.078,0.08,0.08,0.079,0.079,2
