Date,0,1,2,3,4,5,6,7,8,9,10,11,12,mean,median,weekday
2020-03-13,0.047,0.033,0.035,0.047,0.046,0.045,0.319,0.102,0.069,0.062,0.045,0.043,0.054,0.073,0.047,4
2020-03-14,0.023,0.023,0.009,0.03,0.006,0.174,0.278,0.035,0.039,0.017,0.053,0.004,0.183,0.067,0.033,5
2020-03-15,0.213,0.025,0.023,0.006,0.027,0.021,0.336,0.244,0.04,0.04,0.01,0.044,0.019,0.081,0.033,6
2020-03-16,0.049,0.007,0.044,0.041,0.03,0.04,0.532,0.049,0.01,0.062,0.071,0.043,0.056,0.079,0.046,0
2020-03-17,0.071,0.033,0.012,0.025,0.076,0.087,0.138,0.097,0.043,0.022,0.037,0.135,0.159,0.072,0.071,1
2020-03-18,0.07,0.032,0.018,0.019,0.046,0.103,0.186,0.169,0.024,0.022,0.033,0.059,0.14,0.071,0.053,2
2020-03-19,0.09,0.076,0.071,0.017,0.017,0.127,0.141,0.232,0.147,0.047,0.018,0.026,0.156,0.09,0.083,3
2020-03-20,0.047,0.036,0.036,0.05,0.045,0.049,0.3,0.104,0.078,0.067,0.041,0.044,0.063,0.074,0.05,4
2020-03-21,0.023,0.025,0.012,0.033,0.008,0.159,0.255,0.036,0.045,0.025,0.062,0.005,0.167,0.066,0.034,5
2020-03-22,0.184,0.024,0.026,0.008,0.031,0.033,0.318,0.219,0.039,0.047,0.015,0.056,0.027,0.079,0.036,6
2020-03-23,0.058,0.011,0.041,0.043,0.032,0.046,0.483,0.059,0.016,0.06,0.079,0.05,0.07,0.08,0.054,0
2020-03-24,0.078,0.044,0.018,0.027,0.074,0.083,0.129,0.106,0.057,0.033,0.04,0.134,0.157,0.075,0.075,1
2020-03-25,0.065,0.033,0.022,0.026,0.05,0.098,0.17,0.153,0.025,0.027,0.047,0.066,0.136,0.071,0.057,2
2020-03-26,0.086,0.069,0.065,0.02,0.025,0.133,0.138,0.228,0.144,0.043,0.022,0.039,0.169,0.091,0.078,3
2020-03-27,0.046,0.039,0.038,0.049,0.043,0.055,0.288,0.109,0.092,0.073,0.038,0.044,0.075,0.076,0.052,4
2020-03-28,0.024,0.027,0.015,0.037,0.009,0.141,0.237,0.038,0.05,0.031,0.068,0.007,0.152,0.064,0.037,5
2020-03-29,0.169,0.023,0.03,0.01,0.036,0.043,0.303,0.2,0.038,0.052,0.018,0.061,0.035,0.078,0.041,6
