number,value,params_batch_size,params_dropout,params_layers,params_learning_rate,state
0,0.484436,128,0.1,2,1.2e-05,COMPLETE
1,0.495171,128,0.1,2,1.1e-05,COMPLETE
2,0.482053,128,0.1,4,0.000313,COMPLETE
3,0.461579,128,0.1,2,1e-05,COMPLETE
4,0.457622,64,0.1,4,1.1e-05,COMPLETE
5,0.472719,128,0.1,2,1e-05,COMPLETE
6,0.47817,32,0.0,2,0.000235,COMPLETE
7,0.467529,32,0.3,4,2.2e-05,COMPLETE
8,0.561776,64,0.0,3,0.000813,COMPLETE
9,0.482638,128,0.1,2,1.1e-05,COMPLETE
10,0.481587,64,0.2,4,4.4e-05,COMPLETE
11,0.478068,128,0.1,2,1.1e-05,COMPLETE
12,0.482683,64,0.2,4,4.5e-05,COMPLETE
13,0.482351,64,0.2,3,3.4e-05,COMPLETE
14,0.493582,64,0.2,4,4.6e-05,COMPLETE
15,0.485801,64,0.1,2,0.000154,COMPLETE
16,0.463498,32,0.0,2,3.3e-05,COMPLETE
17,0.463064,64,0.2,4,0.00016,COMPLETE
18,0.450863,64,0.2,2,5.1e-05,COMPLETE
19,0.484791,64,0.2,3,0.00041,COMPLETE
20,0.468231,128,0.3,3,1.8e-05,COMPLETE
21,0.460468,128,0.1,2,1.1e-05,COMPLETE
22,0.502114,32,0.1,4,2.3e-05,COMPLETE
23,0.474769,128,0.1,2,1.2e-05,COMPLETE
24,0.470393,128,0.1,2,1e-05,COMPLETE
