Date,0,1,2,3,4,5,6,7,8,9,10,11,12,mean,median,weekday
2020-03-13,0.007,0.02,0.012,0.011,0.12,0.122,0.534,0.015,0.049,0.013,0.009,0.141,0.122,0.09,0.035,4
2020-03-14,0.01,0.012,0.027,0.028,0.042,0.082,0.375,0.094,0.039,0.057,0.061,0.081,0.092,0.077,0.059,5
2020-03-15,0.099,0.018,0.017,0.013,0.024,0.056,0.391,0.121,0.043,0.043,0.013,0.034,0.081,0.073,0.043,6
2020-03-16,0.072,0.0,0.067,0.029,0.001,0.051,0.66,0.05,0.001,0.058,0.039,0.001,0.061,0.084,0.05,0
2020-03-17,0.007,0.02,0.011,0.003,0.054,0.051,0.343,0.021,0.016,0.01,0.005,0.085,0.07,0.054,0.021,1
2020-03-18,0.062,0.002,0.004,0.055,0.008,0.12,0.401,0.164,0.008,0.004,0.06,0.016,0.163,0.082,0.057,2
2020-03-19,0.048,0.053,0.004,0.006,0.016,0.063,0.37,0.218,0.094,0.009,0.009,0.018,0.081,0.076,0.051,3
2020-03-20,0.007,0.017,0.011,0.012,0.102,0.109,0.531,0.014,0.048,0.014,0.009,0.132,0.119,0.087,0.033,4
2020-03-21,0.01,0.011,0.022,0.025,0.039,0.083,0.357,0.078,0.036,0.053,0.057,0.078,0.1,0.073,0.055,5
2020-03-22,0.093,0.019,0.017,0.012,0.023,0.057,0.386,0.127,0.047,0.042,0.016,0.038,0.092,0.074,0.044,6
2020-03-23,0.07,0.001,0.065,0.027,0.002,0.047,0.657,0.05,0.001,0.059,0.039,0.003,0.059,0.083,0.048,0
2020-03-24,0.007,0.02,0.012,0.004,0.056,0.057,0.357,0.021,0.016,0.011,0.008,0.088,0.091,0.058,0.02,1
2020-03-25,0.059,0.002,0.004,0.057,0.009,0.124,0.403,0.161,0.008,0.005,0.067,0.019,0.173,0.084,0.058,2
2020-03-26,0.048,0.053,0.005,0.008,0.019,0.066,0.35,0.203,0.092,0.009,0.015,0.026,0.09,0.076,0.05,3
2020-03-27,0.006,0.018,0.011,0.013,0.082,0.094,0.52,0.014,0.049,0.016,0.012,0.122,0.121,0.083,0.034,4
2020-03-28,0.014,0.012,0.022,0.024,0.041,0.087,0.351,0.064,0.036,0.05,0.056,0.082,0.119,0.074,0.053,5
2020-03-29,0.094,0.021,0.019,0.011,0.022,0.056,0.385,0.139,0.043,0.04,0.017,0.039,0.09,0.075,0.042,6
2020-03-30,0.066,0.002,0.062,0.027,0.004,0.046,0.656,0.054,0.002,0.066,0.039,0.005,0.058,0.084,0.05,0
2020-03-31,0.007,0.018,0.014,0.006,0.06,0.066,0.377,0.02,0.017,0.012,0.012,0.094,0.114,0.063,0.019,1
2020-04-01,0.06,0.003,0.004,0.061,0.01,0.13,0.409,0.158,0.009,0.007,0.071,0.022,0.184,0.087,0.06,2
2020-04-02,0.056,0.052,0.004,0.011,0.023,0.064,0.338,0.192,0.091,0.008,0.019,0.029,0.099,0.076,0.054,3
2020-04-03,0.007,0.023,0.014,0.014,0.078,0.093,0.51,0.014,0.048,0.017,0.013,0.113,0.118,0.082,0.035,4
2020-04-04,0.022,0.016,0.027,0.028,0.053,0.094,0.355,0.062,0.037,0.046,0.055,0.09,0.134,0.078,0.054,5
2020-04-05,0.1,0.024,0.025,0.012,0.023,0.056,0.395,0.139,0.036,0.036,0.013,0.033,0.08,0.075,0.036,6
2020-04-06,0.066,0.003,0.066,0.035,0.004,0.051,0.656,0.059,0.003,0.075,0.038,0.005,0.053,0.086,0.052,0
2020-04-07,0.009,0.019,0.017,0.008,0.065,0.084,0.392,0.02,0.018,0.013,0.013,0.098,0.12,0.067,0.02,1
2020-04-08,0.07,0.004,0.006,0.068,0.011,0.13,0.41,0.149,0.01,0.007,0.07,0.022,0.185,0.088,0.069,2
2020-04-09,0.07,0.051,0.005,0.012,0.024,0.062,0.316,0.184,0.086,0.008,0.018,0.028,0.105,0.075,0.057,3
2020-04-10,0.008,0.023,0.015,0.014,0.069,0.085,0.492,0.014,0.044,0.016,0.014,0.103,0.105,0.077,0.034,4
2020-04-11,0.025,0.02,0.033,0.031,0.051,0.09,0.353,0.061,0.042,0.047,0.053,0.086,0.129,0.079,0.052,5
2020-04-12,0.101,0.022,0.025,0.011,0.021,0.051,0.395,0.137,0.032,0.035,0.011,0.027,0.069,0.072,0.033,6
2020-04-13,0.061,0.002,0.061,0.034,0.004,0.05,0.656,0.06,0.002,0.079,0.039,0.003,0.05,0.085,0.05,0
2020-04-14,0.01,0.019,0.016,0.007,0.061,0.081,0.386,0.023,0.018,0.011,0.011,0.093,0.095,0.064,0.021,1
2020-04-15,0.065,0.004,0.005,0.063,0.01,0.128,0.385,0.138,0.009,0.006,0.065,0.019,0.181,0.083,0.064,2
2020-04-16,0.063,0.046,0.005,0.011,0.022,0.063,0.293,0.175,0.081,0.008,0.019,0.027,0.114,0.071,0.054,3
2020-04-17,0.007,0.017,0.012,0.012,0.062,0.076,0.474,0.015,0.046,0.018,0.014,0.113,0.108,0.075,0.032,4
2020-04-18,0.016,0.014,0.021,0.024,0.044,0.076,0.334,0.058,0.04,0.046,0.054,0.083,0.125,0.072,0.05,5
2020-04-19,0.086,0.019,0.022,0.009,0.018,0.05,0.392,0.145,0.033,0.039,0.012,0.031,0.073,0.071,0.036,6
2020-04-20,0.064,0.002,0.057,0.029,0.003,0.048,0.655,0.063,0.002,0.085,0.048,0.003,0.055,0.086,0.052,0
2020-04-21,0.011,0.021,0.014,0.008,0.061,0.076,0.386,0.026,0.022,0.012,0.012,0.1,0.111,0.066,0.024,1
2020-04-22,0.059,0.005,0.005,0.062,0.012,0.123,0.373,0.142,0.011,0.007,0.069,0.022,0.189,0.083,0.061,2
2020-04-23,0.056,0.045,0.004,0.011,0.02,0.063,0.285,0.176,0.083,0.007,0.018,0.027,0.127,0.071,0.051,3
2020-04-24,0.009,0.02,0.015,0.015,0.072,0.086,0.488,0.016,0.054,0.021,0.017,0.131,0.131,0.083,0.038,4
2020-04-25,0.022,0.018,0.027,0.031,0.054,0.081,0.343,0.068,0.045,0.055,0.062,0.093,0.134,0.079,0.059,5
2020-04-26,0.083,0.019,0.02,0.009,0.018,0.047,0.397,0.154,0.03,0.037,0.012,0.03,0.066,0.071,0.034,6
2020-04-27,0.069,0.002,0.065,0.031,0.003,0.047,0.656,0.058,0.001,0.084,0.054,0.003,0.061,0.087,0.056,0
2020-04-28,0.011,0.023,0.015,0.009,0.064,0.081,0.396,0.025,0.02,0.014,0.013,0.109,0.137,0.071,0.024,1
2020-04-29,0.059,0.006,0.006,0.062,0.012,0.121,0.373,0.142,0.01,0.007,0.072,0.023,0.197,0.084,0.061,2
2020-04-30,0.062,0.046,0.005,0.013,0.022,0.067,0.286,0.178,0.085,0.007,0.019,0.027,0.12,0.072,0.054,3
2020-05-01,0.009,0.022,0.015,0.015,0.078,0.093,0.485,0.015,0.048,0.018,0.014,0.117,0.118,0.081,0.035,4
2020-05-02,0.025,0.019,0.029,0.033,0.059,0.083,0.346,0.066,0.042,0.052,0.057,0.089,0.128,0.079,0.058,5
2020-05-03,0.088,0.022,0.023,0.011,0.021,0.05,0.398,0.156,0.03,0.035,0.01,0.026,0.061,0.072,0.032,6
2020-05-04,0.067,0.002,0.07,0.033,0.004,0.05,0.656,0.056,0.002,0.08,0.053,0.003,0.061,0.087,0.054,0
2020-05-05,0.012,0.023,0.016,0.009,0.065,0.086,0.396,0.026,0.019,0.014,0.012,0.109,0.138,0.071,0.024,1
2020-05-06,0.061,0.006,0.006,0.064,0.012,0.121,0.373,0.141,0.01,0.007,0.071,0.02,0.198,0.084,0.062,2
2020-05-07,0.064,0.046,0.005,0.014,0.024,0.065,0.284,0.178,0.083,0.007,0.019,0.027,0.112,0.071,0.055,3
2020-05-08,0.008,0.02,0.015,0.015,0.073,0.088,0.482,0.015,0.047,0.018,0.014,0.108,0.108,0.078,0.034,4
2020-05-09,0.022,0.018,0.027,0.031,0.056,0.082,0.344,0.062,0.041,0.048,0.052,0.08,0.121,0.076,0.054,5
2020-05-10,0.088,0.019,0.022,0.01,0.02,0.049,0.399,0.153,0.029,0.035,0.01,0.026,0.06,0.071,0.032,6
2020-05-11,0.066,0.001,0.061,0.031,0.003,0.049,0.656,0.056,0.002,0.079,0.051,0.003,0.06,0.086,0.054,0
2020-05-12,0.012,0.023,0.014,0.008,0.064,0.082,0.394,0.026,0.019,0.013,0.011,0.108,0.127,0.069,0.024,1
2020-05-13,0.06,0.006,0.006,0.063,0.012,0.122,0.371,0.141,0.012,0.008,0.07,0.021,0.196,0.084,0.062,2
2020-05-14,0.061,0.045,0.005,0.012,0.022,0.062,0.285,0.174,0.084,0.007,0.019,0.027,0.111,0.07,0.053,3
2020-05-15,0.008,0.019,0.013,0.014,0.069,0.086,0.481,0.015,0.047,0.018,0.015,0.111,0.112,0.078,0.033,4
2020-05-16,0.021,0.017,0.026,0.029,0.052,0.081,0.347,0.062,0.041,0.049,0.054,0.083,0.123,0.076,0.053,5
2020-05-17,0.079,0.017,0.019,0.008,0.016,0.042,0.395,0.151,0.027,0.034,0.01,0.025,0.058,0.068,0.031,6
2020-05-18,0.067,0.002,0.07,0.032,0.004,0.049,0.66,0.057,0.003,0.088,0.055,0.004,0.062,0.089,0.056,0
2020-05-19,0.011,0.024,0.015,0.01,0.066,0.088,0.399,0.026,0.02,0.013,0.015,0.109,0.137,0.072,0.025,1
2020-05-20,0.062,0.006,0.006,0.063,0.012,0.121,0.373,0.14,0.011,0.008,0.07,0.022,0.196,0.084,0.063,2
2020-05-21,0.069,0.047,0.006,0.015,0.024,0.067,0.285,0.18,0.086,0.008,0.022,0.03,0.12,0.074,0.057,3
2020-05-22,0.008,0.019,0.013,0.014,0.068,0.083,0.481,0.014,0.046,0.018,0.015,0.112,0.113,0.077,0.033,4
2020-05-23,0.024,0.019,0.029,0.032,0.055,0.083,0.347,0.065,0.043,0.051,0.055,0.084,0.129,0.078,0.055,5
2020-05-24,0.091,0.021,0.024,0.01,0.02,0.049,0.405,0.161,0.032,0.036,0.011,0.027,0.065,0.073,0.034,6
2020-05-25,0.067,0.002,0.064,0.031,0.003,0.048,0.659,0.055,0.002,0.083,0.052,0.003,0.061,0.087,0.054,0
2020-05-26,0.012,0.023,0.015,0.01,0.064,0.084,0.395,0.026,0.02,0.013,0.013,0.108,0.13,0.07,0.024,1
2020-05-27,0.06,0.006,0.006,0.063,0.012,0.121,0.363,0.14,0.011,0.007,0.069,0.02,0.197,0.083,0.061,2
2020-05-28,0.063,0.045,0.005,0.013,0.022,0.062,0.282,0.168,0.083,0.007,0.018,0.026,0.109,0.069,0.054,3
2020-05-29,0.009,0.023,0.015,0.017,0.073,0.088,0.489,0.015,0.049,0.019,0.016,0.111,0.115,0.08,0.036,4
2020-05-30,0.023,0.018,0.027,0.03,0.054,0.082,0.342,0.061,0.041,0.049,0.053,0.081,0.122,0.076,0.054,5
2020-05-31,0.09,0.021,0.024,0.01,0.02,0.047,0.403,0.155,0.03,0.036,0.011,0.027,0.06,0.072,0.033,6
2020-06-01,0.066,0.003,0.068,0.032,0.004,0.049,0.661,0.056,0.003,0.085,0.053,0.004,0.06,0.088,0.054,0
2020-06-02,0.011,0.022,0.015,0.009,0.064,0.087,0.4,0.024,0.019,0.013,0.012,0.109,0.141,0.071,0.023,1
2020-06-03,0.06,0.007,0.007,0.064,0.013,0.121,0.369,0.138,0.011,0.007,0.072,0.02,0.197,0.083,0.062,2
2020-06-04,0.064,0.045,0.005,0.013,0.023,0.064,0.281,0.171,0.084,0.007,0.018,0.026,0.11,0.07,0.054,3
2020-06-05,0.009,0.022,0.017,0.018,0.068,0.083,0.482,0.015,0.048,0.02,0.018,0.106,0.108,0.078,0.035,4
2020-06-06,0.022,0.019,0.027,0.03,0.051,0.082,0.344,0.06,0.042,0.048,0.053,0.079,0.126,0.076,0.052,5
2020-06-07,0.082,0.018,0.02,0.008,0.017,0.043,0.403,0.155,0.027,0.033,0.01,0.024,0.059,0.069,0.03,6
2020-06-08,0.066,0.002,0.064,0.031,0.005,0.049,0.661,0.056,0.003,0.088,0.054,0.004,0.061,0.088,0.055,0
2020-06-09,0.011,0.022,0.015,0.009,0.065,0.084,0.402,0.025,0.019,0.013,0.012,0.111,0.136,0.071,0.023,1
2020-06-10,0.06,0.006,0.006,0.063,0.012,0.12,0.368,0.136,0.01,0.007,0.068,0.021,0.197,0.083,0.062,2
2020-06-11,0.059,0.044,0.005,0.012,0.021,0.061,0.277,0.164,0.083,0.007,0.018,0.026,0.112,0.068,0.051,3
2020-06-12,0.009,0.02,0.014,0.015,0.065,0.081,0.483,0.015,0.047,0.018,0.015,0.109,0.113,0.077,0.034,4
2020-06-13,0.021,0.016,0.025,0.029,0.053,0.081,0.343,0.062,0.041,0.05,0.055,0.083,0.128,0.076,0.054,5
2020-06-14,0.089,0.018,0.019,0.009,0.018,0.045,0.406,0.163,0.031,0.035,0.012,0.028,0.065,0.072,0.033,6
2020-06-15,0.063,0.002,0.058,0.028,0.003,0.046,0.661,0.055,0.002,0.083,0.053,0.004,0.061,0.086,0.054,0
2020-06-16,0.011,0.022,0.015,0.01,0.067,0.084,0.405,0.025,0.019,0.013,0.014,0.115,0.144,0.073,0.023,1
2020-06-17,0.062,0.005,0.005,0.062,0.013,0.121,0.368,0.14,0.012,0.008,0.069,0.024,0.2,0.084,0.062,2
2020-06-18,0.055,0.043,0.005,0.012,0.021,0.064,0.285,0.166,0.085,0.007,0.02,0.027,0.118,0.07,0.049,3
2020-06-19,0.009,0.018,0.012,0.016,0.061,0.076,0.48,0.016,0.049,0.019,0.017,0.114,0.119,0.077,0.034,4
2020-06-20,0.016,0.015,0.02,0.023,0.042,0.076,0.337,0.051,0.037,0.045,0.051,0.077,0.126,0.071,0.048,5
2020-06-21,0.086,0.018,0.018,0.008,0.017,0.044,0.402,0.163,0.031,0.034,0.011,0.028,0.067,0.071,0.032,6
2020-06-22,0.061,0.002,0.057,0.026,0.004,0.043,0.662,0.054,0.003,0.083,0.05,0.006,0.06,0.085,0.052,0
2020-06-23,0.011,0.021,0.015,0.012,0.068,0.087,0.415,0.025,0.019,0.013,0.017,0.117,0.155,0.075,0.023,1
2020-06-24,0.064,0.006,0.006,0.061,0.015,0.119,0.368,0.143,0.012,0.008,0.067,0.028,0.2,0.084,0.062,2
2020-06-25,0.06,0.045,0.004,0.014,0.023,0.066,0.288,0.168,0.09,0.007,0.022,0.03,0.126,0.072,0.052,3
2020-06-26,0.009,0.02,0.012,0.015,0.061,0.077,0.473,0.017,0.048,0.018,0.018,0.116,0.123,0.077,0.034,4
2020-06-27,0.02,0.016,0.022,0.025,0.051,0.082,0.349,0.051,0.037,0.044,0.05,0.087,0.14,0.075,0.051,5
2020-06-28,0.091,0.017,0.017,0.006,0.016,0.046,0.412,0.162,0.027,0.03,0.01,0.026,0.066,0.071,0.029,6
2020-06-29,0.055,0.001,0.054,0.024,0.004,0.04,0.662,0.051,0.002,0.086,0.048,0.006,0.057,0.084,0.05,0
2020-06-30,0.01,0.02,0.016,0.012,0.072,0.098,0.429,0.024,0.016,0.013,0.02,0.122,0.165,0.078,0.022,1
2020-07-01,0.064,0.005,0.006,0.06,0.015,0.119,0.371,0.143,0.012,0.007,0.063,0.031,0.204,0.085,0.061,2
2020-07-02,0.058,0.042,0.003,0.013,0.024,0.062,0.287,0.164,0.092,0.007,0.026,0.032,0.129,0.072,0.05,3
