Feature,Importance,Normalized,Type
AgeDist,33717.723,55.004,static_variables
HealthDisp,27582.277,44.996,static_variables
SinWeekly,10219.876,16.672,encoder_variables
CosWeekly,6490.467,10.588,encoder_variables
DiseaseSpread,10091.082,16.462,encoder_variables
Transmission,1969.809,3.213,encoder_variables
VaccinationFull,6884.21,11.23,encoder_variables
SocialDist,2244.839,3.662,encoder_variables
Cases,23399.715,38.172,encoder_variables
SinWeekly,44659.965,72.855,decoder_variables
CosWeekly,16640.033,27.145,decoder_variables
