Delta,Feature,Mu_star,Morris_sensitivity
0.01,AgeDist,2.7547436893783052e-05,2.336993209293439e-06
0.01,HealthDisp,2.3359110025199337e-05,2.8555189551500975e-06
0.01,DiseaseSpread,4.1793518475026256e-05,9.684821398725185e-07
0.01,Transmission,2.961438018793061e-05,9.393409934977652e-07
0.01,VaccinationFull,2.4435774646675716e-05,4.5451434229035886e-06
0.01,SocialDist,1.722306367614556e-05,3.823445976440748e-06
0.001,AgeDist,4.000412086813333e-05,3.393758888460522e-06
0.001,HealthDisp,5.2432716218843567e-05,6.409602714803604e-06
0.001,DiseaseSpread,0.00027464489309670894,6.364352260274557e-06
0.001,Transmission,0.0002329178180552682,7.387939684266473e-06
0.001,VaccinationFull,2.6580278259565085e-05,4.9440289353317e-06
0.001,SocialDist,1.8594453951911816e-05,4.127888712681151e-06
0.0001,AgeDist,7.457871838217276e-05,6.326902901673569e-06
0.0001,HealthDisp,8.95065148607048e-05,1.0941664708905594e-05
0.0001,DiseaseSpread,0.001545924335281838,3.582373925299944e-05
0.0001,Transmission,0.0006600905104257511,2.0937465917806865e-05
0.0001,VaccinationFull,3.609367527934959e-05,6.713555562547775e-06
0.0001,SocialDist,0.0001851297804717043,4.109801412650334e-05
