Date,0,1,2,3,4,5,6,7,8,9,10,11,12,mean,median,weekday
2020-03-13,0.029,0.018,0.005,0.016,0.007,0.005,0.369,0.07,0.025,0.009,0.062,0.016,0.007,0.049,0.017,4
2020-03-14,0.081,0.011,0.053,0.003,0.023,0.067,0.342,0.155,0.038,0.127,0.006,0.059,0.142,0.085,0.063,5
2020-03-15,0.159,0.027,0.012,0.007,0.007,0.056,0.378,0.165,0.052,0.05,0.007,0.017,0.184,0.086,0.051,6
2020-03-16,0.027,0.01,0.004,0.025,0.004,0.062,0.312,0.091,0.011,0.012,0.045,0.003,0.115,0.056,0.026,0
2020-03-17,0.069,0.007,0.006,0.003,0.075,0.089,0.45,0.159,0.073,0.029,0.009,0.159,0.182,0.101,0.074,1
2020-03-18,0.045,0.006,0.011,0.026,0.031,0.089,0.344,0.151,0.018,0.127,0.143,0.083,0.148,0.094,0.086,2
2020-03-19,0.014,0.025,0.015,0.005,0.011,0.049,0.193,0.066,0.098,0.042,0.039,0.044,0.11,0.055,0.043,3
2020-03-20,0.02,0.011,0.005,0.012,0.007,0.006,0.294,0.062,0.023,0.009,0.054,0.017,0.013,0.041,0.015,4
2020-03-21,0.058,0.01,0.041,0.003,0.016,0.048,0.359,0.138,0.039,0.123,0.006,0.059,0.15,0.081,0.053,5
2020-03-22,0.152,0.011,0.012,0.005,0.007,0.041,0.371,0.168,0.064,0.052,0.009,0.015,0.2,0.085,0.047,6
2020-03-23,0.021,0.012,0.002,0.023,0.003,0.064,0.315,0.099,0.011,0.017,0.046,0.004,0.114,0.056,0.022,0
2020-03-24,0.096,0.006,0.005,0.002,0.069,0.087,0.439,0.123,0.072,0.033,0.015,0.175,0.244,0.105,0.079,1
2020-03-25,0.034,0.004,0.009,0.02,0.021,0.068,0.274,0.153,0.013,0.124,0.146,0.108,0.19,0.09,0.079,2
2020-03-26,0.011,0.025,0.012,0.005,0.011,0.038,0.18,0.058,0.101,0.028,0.041,0.047,0.168,0.056,0.04,3
2020-03-27,0.017,0.011,0.006,0.009,0.005,0.006,0.285,0.064,0.031,0.01,0.046,0.016,0.018,0.04,0.017,4
2020-03-28,0.033,0.009,0.042,0.003,0.012,0.043,0.386,0.136,0.039,0.134,0.006,0.06,0.172,0.083,0.043,5
2020-03-29,0.159,0.005,0.014,0.005,0.006,0.045,0.398,0.15,0.084,0.052,0.011,0.013,0.255,0.092,0.048,6
2020-03-30,0.016,0.012,0.001,0.024,0.002,0.065,0.342,0.111,0.01,0.031,0.051,0.004,0.129,0.062,0.028,0
2020-03-31,0.085,0.005,0.005,0.002,0.075,0.105,0.447,0.093,0.081,0.038,0.021,0.204,0.328,0.115,0.083,1
2020-04-01,0.034,0.004,0.01,0.022,0.024,0.07,0.278,0.154,0.011,0.124,0.146,0.119,0.207,0.093,0.081,2
2020-04-02,0.01,0.029,0.011,0.006,0.014,0.049,0.216,0.056,0.107,0.024,0.037,0.051,0.193,0.062,0.043,3
2020-04-03,0.019,0.016,0.007,0.009,0.004,0.005,0.328,0.068,0.031,0.009,0.042,0.012,0.014,0.044,0.015,4
2020-04-04,0.027,0.011,0.063,0.003,0.015,0.046,0.403,0.146,0.042,0.128,0.007,0.057,0.147,0.084,0.052,5
2020-04-05,0.149,0.004,0.017,0.007,0.006,0.052,0.428,0.136,0.078,0.045,0.008,0.012,0.251,0.092,0.049,6
2020-04-06,0.014,0.011,0.001,0.025,0.002,0.064,0.382,0.113,0.01,0.035,0.043,0.003,0.124,0.064,0.03,0
2020-04-07,0.073,0.005,0.005,0.003,0.082,0.126,0.473,0.079,0.091,0.039,0.021,0.201,0.319,0.117,0.08,1
2020-04-08,0.038,0.004,0.013,0.028,0.031,0.077,0.315,0.159,0.011,0.123,0.142,0.097,0.176,0.093,0.085,2
2020-04-09,0.01,0.033,0.012,0.006,0.014,0.057,0.252,0.054,0.108,0.024,0.03,0.047,0.179,0.064,0.04,3
2020-04-10,0.02,0.014,0.007,0.009,0.004,0.004,0.372,0.071,0.032,0.008,0.045,0.009,0.006,0.046,0.012,4
2020-04-11,0.022,0.011,0.052,0.003,0.016,0.051,0.421,0.138,0.04,0.1,0.005,0.057,0.121,0.08,0.051,5
2020-04-12,0.174,0.004,0.017,0.005,0.005,0.056,0.446,0.133,0.066,0.041,0.005,0.009,0.225,0.091,0.048,6
2020-04-13,0.023,0.009,0.002,0.017,0.002,0.048,0.402,0.112,0.007,0.027,0.031,0.002,0.095,0.06,0.025,0
2020-04-14,0.096,0.006,0.004,0.002,0.065,0.106,0.474,0.082,0.083,0.028,0.012,0.179,0.268,0.108,0.083,1
2020-04-15,0.03,0.004,0.01,0.024,0.02,0.058,0.316,0.158,0.009,0.122,0.143,0.071,0.155,0.086,0.064,2
2020-04-16,0.006,0.027,0.012,0.004,0.012,0.052,0.236,0.051,0.114,0.026,0.03,0.051,0.19,0.062,0.04,3
2020-04-17,0.02,0.011,0.006,0.009,0.002,0.003,0.404,0.088,0.033,0.009,0.056,0.007,0.005,0.05,0.01,4
2020-04-18,0.012,0.008,0.035,0.002,0.014,0.047,0.408,0.143,0.044,0.122,0.007,0.068,0.107,0.078,0.046,5
2020-04-19,0.204,0.004,0.013,0.004,0.004,0.057,0.444,0.118,0.057,0.037,0.007,0.007,0.188,0.088,0.047,6
2020-04-20,0.031,0.007,0.001,0.015,0.002,0.045,0.383,0.095,0.006,0.016,0.034,0.003,0.099,0.057,0.024,0
2020-04-21,0.082,0.006,0.005,0.002,0.067,0.117,0.481,0.069,0.077,0.025,0.007,0.194,0.281,0.109,0.073,1
2020-04-22,0.033,0.004,0.014,0.027,0.017,0.053,0.316,0.155,0.008,0.139,0.156,0.075,0.179,0.09,0.064,2
2020-04-23,0.007,0.026,0.011,0.004,0.013,0.054,0.239,0.054,0.118,0.024,0.033,0.058,0.197,0.064,0.043,3
2020-04-24,0.026,0.015,0.006,0.01,0.002,0.002,0.438,0.109,0.039,0.011,0.058,0.007,0.004,0.056,0.013,4
2020-04-25,0.017,0.009,0.041,0.003,0.017,0.04,0.39,0.164,0.05,0.144,0.009,0.071,0.113,0.082,0.046,5
2020-04-26,0.192,0.006,0.014,0.007,0.003,0.066,0.438,0.106,0.061,0.044,0.008,0.008,0.196,0.088,0.052,6
2020-04-27,0.027,0.006,0.002,0.018,0.003,0.05,0.393,0.098,0.005,0.017,0.041,0.003,0.104,0.059,0.022,0
2020-04-28,0.064,0.008,0.006,0.002,0.076,0.135,0.491,0.076,0.079,0.025,0.007,0.196,0.26,0.11,0.076,1
2020-04-29,0.036,0.004,0.015,0.031,0.02,0.057,0.322,0.148,0.009,0.135,0.152,0.062,0.145,0.087,0.059,2
2020-04-30,0.007,0.029,0.01,0.005,0.016,0.057,0.25,0.053,0.111,0.025,0.033,0.061,0.161,0.063,0.043,3
2020-05-01,0.029,0.016,0.006,0.01,0.002,0.002,0.45,0.107,0.034,0.01,0.052,0.006,0.004,0.056,0.013,4
2020-05-02,0.017,0.009,0.05,0.003,0.017,0.04,0.389,0.169,0.048,0.136,0.007,0.058,0.115,0.081,0.049,5
2020-05-03,0.192,0.006,0.016,0.009,0.004,0.073,0.449,0.122,0.057,0.045,0.008,0.007,0.199,0.091,0.051,6
2020-05-04,0.029,0.006,0.002,0.021,0.004,0.059,0.409,0.096,0.005,0.014,0.044,0.003,0.104,0.061,0.025,0
2020-05-05,0.061,0.007,0.006,0.002,0.077,0.137,0.49,0.079,0.077,0.025,0.007,0.183,0.236,0.107,0.077,1
