Delta,Feature,Mu_star,Morris_sensitivity
0.001,AGE3039,0.0029722353305752613,0.00036461512478536264
0.001,VaccinationFull,0.004467222345047019,0.000845815154051259
0.002,AGE3039,0.0032695427413999795,0.0004010869268604987
0.002,VaccinationFull,0.003447122821614559,0.0006526715026016555
0.003,AGE3039,0.003458804304635944,0.0004243043443329564
0.003,VaccinationFull,0.003183804920043288,0.000602815405394205
0.004,AGE3039,0.0033081003317276827,0.0004058169293822161
0.004,VaccinationFull,0.002865038468747894,0.0005424607880764166
0.005,AGE3039,0.003189626679183033,0.0003912833272942601
0.005,VaccinationFull,0.00263204562166937,0.0004983463774599266
0.006,AGE3039,0.0029136306110215428,0.00035742586661550074
0.006,VaccinationFull,0.002454771378932192,0.0004647816185675666
0.007,AGE3039,0.0027461065342124537,0.0003368750671744361
0.007,VaccinationFull,0.0023241849343315045,0.00044005663619022884
0.008,AGE3039,0.0026422006290710244,0.00032412854465673705
0.008,VaccinationFull,0.0022502796579090276,0.0004260635554939466
0.009,AGE3039,0.0024908216235188315,0.0003055583209495132
0.009,VaccinationFull,0.0021593736341064696,0.00040885158649222485
