Delta,Feature,Mu_star,Morris_sensitivity
0.001,AGE80PLUS,0.010436023169236211,0.0008001047213028314
0.001,VaccinationFull,0.0038327015301680856,0.0007256762222202519
0.002,AGE80PLUS,0.008777961691757968,0.0006729851476081916
0.002,VaccinationFull,0.0028982618258208952,0.0005487512336173592
0.003,AGE80PLUS,0.007401373553627407,0.0005674454558360866
0.003,VaccinationFull,0.0026226729435426138,0.0004965717728888233
0.004,AGE80PLUS,0.006608513270767679,0.0005066587705861347
0.004,VaccinationFull,0.0022938589269353134,0.00043431476917839127
0.005,AGE80PLUS,0.005870723682473105,0.00045009422264006465
0.005,VaccinationFull,0.0020462345057340836,0.0003874300448938723
0.006,AGE80PLUS,0.005313486053141874,0.00040737215783765904
0.006,VaccinationFull,0.0018530662209423618,0.0003508559391209464
0.007,AGE80PLUS,0.004777286483562266,0.0003662630303257671
0.007,VaccinationFull,0.0017145470555452954,0.00032462899088111385
0.008,AGE80PLUS,0.004468071408732752,0.0003425562564659301
0.008,VaccinationFull,0.0016286773750613021,0.00030837059328704095
0.009,AGE80PLUS,0.0040976179198456975,0.00031415448112727574
0.009,VaccinationFull,0.0015332015298740694,0.00029029338322948705
