Delta,Feature,Mu_star,Morris_sensitivity
0.001,AGE2029,0.008742973348223708,0.0007170010102325018
0.001,VaccinationFull,0.00533462131795045,0.0010100467814972616
0.002,AGE2029,0.008521216241316427,0.0006988149694720023
0.002,VaccinationFull,0.0041990510034425,0.0007950401159869803
0.003,AGE2029,0.007141667289694388,0.0005856797747754348
0.003,VaccinationFull,0.003905689837402377,0.0007394956857613404
0.004,AGE2029,0.006147114951753223,0.0005041177017104641
0.004,VaccinationFull,0.0035641140725501848,0.0006748223975626996
0.005,AGE2029,0.005792601968611396,0.00047504450693687257
0.005,VaccinationFull,0.0032953885953287444,0.0006239424405429739
0.006,AGE2029,0.004999414777530816,0.00040999615385870603
0.006,VaccinationFull,0.0031028349777867535,0.0005874847146666291
0.007,AGE2029,0.004507869866363285,0.00036968513106994626
0.007,VaccinationFull,0.002952577021577053,0.0005590351667009128
0.008,AGE2029,0.004090583585136068,0.00033546397159942525
0.008,VaccinationFull,0.002845500653054364,0.000538761536211559
0.009,AGE2029,0.0037463902375664835,0.0003072370780595018
0.009,VaccinationFull,0.0027353926934689525,0.0005179139101912732
