Delta,Feature,Mu_star,Morris_sensitivity
0.001,AGE80PLUS,0.008996713412447243,0.0006897563143331326
0.001,VaccinationFull,0.003531443822492725,0.0006686366762238276
0.002,AGE80PLUS,0.007493209110991446,0.0005744862664819509
0.002,VaccinationFull,0.002476525440980895,0.000468900490188847
0.003,AGE80PLUS,0.006577764946806489,0.0005043013707629895
0.003,VaccinationFull,0.0021917393038659934,0.00041497963919234976
0.004,AGE80PLUS,0.0059592540007315925,0.0004568816285770181
0.004,VaccinationFull,0.0018992239676512,0.0003595953567338801
0.005,AGE80PLUS,0.005295137799361058,0.00040596544148224035
0.005,VaccinationFull,0.0016753560070681666,0.00031720863430498194
0.006,AGE80PLUS,0.004821417802059384,0.00036964647205584586
0.006,VaccinationFull,0.0015014167081976457,0.00028427530717098424
0.007,AGE80PLUS,0.004356664127452155,0.00033401492896074767
0.007,VaccinationFull,0.001380620433658425,0.00026140397647228053
0.008,AGE80PLUS,0.0040563666926378555,0.0003109918490486287
0.008,VaccinationFull,0.0013148343788250026,0.0002489481733343308
0.009,AGE80PLUS,0.0037328276608066977,0.0002861868919595192
0.009,VaccinationFull,0.0012299160228895474,0.00023286989767228278
