Date,0,1,2,3,4,5,6,7,8,9,10,11,12,mean,median,weekday
2020-03-13,0.063,0.021,0.036,0.07,0.041,0.037,0.167,0.088,0.027,0.039,0.079,0.039,0.034,0.057,0.04,4
2020-03-14,0.056,0.062,0.04,0.051,0.032,0.106,0.15,0.095,0.087,0.045,0.051,0.032,0.114,0.071,0.059,5
2020-03-15,0.126,0.061,0.047,0.025,0.058,0.159,0.261,0.146,0.075,0.052,0.025,0.059,0.162,0.097,0.068,6
2020-03-16,0.087,0.057,0.077,0.057,0.024,0.059,0.24,0.102,0.058,0.087,0.058,0.023,0.058,0.076,0.058,0
2020-03-17,0.058,0.068,0.074,0.042,0.072,0.126,0.161,0.08,0.078,0.082,0.048,0.076,0.118,0.083,0.077,1
2020-03-18,0.085,0.013,0.027,0.064,0.061,0.109,0.281,0.119,0.017,0.029,0.065,0.063,0.107,0.08,0.064,2
2020-03-19,0.121,0.094,0.026,0.029,0.046,0.083,0.123,0.125,0.111,0.03,0.03,0.047,0.084,0.073,0.078,3
2020-03-20,0.063,0.022,0.036,0.064,0.041,0.039,0.163,0.089,0.029,0.04,0.075,0.04,0.037,0.057,0.041,4
2020-03-21,0.055,0.065,0.046,0.055,0.031,0.099,0.146,0.095,0.092,0.052,0.056,0.031,0.108,0.072,0.06,5
2020-03-22,0.113,0.06,0.046,0.028,0.06,0.161,0.25,0.138,0.073,0.052,0.028,0.063,0.17,0.096,0.068,6
2020-03-23,0.089,0.055,0.071,0.053,0.026,0.058,0.225,0.105,0.06,0.08,0.055,0.024,0.06,0.074,0.06,0
2020-03-24,0.061,0.072,0.069,0.043,0.067,0.116,0.146,0.083,0.08,0.079,0.049,0.073,0.108,0.08,0.076,1
2020-03-25,0.076,0.012,0.027,0.062,0.063,0.103,0.252,0.108,0.017,0.031,0.068,0.069,0.106,0.077,0.068,2
2020-03-26,0.109,0.085,0.025,0.03,0.05,0.086,0.119,0.124,0.106,0.03,0.034,0.055,0.091,0.073,0.079,3
2020-03-27,0.064,0.024,0.04,0.061,0.043,0.044,0.154,0.093,0.036,0.048,0.073,0.046,0.047,0.059,0.048,4
2020-03-28,0.055,0.066,0.051,0.059,0.032,0.091,0.144,0.096,0.099,0.066,0.067,0.035,0.103,0.074,0.066,5
2020-03-29,0.104,0.059,0.046,0.031,0.064,0.173,0.232,0.128,0.07,0.054,0.031,0.071,0.185,0.096,0.07,6
2020-03-30,0.092,0.058,0.068,0.052,0.03,0.062,0.219,0.11,0.063,0.076,0.056,0.029,0.066,0.075,0.065,0
2020-03-31,0.078,0.085,0.07,0.046,0.065,0.106,0.136,0.098,0.091,0.081,0.051,0.071,0.104,0.083,0.082,1
2020-04-01,0.075,0.017,0.032,0.066,0.07,0.102,0.218,0.107,0.022,0.038,0.074,0.076,0.111,0.078,0.074,2
2020-04-02,0.096,0.084,0.03,0.034,0.054,0.096,0.123,0.129,0.11,0.033,0.04,0.064,0.1,0.076,0.08,3
2020-04-03,0.06,0.025,0.043,0.055,0.043,0.048,0.146,0.094,0.04,0.053,0.061,0.048,0.055,0.059,0.054,4
2020-04-04,0.052,0.064,0.056,0.06,0.028,0.08,0.14,0.091,0.098,0.082,0.069,0.029,0.09,0.072,0.07,5
2020-04-05,0.101,0.058,0.046,0.03,0.066,0.17,0.219,0.121,0.067,0.054,0.036,0.072,0.173,0.093,0.07,6
2020-04-06,0.092,0.061,0.066,0.051,0.029,0.065,0.219,0.115,0.065,0.074,0.057,0.033,0.069,0.077,0.066,0
2020-04-07,0.068,0.078,0.069,0.045,0.061,0.094,0.127,0.089,0.086,0.077,0.05,0.068,0.11,0.079,0.077,1
2020-04-08,0.066,0.014,0.03,0.067,0.068,0.096,0.204,0.099,0.019,0.036,0.074,0.076,0.11,0.074,0.071,2
2020-04-09,0.086,0.082,0.029,0.035,0.059,0.098,0.126,0.136,0.113,0.032,0.041,0.066,0.103,0.078,0.08,3
