Date,0,1,2,3,4,5,6,7,8,9,10,11,12,mean,median,weekday
2020-03-13,0.042,0.019,0.02,0.044,0.026,0.03,0.247,0.073,0.026,0.027,0.058,0.028,0.033,0.052,0.032,4
2020-03-14,0.031,0.024,0.06,0.028,0.007,0.073,0.318,0.062,0.038,0.081,0.041,0.007,0.086,0.066,0.05,5
2020-03-15,0.199,0.029,0.011,0.009,0.038,0.068,0.45,0.217,0.041,0.016,0.012,0.052,0.075,0.094,0.047,6
2020-03-16,0.123,0.028,0.096,0.034,0.007,0.049,0.498,0.124,0.026,0.123,0.045,0.009,0.067,0.095,0.058,0
2020-03-17,0.046,0.04,0.022,0.033,0.084,0.061,0.263,0.093,0.036,0.023,0.039,0.119,0.091,0.073,0.053,1
2020-03-18,0.059,0.005,0.009,0.033,0.045,0.125,0.411,0.095,0.008,0.01,0.037,0.055,0.171,0.082,0.05,2
2020-03-19,0.079,0.077,0.031,0.012,0.018,0.087,0.198,0.104,0.133,0.044,0.012,0.021,0.111,0.071,0.074,3
2020-03-20,0.045,0.025,0.022,0.039,0.026,0.033,0.227,0.076,0.036,0.031,0.051,0.028,0.039,0.052,0.037,4
2020-03-21,0.03,0.029,0.067,0.03,0.008,0.065,0.288,0.064,0.046,0.095,0.045,0.009,0.076,0.066,0.055,5
2020-03-22,0.176,0.032,0.017,0.011,0.047,0.088,0.412,0.181,0.045,0.024,0.017,0.068,0.096,0.093,0.057,6
2020-03-23,0.127,0.035,0.085,0.037,0.009,0.057,0.461,0.132,0.032,0.112,0.048,0.013,0.082,0.095,0.07,0
2020-03-24,0.047,0.056,0.031,0.036,0.086,0.061,0.258,0.1,0.054,0.034,0.046,0.119,0.098,0.079,0.059,1
2020-03-25,0.057,0.006,0.012,0.043,0.049,0.124,0.375,0.092,0.009,0.014,0.051,0.065,0.169,0.082,0.054,2
2020-03-26,0.088,0.07,0.028,0.014,0.026,0.089,0.185,0.115,0.119,0.037,0.016,0.032,0.119,0.072,0.071,3
