Delta,Feature,Mu_star,Morris_sensitivity
0.001,Health Care and Social Assistance,0.007126209281116339,0.0005935754055916569
0.001,VaccinationFull,0.0034136979521800204,0.0006463429031037454
0.002,Health Care and Social Assistance,0.009440768109533119,0.0007863658697987397
0.002,VaccinationFull,0.0024821906968619735,0.00046997313867277736
0.003,Health Care and Social Assistance,0.008950022702166582,0.0007454893823523588
0.003,VaccinationFull,0.0022101310082627383,0.0004184618885826998
0.004,Health Care and Social Assistance,0.007068719347271882,0.0005887867992719425
0.004,VaccinationFull,0.0019443814384788045,0.00036814538406506134
0.005,Health Care and Social Assistance,0.005804590972276078,0.0004834916159131805
0.005,VaccinationFull,0.0017275934347131346,0.0003270991668323717
0.006,Health Care and Social Assistance,0.004906344742660408,0.0004086724730796747
0.006,VaccinationFull,0.0015585427353412608,0.00029509143757971247
0.007,Health Care and Social Assistance,0.0044275820515769495,0.00036879408229271494
0.007,VaccinationFull,0.0014397841156857654,0.000272605912477028
0.008,Health Care and Social Assistance,0.0038935912253510972,0.00032431548101178524
0.008,VaccinationFull,0.0013741719379007922,0.0002601830308798391
0.009,Health Care and Social Assistance,0.0034748026925861784,0.00028943261925640744
0.009,VaccinationFull,0.001291547843579323,0.00024453914623094917
