Delta,Feature,Mu_star,Morris_sensitivity
0.001,Retail Trade,0.0074424279958841015,0.0004824060725059387
0.001,VaccinationFull,0.0035015101196558605,0.0006629690873910581
0.002,Retail Trade,0.006475993879341637,0.00041976338563616615
0.002,VaccinationFull,0.0025855492391254455,0.0004895428431993542
0.003,Retail Trade,0.005679041633168284,0.000368106237825816
0.003,VaccinationFull,0.0023800964771298,0.00045064281850497686
0.004,Retail Trade,0.00481411348546192,0.0003120430026872813
0.004,VaccinationFull,0.0020746653751981202,0.0003928130901909566
0.005,Retail Trade,0.00423505373495725,0.00027450929189535813
0.005,VaccinationFull,0.0018395540768200032,0.00034829757614286737
0.006,Retail Trade,0.0038133363948276745,0.0002471742601191598
0.006,VaccinationFull,0.001669706491905197,0.0003161389661378758
0.007,Retail Trade,0.003404289856324314,0.00022066052908666838
0.007,VaccinationFull,0.0015458126132492321,0.000292681141125519
0.008,Retail Trade,0.0030437455687942257,0.00019729063504025907
0.008,VaccinationFull,0.0014805017355182509,0.0002803153070920954
0.009,Retail Trade,0.002751880238520562,0.00017837239925002607
0.009,VaccinationFull,0.001394113739384344,0.00026395877262517023
