Date,0,1,2,3,4,5,6,7,8,9,10,11,12,mean,median,weekday
2020-03-13,0.062,0.03,0.011,0.007,0.013,0.013,0.21,0.064,0.047,0.013,0.014,0.021,0.012,0.04,0.018,4
2020-03-14,0.07,0.037,0.044,0.011,0.004,0.075,0.195,0.101,0.036,0.044,0.011,0.019,0.199,0.065,0.044,5
2020-03-15,0.2,0.041,0.012,0.012,0.015,0.013,0.23,0.184,0.071,0.012,0.009,0.012,0.127,0.072,0.028,6
2020-03-16,0.032,0.008,0.011,0.01,0.008,0.041,0.332,0.061,0.025,0.027,0.02,0.014,0.044,0.049,0.026,0
2020-03-17,0.037,0.009,0.005,0.031,0.047,0.066,0.203,0.125,0.014,0.003,0.094,0.132,0.158,0.071,0.056,1
2020-03-18,0.129,0.015,0.015,0.013,0.026,0.103,0.266,0.193,0.04,0.044,0.032,0.071,0.212,0.089,0.058,2
2020-03-19,0.075,0.057,0.032,0.024,0.04,0.042,0.188,0.163,0.211,0.163,0.117,0.125,0.142,0.106,0.111,3
2020-03-20,0.056,0.026,0.011,0.003,0.006,0.012,0.194,0.068,0.044,0.015,0.017,0.023,0.027,0.039,0.025,4
2020-03-21,0.042,0.03,0.037,0.01,0.002,0.067,0.213,0.092,0.034,0.043,0.01,0.016,0.247,0.065,0.04,5
2020-03-22,0.139,0.03,0.009,0.009,0.014,0.009,0.268,0.225,0.082,0.011,0.009,0.011,0.134,0.073,0.022,6
2020-03-23,0.013,0.005,0.01,0.006,0.005,0.035,0.389,0.069,0.038,0.051,0.025,0.011,0.057,0.055,0.03,0
2020-03-24,0.015,0.004,0.002,0.026,0.05,0.081,0.236,0.087,0.022,0.006,0.108,0.181,0.222,0.08,0.065,1
2020-03-25,0.119,0.008,0.01,0.009,0.023,0.092,0.243,0.187,0.046,0.064,0.04,0.076,0.222,0.088,0.07,2
2020-03-26,0.081,0.055,0.019,0.019,0.034,0.048,0.19,0.175,0.227,0.182,0.162,0.171,0.175,0.118,0.14,3
2020-03-27,0.058,0.03,0.015,0.002,0.004,0.014,0.194,0.066,0.047,0.015,0.022,0.018,0.031,0.04,0.026,4
2020-03-28,0.036,0.028,0.035,0.013,0.002,0.069,0.235,0.076,0.027,0.037,0.01,0.013,0.243,0.063,0.035,5
2020-03-29,0.123,0.026,0.008,0.007,0.015,0.019,0.299,0.249,0.082,0.008,0.006,0.011,0.162,0.078,0.022,6
2020-03-30,0.01,0.004,0.016,0.006,0.004,0.034,0.48,0.078,0.053,0.078,0.029,0.008,0.059,0.066,0.031,0
2020-03-31,0.013,0.003,0.002,0.04,0.066,0.101,0.25,0.07,0.055,0.012,0.125,0.213,0.251,0.092,0.068,1
2020-04-01,0.128,0.009,0.012,0.013,0.034,0.108,0.27,0.191,0.052,0.098,0.057,0.094,0.225,0.099,0.096,2
2020-04-02,0.104,0.061,0.029,0.038,0.066,0.084,0.217,0.176,0.223,0.195,0.164,0.169,0.173,0.131,0.147,3
2020-04-03,0.067,0.035,0.015,0.002,0.004,0.016,0.208,0.061,0.041,0.012,0.016,0.011,0.024,0.039,0.02,4
2020-04-04,0.042,0.031,0.039,0.015,0.002,0.083,0.244,0.067,0.022,0.032,0.009,0.012,0.174,0.059,0.036,5
2020-04-05,0.13,0.03,0.008,0.006,0.015,0.029,0.334,0.243,0.067,0.007,0.004,0.011,0.111,0.077,0.03,6
2020-04-06,0.012,0.004,0.025,0.007,0.005,0.035,0.515,0.086,0.063,0.085,0.028,0.007,0.053,0.071,0.032,0
2020-04-07,0.012,0.004,0.002,0.047,0.077,0.105,0.249,0.066,0.065,0.013,0.113,0.206,0.214,0.09,0.071,1
2020-04-08,0.127,0.01,0.021,0.016,0.043,0.122,0.285,0.191,0.06,0.114,0.056,0.091,0.185,0.102,0.097,2
2020-04-09,0.099,0.054,0.03,0.038,0.061,0.077,0.215,0.172,0.203,0.182,0.13,0.136,0.132,0.118,0.124,3
2020-04-10,0.048,0.032,0.015,0.002,0.006,0.017,0.212,0.057,0.037,0.011,0.011,0.009,0.021,0.037,0.019,4
2020-04-11,0.045,0.021,0.031,0.013,0.003,0.091,0.238,0.071,0.021,0.029,0.009,0.008,0.113,0.053,0.03,5
2020-04-12,0.163,0.031,0.005,0.005,0.015,0.035,0.337,0.23,0.059,0.006,0.004,0.013,0.073,0.075,0.033,6
2020-04-13,0.019,0.009,0.027,0.005,0.005,0.034,0.491,0.084,0.067,0.078,0.024,0.007,0.054,0.07,0.031,0
2020-04-14,0.031,0.003,0.002,0.033,0.052,0.085,0.225,0.071,0.054,0.013,0.093,0.187,0.172,0.079,0.063,1
2020-04-15,0.097,0.009,0.012,0.004,0.033,0.093,0.247,0.177,0.062,0.097,0.045,0.08,0.179,0.087,0.084,2
2020-04-16,0.077,0.042,0.026,0.026,0.025,0.066,0.195,0.177,0.214,0.199,0.152,0.156,0.141,0.115,0.128,3
2020-04-17,0.029,0.023,0.01,0.002,0.007,0.021,0.222,0.062,0.052,0.012,0.012,0.01,0.02,0.037,0.02,4
2020-04-18,0.028,0.013,0.021,0.011,0.005,0.102,0.221,0.059,0.024,0.038,0.012,0.008,0.093,0.049,0.026,5
2020-04-19,0.167,0.026,0.003,0.004,0.013,0.048,0.362,0.236,0.043,0.007,0.006,0.016,0.065,0.077,0.034,6
2020-04-20,0.031,0.012,0.017,0.006,0.006,0.039,0.457,0.068,0.041,0.05,0.026,0.01,0.087,0.065,0.035,0
2020-04-21,0.029,0.004,0.002,0.03,0.048,0.083,0.243,0.07,0.027,0.006,0.105,0.215,0.214,0.083,0.059,1
2020-04-22,0.098,0.01,0.008,0.005,0.025,0.098,0.247,0.19,0.052,0.078,0.038,0.083,0.248,0.091,0.081,2
2020-04-23,0.078,0.045,0.027,0.028,0.031,0.064,0.205,0.215,0.226,0.198,0.204,0.214,0.204,0.134,0.166,3
2020-04-24,0.025,0.017,0.011,0.002,0.005,0.019,0.237,0.062,0.05,0.014,0.016,0.011,0.02,0.038,0.018,4
2020-04-25,0.025,0.016,0.024,0.011,0.003,0.086,0.232,0.059,0.031,0.051,0.01,0.007,0.082,0.049,0.028,5
2020-04-26,0.144,0.018,0.005,0.006,0.016,0.042,0.344,0.229,0.038,0.009,0.008,0.016,0.083,0.074,0.028,6
2020-04-27,0.033,0.011,0.016,0.009,0.006,0.054,0.418,0.074,0.034,0.04,0.033,0.01,0.089,0.064,0.034,0
2020-04-28,0.018,0.004,0.004,0.031,0.062,0.087,0.248,0.069,0.016,0.005,0.101,0.212,0.206,0.082,0.066,1
