Date,0,1,2,3,4,5,6,7,8,9,10,11,12,mean,median,weekday
2020-03-13,0.025,0.012,0.008,0.004,0.007,0.015,0.178,0.11,0.054,0.062,0.033,0.038,0.084,0.048,0.035,4
2020-03-14,0.037,0.016,0.01,0.011,0.016,0.111,0.298,0.051,0.049,0.076,0.103,0.047,0.449,0.098,0.05,5
2020-03-15,0.099,0.018,0.007,0.006,0.013,0.071,0.112,0.046,0.033,0.037,0.053,0.101,0.192,0.061,0.049,6
2020-03-16,0.029,0.005,0.017,0.015,0.012,0.031,0.35,0.085,0.024,0.052,0.048,0.061,0.105,0.064,0.039,0
2020-03-17,0.033,0.007,0.006,0.025,0.053,0.055,0.094,0.086,0.057,0.068,0.077,0.118,0.177,0.066,0.061,1
2020-03-18,0.054,0.007,0.005,0.015,0.053,0.122,0.266,0.202,0.032,0.059,0.243,0.17,0.212,0.111,0.085,2
2020-03-19,0.052,0.041,0.01,0.003,0.007,0.102,0.172,0.118,0.131,0.044,0.024,0.053,0.174,0.072,0.053,3
2020-03-20,0.024,0.012,0.008,0.004,0.008,0.017,0.164,0.102,0.051,0.061,0.035,0.045,0.103,0.049,0.04,4
2020-03-21,0.031,0.016,0.009,0.011,0.015,0.109,0.281,0.052,0.053,0.08,0.115,0.058,0.454,0.099,0.056,5
2020-03-22,0.085,0.017,0.008,0.006,0.014,0.07,0.14,0.075,0.036,0.039,0.057,0.111,0.247,0.07,0.063,6
2020-03-23,0.036,0.007,0.018,0.018,0.013,0.032,0.331,0.092,0.028,0.053,0.05,0.07,0.119,0.067,0.043,0
2020-03-24,0.029,0.009,0.009,0.026,0.055,0.059,0.1,0.086,0.054,0.066,0.08,0.121,0.206,0.069,0.063,1
2020-03-25,0.056,0.006,0.007,0.022,0.055,0.121,0.257,0.21,0.035,0.058,0.232,0.178,0.224,0.112,0.085,2
2020-03-26,0.055,0.042,0.009,0.004,0.01,0.103,0.168,0.121,0.133,0.045,0.022,0.056,0.184,0.073,0.056,3
2020-03-27,0.025,0.012,0.01,0.005,0.012,0.022,0.148,0.095,0.05,0.061,0.036,0.05,0.113,0.049,0.043,4
2020-03-28,0.031,0.018,0.009,0.013,0.013,0.116,0.273,0.057,0.057,0.079,0.114,0.066,0.421,0.098,0.062,5
2020-03-29,0.084,0.019,0.01,0.007,0.015,0.066,0.179,0.096,0.039,0.038,0.052,0.098,0.262,0.074,0.059,6
2020-03-30,0.044,0.01,0.021,0.021,0.016,0.036,0.319,0.099,0.031,0.056,0.051,0.075,0.123,0.069,0.047,0
2020-03-31,0.027,0.01,0.012,0.028,0.057,0.064,0.104,0.081,0.047,0.064,0.083,0.123,0.215,0.07,0.064,1
2020-04-01,0.062,0.007,0.008,0.027,0.054,0.115,0.228,0.2,0.037,0.051,0.204,0.178,0.226,0.107,0.085,2
2020-04-02,0.068,0.048,0.009,0.005,0.012,0.1,0.163,0.12,0.131,0.047,0.019,0.054,0.188,0.074,0.061,3
2020-04-03,0.029,0.015,0.012,0.005,0.017,0.031,0.13,0.088,0.052,0.065,0.043,0.054,0.122,0.051,0.047,4
2020-04-04,0.036,0.022,0.012,0.017,0.013,0.127,0.272,0.059,0.058,0.078,0.115,0.077,0.366,0.096,0.068,5
2020-04-05,0.094,0.021,0.012,0.008,0.017,0.068,0.219,0.12,0.041,0.037,0.049,0.092,0.269,0.08,0.059,6
2020-04-06,0.053,0.014,0.025,0.022,0.019,0.041,0.334,0.108,0.035,0.058,0.053,0.077,0.123,0.074,0.053,0
2020-04-07,0.03,0.014,0.021,0.033,0.059,0.077,0.116,0.088,0.045,0.07,0.089,0.128,0.234,0.077,0.073,1
2020-04-08,0.073,0.008,0.012,0.041,0.058,0.117,0.224,0.199,0.04,0.045,0.179,0.176,0.228,0.108,0.091,2
2020-04-09,0.081,0.056,0.011,0.006,0.017,0.104,0.166,0.129,0.134,0.05,0.016,0.049,0.194,0.078,0.067,3
2020-04-10,0.029,0.016,0.014,0.006,0.02,0.035,0.126,0.089,0.054,0.063,0.04,0.046,0.1,0.049,0.043,4
2020-04-11,0.04,0.023,0.015,0.019,0.014,0.137,0.278,0.062,0.058,0.078,0.104,0.07,0.31,0.093,0.066,5
2020-04-12,0.113,0.022,0.012,0.008,0.017,0.072,0.231,0.117,0.041,0.035,0.046,0.078,0.249,0.08,0.059,6
2020-04-13,0.059,0.015,0.025,0.021,0.019,0.042,0.355,0.113,0.034,0.053,0.05,0.07,0.108,0.074,0.051,0
2020-04-14,0.032,0.013,0.02,0.032,0.06,0.077,0.117,0.088,0.041,0.06,0.079,0.119,0.2,0.072,0.066,1
2020-04-15,0.072,0.008,0.011,0.04,0.059,0.119,0.221,0.197,0.041,0.041,0.157,0.167,0.221,0.104,0.088,2
2020-04-16,0.081,0.057,0.011,0.005,0.017,0.109,0.172,0.133,0.137,0.056,0.015,0.043,0.194,0.079,0.068,3
2020-04-17,0.026,0.015,0.013,0.006,0.019,0.035,0.129,0.09,0.054,0.063,0.04,0.04,0.09,0.048,0.04,4
2020-04-18,0.037,0.021,0.011,0.017,0.014,0.133,0.267,0.056,0.054,0.068,0.094,0.062,0.277,0.085,0.059,5
2020-04-19,0.123,0.022,0.01,0.007,0.016,0.071,0.236,0.115,0.041,0.033,0.042,0.071,0.217,0.077,0.056,6
2020-04-20,0.061,0.013,0.025,0.02,0.017,0.042,0.385,0.11,0.031,0.055,0.049,0.066,0.099,0.075,0.052,0
2020-04-21,0.032,0.013,0.019,0.032,0.061,0.08,0.124,0.089,0.041,0.061,0.08,0.12,0.199,0.073,0.067,1
2020-04-22,0.066,0.008,0.01,0.035,0.059,0.12,0.221,0.194,0.039,0.039,0.151,0.166,0.216,0.102,0.084,2
2020-04-23,0.072,0.052,0.01,0.005,0.015,0.108,0.175,0.134,0.139,0.054,0.015,0.041,0.186,0.077,0.063,3
2020-04-24,0.025,0.013,0.011,0.005,0.017,0.033,0.14,0.094,0.057,0.066,0.043,0.039,0.093,0.049,0.041,4
2020-04-25,0.035,0.019,0.01,0.015,0.014,0.127,0.268,0.056,0.053,0.068,0.094,0.061,0.281,0.085,0.059,5
2020-04-26,0.108,0.02,0.009,0.005,0.014,0.063,0.221,0.1,0.038,0.031,0.039,0.069,0.188,0.07,0.051,6
2020-04-27,0.051,0.01,0.023,0.02,0.015,0.041,0.382,0.106,0.026,0.052,0.047,0.061,0.096,0.072,0.049,0
2020-04-28,0.028,0.011,0.016,0.032,0.065,0.08,0.124,0.081,0.041,0.062,0.082,0.124,0.207,0.073,0.069,1
2020-04-29,0.068,0.007,0.009,0.033,0.06,0.122,0.229,0.199,0.036,0.04,0.158,0.165,0.216,0.103,0.085,2
2020-04-30,0.078,0.053,0.01,0.005,0.016,0.11,0.181,0.14,0.146,0.053,0.017,0.046,0.183,0.08,0.066,3
2020-05-01,0.024,0.012,0.01,0.005,0.016,0.034,0.14,0.091,0.054,0.064,0.042,0.042,0.103,0.049,0.042,4
2020-05-02,0.036,0.019,0.009,0.015,0.014,0.124,0.278,0.056,0.052,0.066,0.095,0.063,0.301,0.087,0.059,5
2020-05-03,0.12,0.021,0.009,0.005,0.013,0.063,0.233,0.113,0.038,0.031,0.037,0.071,0.211,0.074,0.051,6
2020-05-04,0.054,0.011,0.024,0.019,0.015,0.04,0.406,0.113,0.027,0.055,0.049,0.063,0.104,0.075,0.051,0
2020-05-05,0.028,0.011,0.018,0.033,0.066,0.084,0.128,0.08,0.041,0.063,0.081,0.127,0.215,0.075,0.071,1
2020-05-06,0.067,0.007,0.009,0.035,0.062,0.124,0.231,0.2,0.036,0.04,0.157,0.161,0.211,0.103,0.085,2
2020-05-07,0.077,0.053,0.01,0.005,0.016,0.114,0.185,0.145,0.149,0.053,0.016,0.047,0.188,0.081,0.065,3
2020-05-08,0.023,0.012,0.01,0.005,0.017,0.033,0.143,0.09,0.053,0.063,0.04,0.04,0.099,0.048,0.04,4
2020-05-09,0.033,0.018,0.008,0.014,0.014,0.126,0.278,0.055,0.051,0.063,0.092,0.061,0.301,0.086,0.058,5
2020-05-10,0.115,0.02,0.008,0.005,0.012,0.06,0.227,0.104,0.038,0.03,0.038,0.07,0.196,0.071,0.049,6
2020-05-11,0.047,0.009,0.021,0.018,0.014,0.039,0.4,0.107,0.024,0.052,0.047,0.06,0.1,0.072,0.047,0
2020-05-12,0.026,0.01,0.014,0.03,0.064,0.08,0.126,0.08,0.041,0.059,0.078,0.123,0.205,0.072,0.068,1
2020-05-13,0.066,0.007,0.008,0.032,0.058,0.123,0.233,0.202,0.036,0.04,0.156,0.159,0.211,0.102,0.084,2
2020-05-14,0.076,0.052,0.009,0.004,0.015,0.108,0.185,0.14,0.148,0.053,0.016,0.046,0.185,0.08,0.064,3
2020-05-15,0.024,0.012,0.009,0.004,0.015,0.033,0.148,0.091,0.053,0.063,0.04,0.04,0.1,0.049,0.04,4
2020-05-16,0.034,0.018,0.008,0.014,0.013,0.121,0.278,0.054,0.051,0.062,0.094,0.061,0.308,0.086,0.058,5
2020-05-17,0.112,0.019,0.008,0.004,0.011,0.055,0.231,0.11,0.037,0.029,0.034,0.068,0.206,0.071,0.046,6
