Date,0,1,2,3,4,5,6,7,8,9,10,11,12,mean,median,weekday
2020-03-13,0.069,0.052,0.042,0.059,0.03,0.04,0.318,0.128,0.101,0.08,0.063,0.034,0.05,0.082,0.061,4
2020-03-14,0.03,0.024,0.009,0.032,0.007,0.212,0.362,0.048,0.052,0.022,0.071,0.006,0.218,0.084,0.04,5
2020-03-15,0.17,0.031,0.021,0.005,0.024,0.034,0.327,0.209,0.047,0.044,0.01,0.045,0.032,0.077,0.039,6
2020-03-16,0.038,0.008,0.045,0.042,0.043,0.057,0.521,0.039,0.01,0.059,0.073,0.073,0.086,0.084,0.051,0
2020-03-17,0.076,0.032,0.015,0.024,0.061,0.069,0.117,0.097,0.049,0.025,0.032,0.106,0.131,0.064,0.063,1
2020-03-18,0.082,0.021,0.015,0.024,0.051,0.1,0.165,0.144,0.021,0.021,0.037,0.065,0.147,0.069,0.058,2
2020-03-19,0.117,0.067,0.04,0.014,0.022,0.111,0.128,0.199,0.128,0.033,0.016,0.03,0.145,0.081,0.074,3
2020-03-20,0.069,0.051,0.04,0.055,0.03,0.045,0.307,0.126,0.103,0.079,0.055,0.035,0.057,0.081,0.056,4
2020-03-21,0.031,0.026,0.01,0.032,0.007,0.194,0.334,0.046,0.055,0.027,0.073,0.006,0.191,0.079,0.039,5
2020-03-22,0.166,0.029,0.022,0.006,0.026,0.043,0.323,0.189,0.042,0.048,0.012,0.052,0.042,0.077,0.043,6
2020-03-23,0.052,0.012,0.043,0.044,0.042,0.064,0.507,0.056,0.015,0.054,0.079,0.074,0.098,0.088,0.055,0
2020-03-24,0.083,0.046,0.021,0.025,0.063,0.067,0.12,0.109,0.063,0.031,0.033,0.107,0.124,0.069,0.065,1
2020-03-25,0.076,0.019,0.018,0.033,0.055,0.102,0.166,0.139,0.018,0.022,0.044,0.068,0.141,0.069,0.062,2
2020-03-26,0.112,0.065,0.036,0.016,0.029,0.125,0.134,0.21,0.129,0.028,0.018,0.037,0.158,0.084,0.075,3
2020-03-27,0.066,0.052,0.042,0.047,0.031,0.054,0.294,0.127,0.108,0.078,0.043,0.034,0.065,0.08,0.06,4
2020-03-28,0.034,0.029,0.013,0.036,0.006,0.165,0.301,0.045,0.057,0.03,0.07,0.006,0.161,0.073,0.04,5
2020-03-29,0.162,0.028,0.025,0.007,0.03,0.054,0.312,0.167,0.038,0.048,0.012,0.051,0.047,0.075,0.047,6
2020-03-30,0.063,0.017,0.038,0.045,0.04,0.07,0.483,0.068,0.019,0.049,0.08,0.071,0.101,0.088,0.066,0
