FIPS,State,City,Lat,Long,Population,CASTHMA,HIGHCHOL,DIABETES,OBESITY,CANCER,STROKE,MHLTH,CSMOKING,CHOLSCREEN,INSURANCE,CHD,CHECKUP,KIDNEY,BINGE,LPA,ARTHRITIS,BPMED,PHLTH,BPHIGH,COPD,Nhosp,Nbeds,Estbeds,Percentseniors,Percentblacks,Percenthispanics
6037,California,"Los Angeles, California, US",34.30828379,-118.2282411,10039107,8.6,33.5,6.8,34.4,7.5,3,18.7,21.5,73.2,21,5,72.9,2.1,18.4,31.4,15.2,71.1,7.1,37.4,4.9,109,25606,26476,13.6,8,48.6
36061,New York,"New York City, New York, US",40.7672726,-73.97152637,5803210,7.6,31.9,14.2,29.1,3.7,4.5,9.7,14.6,80.3,28.1,1.8,70.4,0.9,34.1,14.9,18.3,67.6,6,16.3,8,18,9496,10108,16.5,14.5,25.9
17031,Illinois,"Cook, Illinois, US",41.84144849,-87.81658794,5150233,11.4,30.7,9.6,23.7,5.4,1.5,11.6,26.7,87.1,24.3,10,61.7,1.2,19,23,26.8,69,18.8,25,5.2,55,16621,17237,14.6,23.3,25.5
48201,Texas,"Harris, Texas, US",29.85864939,-95.39339521,4713325,10.6,37.9,20.4,23.4,2.7,5.7,8.4,16,66,10.9,6.4,71.1,1.5,27.6,19.3,11.7,81,20.6,32.4,3.2,50,12460,12939,10.5,19.2,43.3
4013,Arizona,"Maricopa, Arizona, US",33.34835867,-112.4918154,4485414,9.6,29.7,14.9,37.5,16.5,1.8,20.2,26.6,69.6,34.8,3.4,83.4,4.9,13.7,23.4,29.9,51.3,14.7,27,7.1,40,8136,9244,15.2,5.8,31.3
6073,California,"San Diego, California, US",33.03484597,-116.7365326,3338330,9.1,31.5,13.1,28.2,9.4,3.6,15.9,19.4,86.9,22.5,6.1,70.4,3.3,24.3,27.7,20.9,71.7,15.5,33.1,5.5,29,6252,7122,14.1,5.1,34
6059,California,"Orange, California, US",33.70147516,-117.7645998,3175692,7.2,20.9,5.9,14.5,3.7,1.4,18.3,6.3,78.5,4.8,2.4,72,3.7,17.6,12.4,10.3,58,8.7,18.5,2.5,36,7955,7955,14.8,1.9,34.2
12086,Florida,"Miami-Dade, Florida, US",25.6112362,-80.55170587,2716940,10,37.1,20.8,38.6,6.3,4.6,19.65,29.6,82.2,47.9,9.3,78.7,4.8,12.9,24.8,26.4,79.8,21.9,27,10.5,24,8703,8703,16.2,17.1,69.1
48113,Texas,"Dallas, Texas, US",32.76670599,-96.7779605,2635516,8.3,37,13.6,39.2,8.8,1.1,10,7.2,84.4,43.1,9.5,75.6,3.3,19.6,18.5,26.5,77.8,15.8,51.2,11.2,28,7039,7198,10.7,22.8,40.5
6065,California,"Riverside, California, US",33.74314981,-115.9933578,2470546,8.3,26,7.7,23.1,13.1,1.8,16.1,13.1,91.8,14.9,3.2,62.6,2.2,23.7,31.8,16.2,64.7,13.9,17.3,4.6,21,3761,3761,14.4,6.5,49.6
32003,Nevada,"Clark, Nevada, US",36.21458855,-115.0130241,2266715,9.1,23.1,6.4,21.5,3.4,2.9,11.1,11.85,69,15.8,2.9,63.2,2.5,16.5,40.3,12.4,60.6,11.1,23.6,6.8,23,3946,5054,14.7,11.8,31.4
53033,Washington,"King, Washington, US",47.49137892,-121.8346131,2252782,11.4,20.5,3.7,15.5,4.2,1.6,8.1,6.7,72.2,15.9,2.5,58.8,2.8,9.4,24.8,11,52,6.2,14.1,5.6,23,4857,5682,13.2,6.7,9.8
6071,California,"San Bernardino, California, US",34.84060306,-116.1774685,2180085,9.1,26.6,10.9,32.4,4.9,3,16.8,16.7,72.2,24.7,4.9,68.5,2.9,20.4,26.9,22.5,64.1,10.3,26.3,7.4,26,3963,4615,11.6,8.2,54
48439,Texas,"Tarrant, Texas, US",32.77143818,-97.29101614,2102515,7.9,25.8,9.1,27,8.4,7.9,10.7,14,87.1,20.6,7.1,62.4,2.1,14.1,19.7,17.4,59.4,8.9,30.6,6.4,25,4883,4883,11.3,16.6,29.2
48029,Texas,"Bexar, Texas, US",29.44928723,-98.52019748,2003554,9.7,26.8,13.7,39.8,9.3,4.7,17.4,12.7,81.3,46.7,2.9,66.5,5.1,24,23.2,22.9,73.7,15.8,23.7,7.7,28,5742,6061,12.1,7.7,60.5
12011,Florida,"Broward, Florida, US",26.15184651,-80.48725556,1952778,11.6,35.5,10.1,22.6,5.9,2.5,12.2,12.3,81,20.8,7.2,71.4,2.3,17.4,36,17.4,73.9,20.1,25.4,3.9,17,5721,5721,16.6,28.8,30.4
6085,California,"Santa Clara, California, US",37.23104908,-121.6970462,1927852,5.9,26.8,6.5,13.9,3.7,1.5,8.1,6.6,75.7,5.3,4.7,58.1,2.7,11.9,13.2,20.6,43.5,11.5,20.8,6.1,14,3760,3977,13.5,2.6,25.3
26163,Michigan,"Wayne, Michigan, US",42.28098405,-83.281255,1749343,14.9,32.8,9.1,25,5.1,8.7,17,31.6,77.2,6.4,10.8,69.6,2.7,12.6,20.4,34.5,70.2,20.3,34.7,12.5,17,5269,5493,15.4,38.5,6.1
6001,California,"Alameda, California, US",37.64629437,-121.8929271,1671329,8.9,29.5,9.4,18.6,5.9,1.7,10.9,13.3,85,18.3,4.6,64.5,1.6,20.3,21.8,22.8,70.3,8.5,25.1,4.6,21,3592,3809,13.8,10.3,22.4
25017,Massachusetts,"Middlesex, Massachusetts, US",42.48607732,-71.39049229,1611699,9.9,28,7,22.2,5.1,2.2,11.3,11.4,76.2,6.4,4.1,73,2.3,21.1,19.7,18.4,70.7,9,24.9,4.4,17,2755,2963,15.2,5.4,8.3
42101,Pennsylvania,"Philadelphia, Pennsylvania, US",40.00338507,-75.1379271,1584064,11.4,33.8,19.1,17.9,10.2,0.9,17.3,28.3,79.7,7.9,18.6,80.8,2.9,18.3,25.3,38.4,73,7.1,47.4,7.3,21,6531,6728,13.6,41.5,15.2
6067,California,"Sacramento, California, US",38.45106826,-121.3425374,1552058,11.3,32.8,10.4,24.7,8.1,2,11.3,21.3,73.2,19.9,1.4,69.8,3.1,16.3,31.2,26,70.2,16.8,34.7,7.6,12,3659,3876,14.1,9.9,23.4
12099,Florida,"Palm Beach, Florida, US",26.64676272,-80.46536002,1496770,8,34.2,10,23.8,6.7,3.6,12.7,16.9,81.3,19.5,7,74.3,3.2,14.8,28.3,24.3,74,13,32.3,7.8,15,4676,4676,23.9,18.4,22.9
12057,Florida,"Hillsborough, Florida, US",27.9276559,-82.32013172,1471968,7.3,34.2,21,41.9,7.8,1.7,14.8,31.3,88.1,10.6,1.4,80.3,3.2,12.9,41.1,15.1,56.2,19.8,49.6,4.3,18,4061,4579,14.3,16.8,29.2
12095,Florida,"Orange, Florida, US",28.51367621,-81.31799498,1393452,8.4,20.7,5.6,22.8,3.2,1.6,14.4,18,73.9,25.1,5.1,65.3,1.9,17.7,29.5,27.2,78.2,23.3,45,7.7,12,3794,4312,11.9,20.9,32.3
39049,Ohio,"Franklin, Ohio, US",39.96995815,-83.01115755,1316756,8,30.9,3.5,34.1,7.8,1.6,10.6,30.4,50.7,5.5,2.5,66.7,3.9,23.2,40.9,31.2,30.1,6.8,21.9,7.3,11,5062,5245,12,22.8,5.7
48453,Texas,"Travis, Texas, US",30.33432034,-97.7853562,1273954,7.4,25.7,5.7,20.5,5,1.6,10.6,12,80.4,17.9,3.4,61,1.8,24.9,18.3,14.5,65.6,7.8,21.4,5.2,13,2455,2614,9.9,8.3,33.9
27053,Minnesota,"Hennepin, Minnesota, US",45.00761521,-93.47694895,1265843,7.7,26.6,6.5,24.4,5.4,2.3,9.9,14.8,78.3,10.8,4.1,68.4,2.3,22.7,21,15.9,70.2,8.3,22.7,3.8,11,4628,4819,14,13.4,7
26125,Michigan,"Oakland, Michigan, US",42.66090111,-83.38595416,1257584,8.7,23.9,7.4,38.3,7.4,1.8,10.3,19.4,87.3,7.5,5.5,74.1,2.7,17.8,20.5,26.6,78.1,8.7,29.4,5.7,15,4375,4375,16.8,13.9,4.2
39035,Ohio,"Cuyahoga, Ohio, US",41.424119,-81.65918339,1235072,10.4,32.2,11.9,30,5.3,4,12.6,23.8,75.7,13.5,8.2,69.6,2.7,12.5,26.8,24.4,76,11.1,35.6,9.2,19,7935,8118,18.2,29.2,6.2
42003,Pennsylvania,"Allegheny, Pennsylvania, US",40.46809875,-79.98167747,1216045,10.8,35.4,6.4,44,1.8,8.5,9.4,10.2,81.9,18.8,2.2,82.5,4.2,14.4,16.6,35.6,84.3,7.3,20.7,2.3,20,6783,7178,18.9,12.9,2.2
49035,Utah,"Salt Lake, Utah, US",40.66616532,-111.9216011,1160437,9.8,21.7,6.5,22.5,7.4,1.6,14.7,4.8,61.4,32.4,3,61.9,2.2,12.6,17.9,12.7,65.1,11.4,17.8,6.1,15,2272,2801,10.9,2,18.6
6013,California,"Contra Costa, California, US",37.91923498,-121.9289527,1153526,10.5,31,11,31,7.4,3.5,16.7,18.9,85.1,21.4,6.3,67.3,3.4,20.1,25.7,22.8,72.1,14.9,29.1,7.2,11,1920,2137,15.8,8.8,25.8
37183,North Carolina,"Wake, North Carolina, US",35.78879266,-78.65249174,1111761,9,21.8,3.5,31.5,3.5,1.2,8.3,8.6,71.8,9.3,2,66.7,1.7,15.5,16.4,12.1,64.9,7.2,29.2,3,5,1781,1781,11.6,20.2,10.3
37119,North Carolina,"Mecklenburg, North Carolina, US",35.24469268,-80.8317671,1110356,9.4,32.2,5,23.6,4.5,2.4,12.6,15.6,72.1,16.6,4.2,75.4,2.5,13.6,37.8,15.7,73.4,13.3,20.7,5,8,2612,2612,11.2,31.9,13.6
13121,Georgia,"Fulton, Georgia, US",33.79216944,-84.46319413,1063937,7.3,22.4,6.6,19.9,4.1,1.9,8.1,9.7,82.3,13.3,3.6,68.7,2.2,13.5,20.7,14.4,81,8.1,45,4,13,4335,4534,11.7,43.5,7.3
4019,Arizona,"Pima, Arizona, US",32.0971334,-111.7890033,1047279,12,33.7,14.6,23.8,4.1,2.4,10.3,22.7,85.8,34.2,6.7,74.3,4.6,17.6,35.3,9.9,77.2,18,38.2,7.3,12,2160,3083,19.8,3.7,37.6
48085,Texas,"Collin, Texas, US",33.18820114,-96.57264368,1034730,7.3,29.4,7.4,26.9,4.7,1.4,9.5,10.9,82.7,12.2,3.2,65.3,2.1,17.9,21.4,15.2,68.6,8.3,23.6,4.4,15,1892,1892,11,10.1,15.4
6019,California,"Fresno, California, US",36.75733899,-119.6466953,999101,9.9,31.2,8.9,37.5,4.2,2.7,20.4,12.4,84.9,6.7,6.9,61.6,2.3,14.1,14.9,13.5,60.3,8.3,32.5,4.4,13,2035,2252,12.2,4.6,53.5
12103,Florida,"Pinellas, Florida, US",27.93130349,-82.72239666,974996,7.9,30.7,8.4,27.9,7.3,3,15.5,16.3,79.9,18.3,5.4,70.6,2.9,14.4,24.5,22.4,77.8,11.6,30.4,7.4,13,3636,3636,24.8,10.3,10
15003,Hawaii,"Honolulu, Hawaii, US",21.45803166,-157.9712182,974563,8.9,32.9,11.2,23.4,5.4,3.6,19.5,10,79.9,4.6,6.1,78,4.6,23.4,19.7,17.3,79.7,6.7,30.3,3.1,10,1723,1907,17.7,2.6,10
36119,New York,"Westchester, New York, US",41.16278376,-73.75741653,967506,9.9,32.8,10.8,27.1,6,3.1,12.9,15.6,84.7,13.6,5.7,73.2,3.2,16.6,27.4,22.5,75.1,12,30,6,12,2272,2578,17.1,14.9,25.1
