FIPS,Median,MAD
1001,1.0,0.0
1003,3.0,2.0
1005,7.0,0.0
1007,2.0,0.0
1009,3.0,1.0
1011,2.0,0.0
1013,7.0,1.0
1015,1.0,0.0
1017,4.0,0.0
1019,2.5,0.5
1021,7.0,2.0
1023,10.0,0.0
1025,8.0,2.0
1027,3.5,1.5
1029,2.0,0.0
1031,5.0,1.0
1033,1.0,0.0
1035,7.0,1.0
1037,5.0,2.0
1039,7.0,0.0
1041,2.0,0.0
1043,5.0,0.0
1045,4.0,0.5
1047,4.0,0.0
1049,8.5,1.5
1051,2.0,1.0
1053,7.0,0.0
1055,1.0,0.0
1057,3.0,1.0
1059,2.0,0.0
1061,2.0,0.0
1063,2.0,0.0
1065,2.0,0.0
1067,2.0,0.0
1069,1.0,0.0
1071,4.0,2.0
1073,1.0,0.0
1075,6.0,0.0
1077,1.0,0.0
1079,2.0,0.0
1081,1.0,0.0
1083,4.0,1.0
1085,2.0,0.0
1087,7.0,1.0
1089,1.0,0.0
1091,10.0,0.0
1093,10.0,0.0
1095,4.0,0.0
1097,1.0,0.0
1099,10.0,0.0
1101,1.0,0.0
1103,1.0,0.0
1105,10.0,0.0
1107,2.0,0.0
1109,4.0,1.5
1111,7.0,3.0
1113,1.0,0.0
1115,2.0,0.0
1117,1.0,0.0
1119,5.5,0.5
1121,4.0,0.5
1123,7.0,1.5
1125,1.0,0.0
1127,2.0,0.0
1129,2.0,0.0
1131,10.0,0.0
1133,7.0,3.0
2013,10.0,0.0
2016,10.0,0.0
2020,1.0,0.0
2050,10.0,0.0
2060,10.0,0.0
2068,10.0,0.0
2070,10.0,0.0
2090,1.0,0.0
2100,10.0,0.0
2105,10.0,0.0
2110,4.0,0.0
2122,10.0,0.0
2130,4.0,0.0
2150,7.0,0.0
2164,10.0,0.0
2170,4.0,0.0
2180,8.5,1.5
2185,10.0,0.0
2188,8.5,1.5
2195,10.0,0.0
2198,10.0,0.0
2220,7.0,0.0
2230,10.0,0.0
2240,10.0,0.0
2261,10.0,0.0
2270,10.0,0.0
2275,10.0,0.0
2282,10.0,0.0
2290,10.0,0.0
4001,8.5,1.5
4003,3.5,2.5
4005,1.0,0.0
4007,4.0,0.0
4009,4.0,0.0
4011,7.0,0.0
4012,8.0,1.0
4013,1.0,0.0
4015,4.0,0.0
4017,7.0,2.0
4019,1.0,0.0
4021,1.0,0.0
4023,4.0,0.0
4025,2.0,1.0
4027,1.0,0.0
5001,7.0,0.0
5003,8.0,0.0
5005,5.0,0.0
5007,1.0,0.0
5009,5.0,0.0
5011,7.0,0.0
5013,8.0,2.0
5015,9.0,1.0
5017,7.5,0.5
5019,4.0,0.0
5021,6.5,1.0
5023,10.0,0.0
5025,2.0,0.0
5027,5.0,0.0
5029,7.5,0.5
5031,1.0,0.0
5033,1.0,0.0
5035,1.0,0.0
5037,7.5,1.5
5039,7.0,1.0
5041,7.0,0.0
5043,7.0,0.0
5045,1.0,0.0
5047,2.0,0.0
5049,10.0,0.0
5051,1.0,0.0
5053,2.0,0.0
5055,4.0,0.0
5057,8.0,0.0
5059,4.0,1.0
5061,8.0,1.0
5063,4.5,0.5
5065,10.0,0.0
5067,8.0,1.0
5069,1.0,0.0
5071,7.5,0.5
5073,6.0,3.0
5075,8.5,1.5
5077,7.5,1.5
5079,2.0,0.0
5081,7.0,1.0
5083,6.5,1.0
5085,1.5,0.5
5087,2.0,0.0
5089,7.5,2.5
5091,1.0,0.0
5093,6.0,2.0
5095,8.0,0.0
5097,10.0,0.0
5099,8.0,1.0
5101,7.5,2.5
5103,4.5,0.5
5105,2.0,0.0
5107,4.0,0.0
5109,10.0,0.0
5111,2.0,0.0
5113,8.0,1.0
5115,5.0,0.0
5117,8.0,2.0
5119,1.0,0.0
5121,8.0,1.0
5123,4.0,0.5
5125,1.0,0.0
5127,7.0,3.0
5129,10.0,0.0
5131,1.0,0.0
5133,8.0,0.5
5135,8.5,1.5
5137,10.0,0.0
5139,4.5,0.5
5141,3.0,1.0
5143,1.0,0.0
5145,4.0,1.0
5147,7.5,2.5
5149,5.0,0.0
6001,1.0,0.0
6003,10.0,0.0
6005,7.0,3.0
6007,4.0,3.0
6009,10.0,0.0
6011,7.0,0.0
6013,1.0,0.0
6015,4.0,0.0
