FIPS,% Adults with Diabetes,% Black,% American Indian & Alaska Native,% 65 and over
1000,14.200000,26.497733,0.703271,16.917263
1001,11.100000,19.343177,0.480207,15.562670
1003,10.700000,8.783976,0.772399,20.443350
1005,17.600000,48.032635,0.659137,19.420441
1007,14.500000,21.120536,0.437500,16.473214
1009,17.000000,1.462656,0.653527,18.236515
1011,23.700000,69.540343,0.838430,16.383902
1013,19.200000,44.557927,0.376016,20.299797
1015,17.500000,20.850215,0.539916,17.717476
1017,19.900000,39.565670,0.306411,19.521047
1019,15.200000,4.240934,0.660725,22.971727
1021,18.600000,9.967613,0.566213,16.784816
1023,17.400000,41.515458,0.186901,22.996651
1025,22.400000,44.326923,0.526756,19.870401
1027,13.500000,13.830508,0.542373,20.723164
1029,12.500000,2.869153,0.493761,19.450190
1031,16.100000,17.187771,1.410160,16.954671
1033,16.200000,15.998320,0.662868,19.929878
1035,25.900000,45.662621,0.513155,22.497353
1037,20.800000,30.471302,0.597294,23.154456
1039,15.300000,12.442546,0.692154,21.062023
1041,18.200000,23.220486,0.629340,19.017650
1043,19.300000,1.205628,0.645958,18.511062
1045,15.800000,20.451017,0.800719,16.892720
1047,15.900000,70.057426,0.289742,18.065779
1049,12.800000,1.448484,2.029838,17.261329
1051,15.800000,21.214601,0.519008,15.142819
1053,18.800000,31.403070,3.872320,17.949276
1055,15.700000,15.483751,0.608775,19.011522
1057,23.300000,11.854196,0.468569,21.128218
1059,14.800000,3.883557,1.546408,16.886140
1061,16.900000,9.314433,1.026070,20.297180
1063,14.500000,79.606462,0.327948,22.312644
1065,17.800000,57.802526,0.251256,19.210919
1067,16.600000,25.829508,0.493928,22.720669
1069,13.500000,26.919845,0.540479,17.798552
1071,16.500000,3.413484,1.681614,20.049869
1073,12.900000,43.126043,0.286971,15.857273
1075,18.800000,10.394395,0.288934,21.655591
1077,13.800000,9.893167,0.451362,20.092654
1079,19.300000,10.832297,5.804533,18.663713
1081,9.000000,22.777097,0.372695,11.882933
1083,13.800000,13.493252,0.826627,15.189136
1085,13.900000,71.937036,0.370965,18.849007
1087,23.000000,80.047725,0.265741,20.369868
1089,13.500000,24.436932,0.809781,15.040148
1091,17.600000,51.075212,0.241267,19.600336
1093,20.400000,3.783221,0.423344,21.237778
1095,11.800000,2.403521,1.121643,17.037946
