FIPS,Years of Potential Life Lost Rate,% Fair or Poor Health,% Smokers,% Adults with Obesity,Primary Care Physicians Rate,% Flu Vaccinated,% Unemployed,Average Daily PM2.5,% Severe Housing Problems
1001,8128.591190,20.882987,18.081557,33.300000,45.041800,41.000000,3.629079,11.700000,14.663462
1003,7354.122530,17.509134,17.489033,31.000000,72.897270,44.000000,3.615382,10.300000,13.566201
1005,10253.573403,29.591802,21.999985,41.700000,31.658090,37.000000,5.171384,11.500000,14.583333
1007,11977.539484,19.439724,19.114200,37.600000,48.526560,38.000000,3.971828,11.200000,10.496454
1009,11335.071134,21.745293,19.208672,33.800000,22.408770,39.000000,3.511157,11.700000,10.548012
1011,11679.558981,30.999102,22.894664,37.200000,29.100790,28.000000,4.690117,11.200000,18.143460
1013,14359.939103,27.910673,21.765335,43.300000,25.220680,35.000000,4.790218,10.600000,13.159609
1015,12078.616145,23.107733,20.612560,38.500000,63.628760,38.000000,4.652832,11.800000,13.734191
1017,11112.536614,23.995474,19.392927,40.100000,41.527010,42.000000,3.908091,11.400000,15.956679
1019,12349.707594,20.698471,17.498674,35.000000,38.674250,41.000000,3.570814,11.400000,13.000000
1021,10019.312800,21.185463,20.188979,37.700000,20.423450,42.000000,3.609571,11.200000,13.297232
1023,12479.822147,24.863531,18.793248,41.300000,38.624950,34.000000,5.538986,10.100000,11.061151
1025,11144.037371,25.235085,20.579655,34.100000,53.979990,28.000000,7.473450,10.400000,12.035583
1027,10461.834320,23.795917,19.620354,40.600000,37.405550,43.000000,3.907429,10.600000,11.183597
1029,11087.984454,19.284408,18.374466,37.300000,26.845640,34.000000,4.248651,11.000000,12.939160
1031,8175.362392,19.425827,17.444758,34.200000,53.976940,37.000000,3.948696,10.900000,12.103226
1033,10644.992124,20.914454,18.658821,30.600000,64.220180,45.000000,4.617766,10.700000,13.729925
1035,10822.452428,28.608748,21.107513,43.000000,40.099450,44.000000,5.229194,10.300000,13.359528
1037,12691.204176,24.919103,20.399966,40.300000,,39.000000,4.181901,11.000000,14.625446
1039,11418.122816,22.668806,19.249452,31.700000,51.223980,39.000000,4.578344,10.500000,12.845850
1041,9944.644470,22.146936,18.646930,38.000000,14.418570,36.000000,4.080661,10.700000,9.953917
1043,10182.182180,21.786494,17.901071,36.900000,55.585770,41.000000,3.280465,11.600000,12.306950
1045,10467.436009,23.433107,20.057395,37.200000,18.283020,41.000000,4.204771,11.000000,13.620644
1047,14717.166071,29.826898,24.088991,43.100000,73.951290,34.000000,6.547779,11.100000,20.993789
1049,10747.783715,25.958981,21.028271,29.200000,41.889500,40.000000,3.816921,11.300000,11.084240
1051,8762.552569,18.633863,17.452502,34.300000,25.711030,39.000000,3.447535,11.900000,11.370717
1053,12227.375778,26.054892,22.412585,39.400000,34.715730,35.000000,4.570792,10.200000,11.821204
1055,11905.222386,21.483864,20.147399,35.500000,80.774660,36.000000,4.102469,11.500000,11.222166
1057,9720.775126,22.199344,18.001593,41.000000,97.158120,45.000000,4.119099,10.600000,12.335766
1059,10155.227272,25.368021,19.250583,34.300000,44.451500,38.000000,3.731606,10.500000,12.954254
1061,11145.173201,23.084669,20.003603,38.700000,30.278940,46.000000,3.925905,10.600000,10.183013
1063,11618.619777,33.985156,24.632819,35.500000,48.019210,30.000000,6.730092,10.500000,19.323671
1065,12327.018415,27.902570,22.077291,40.400000,20.253850,33.000000,5.090970,10.800000,16.554622
1067,9242.485732,21.419262,18.429845,36.300000,29.159620,42.000000,4.433934,10.900000,10.688141
1069,9647.190512,20.269797,19.249783,38.100000,84.334810,45.000000,4.042082,10.700000,13.451035
1071,11088.146204,23.244762,19.958921,38.700000,53.940550,42.000000,4.109118,11.000000,10.804713
1073,10969.508203,19.696302,17.622045,34.600000,107.555100,44.000000,3.711618,13.400000,16.762487
1075,11927.627344,24.255311,20.430552,35.700000,,40.000000,3.810523,10.300000,10.648918
1077,9035.057259,20.125833,16.656004,32.500000,50.789950,49.000000,4.190693,11.000000,12.591241
1079,11825.563960,21.833803,20.187646,32.600000,15.129050,40.000000,4.188519,11.300000,10.623123
