FIPS,County,State,Total Population,Population 0-4,Population 5-17,Population 18-24,Population 25-44,Population 45-64,Population 65+,Population Under 18,Population 18-54,Population 55+,Male Population,Female Population,Population Density
1001,Autauga County,Alabama,55869.0,3277.0,9688.0,4465.0,14597.0,14918.0,8924.0,12965.0,26714.0,16190.0,27078.0,28691.0,36.28794684378335
1003,Baldwin County,Alabama,223234.0,12039.0,35515.0,15805.0,51839.0,61206.0,46830.0,47554.0,96435.0,79245.0,108396.0,115169.0,54.21529312616346
1005,Barbour County,Alabama,24686.0,1309.0,3773.0,2000.0,6412.0,6331.0,4861.0,5082.0,11494.0,8110.0,13030.0,11627.0,10.769826392130561
1007,Bibb County,Alabama,22394.0,1246.0,3311.0,1768.0,6278.0,6058.0,3733.0,4557.0,11198.0,6639.0,11878.0,10435.0,13.890616368287855
1009,Blount County,Alabama,57826.0,3438.0,9817.0,4460.0,13941.0,15356.0,10814.0,13255.0,26111.0,18460.0,28554.0,29286.0,34.62419291346717
1011,Bullock County,Alabama,10101.0,565.0,1541.0,811.0,2868.0,2605.0,1711.0,2106.0,4874.0,3121.0,5547.0,4597.0,6.262014593438718
1013,Butler County,Alabama,19448.0,1100.0,3174.0,1515.0,4587.0,5023.0,4049.0,4274.0,8363.0,6811.0,9076.0,10425.0,9.6659918215908
1015,Calhoun County,Alabama,113605.0,6568.0,17905.0,10255.0,28614.0,29716.0,20547.0,24473.0,52777.0,36355.0,54818.0,59252.0,72.39724148519764
1017,Chambers County,Alabama,33254.0,1882.0,5031.0,2562.0,7874.0,9190.0,6715.0,6913.0,14781.0,11560.0,15910.0,17334.0,21.522432057707984
1019,Cherokee County,Alabama,26196.0,1213.0,3734.0,1851.0,5506.0,7728.0,6164.0,4947.0,10909.0,10340.0,12977.0,13277.0,18.272582216176154
1021,Chilton County,Alabama,44428.0,2711.0,7880.0,3483.0,11064.0,11690.0,7600.0,10591.0,20292.0,13545.0,21731.0,22582.0,24.75818756280294
1023,Choctaw County,Alabama,12589.0,662.0,1818.0,908.0,2656.0,3576.0,2969.0,2480.0,5172.0,4937.0,5934.0,6643.0,5.321087328542739
1025,Clarke County,Alabama,23622.0,1371.0,3662.0,1974.0,5352.0,6420.0,4843.0,5033.0,10352.0,8237.0,11189.0,12462.0,7.36462770702808
1027,Clay County,Alabama,13235.0,700.0,1969.0,1053.0,2944.0,3784.0,2785.0,2669.0,5810.0,4756.0,6470.0,6795.0,8.460913840001984
1029,Cleburne County,Alabama,14910.0,897.0,2464.0,1053.0,3426.0,4062.0,3008.0,3361.0,6537.0,5012.0,7347.0,7605.0,10.278052406817254
1031,Coffee County,Alabama,52342.0,3195.0,9199.0,4205.0,13302.0,13410.0,9031.0,12394.0,24360.0,15588.0,25956.0,26683.0,29.764024911377717
1033,Colbert County,Alabama,55241.0,3133.0,8422.0,4209.0,13563.0,14849.0,11065.0,11555.0,24860.0,18826.0,26412.0,28829.0,35.98287941879681
