FIPS,AgeDist
1001,0.1611
1003,0.2146
1005,0.2019
1007,0.1699
1009,0.1896
1011,0.1746
1013,0.2128
1015,0.1843
1017,0.2052
1019,0.2414
1021,0.1742
1023,0.2388
1025,0.208
1027,0.2137
1029,0.203
1031,0.1756
1033,0.2048
1035,0.2388
1037,0.2462
1039,0.2185
1041,0.1987
1043,0.1906
1045,0.1774
1047,0.194
1049,0.1785
1051,0.1624
1053,0.1866
1055,0.1958
1057,0.2195
1059,0.1726
1061,0.2112
1063,0.2426
1065,0.2013
1067,0.2355
1069,0.1859
1071,0.2102
1073,0.1663
1075,0.2247
1077,0.2076
1079,0.1926
1081,0.1284
1083,0.1569
1085,0.2015
1087,0.2121
1089,0.1558
1091,0.2057
1093,0.2162
1095,0.1744
1097,0.1701
1099,0.2159
1101,0.1592
1103,0.182
1105,0.2078
1107,0.1981
1109,0.1569
1111,0.2133
1113,0.15
1115,0.1743
1117,0.1633
1119,0.1972
1121,0.188
1123,0.2272
1125,0.1405
1127,0.2006
1129,0.2038
1131,0.2084
1133,0.2254
2013,0.1085
2016,0.0768
2020,0.1211
2050,0.0814
2060,0.1847
2068,0.1229
2070,0.1075
2090,0.1159
2100,0.2375
2105,0.2466
2110,0.1468
2122,0.1904
2130,0.1696
2150,0.1223
2158,0.0656
2164,0.1154
2170,0.1299
2180,0.0834
2185,0.0771
2188,0.0773
2195,0.202
2198,0.1905
2220,0.1684
2230,0.156
2240,0.1581
2261,0.0141
2275,0.259
2282,0.1987
2290,0.1636
4001,0.1633
4003,0.2361
4005,0.1369
4007,0.3
4009,0.1424
4011,0.1382
4012,0.4148
4013,0.1587
4015,0.3185
4017,0.1938
4019,0.2075
4021,0.2148
4023,0.1902
4025,0.3347
4027,0.1997
5001,0.2041
5003,0.2149
5005,0.3144
5007,0.1376
5009,0.2145
5011,0.1944
5013,0.2222
5015,0.2407
5017,0.2224
5019,0.1705
5021,0.2188
5023,0.2774
5025,0.2158
5027,0.1783
5029,0.2006
5031,0.1412
5033,0.176
5035,0.145
5037,0.1909
5039,0.2488
5041,0.1952
5043,0.1822
5045,0.1326
5047,0.2037
5049,0.2658
5051,0.2464
5053,0.187
5055,0.1659
5057,0.1907
5059,0.1981
5061,0.1846
5063,0.1837
5065,0.262
5067,0.1866
5069,0.1849
5071,0.172
5073,0.2496
5075,0.1977
5077,0.2077
5079,0.1617
5081,0.2154
5083,0.2074
5085,0.1441
5087,0.1987
5089,0.2898
5091,0.1745
5093,0.1531
5095,0.2391
5097,0.2772
5099,0.2144
5101,0.2761
5103,0.2149
5105,0.2101
5107,0.2004
5109,0.208
5111,0.1857
5113,0.2371
5115,0.1652
