FIPS,HealthDisp
1001,4.202
1003,4.956
1005,5.827
1007,4.948
1009,5.362
1011,5.588
1013,5.427
1015,5.443
1017,4.913
1019,5.044
1021,6.28
1023,5.422
1025,5.258
1027,4.566
1029,6.383
1031,5.668
1033,3.651
1035,5.592
1037,3.603
1039,5.774
1041,4.314
1043,6.176
1045,5.861
1047,5.586
1049,7.314
1051,3.857
1053,6.389
1055,6.169
1057,4.445
1059,6.26
1061,6.213
1063,8.784
1065,4.587
1067,4.214
1069,6.119
1071,5.456
1073,4.868
1075,3.044
1077,4.809
1079,4.921
1081,4.206
1083,4.601
1085,4.585
1087,4.941
1089,4.268
1091,4.638
1093,5.576
1095,6.438
1097,6.036
1099,6.569
1101,5.493
1103,5.478
1105,5.409
1107,5.143
1109,4.803
1111,4.927
1113,5.836
1115,4.382
1117,3.153
1119,6.149
1121,5.063
1123,4.692
1125,3.844
1127,6.166
1129,5.102
1131,5.503
1133,6.423
2013,20.049
2016,8.696
2020,5.516
2050,9.178
2060,8.112
2068,6.524
2070,9.766
2090,4.917
2100,4.905
2105,11.675
2110,4.792
2122,7.267
2130,4.936
2150,8.672
2158,9.48
2164,13.338
2170,7.362
2180,10.0
2185,10.027
2188,12.05
2195,6.471
2198,11.346
2220,7.38
2230,6.913
2240,8.644
2261,8.8
2275,7.861
2282,10.076
2290,11.774
4001,13.598
4003,4.28
4005,5.967
4007,5.466
4009,4.065
4011,1.558
4012,7.131
4013,5.806
4015,5.139
4017,7.247
4019,4.857
4021,4.791
4023,6.344
4025,5.166
4027,6.798
5001,2.88
5003,4.156
5005,3.156
5007,4.524
5009,3.623
5011,5.765
5013,4.419
5015,6.055
5017,5.767
5019,4.762
5021,3.217
5023,4.063
5025,1.955
5027,4.019
5029,3.189
5031,4.656
5033,4.563
5035,4.458
5037,4.185
5039,4.115
5041,4.214
5043,2.581
5045,4.386
5047,2.992
5049,5.822
5051,5.444
5053,2.827
5055,4.056
5057,5.07
5059,3.733
5061,5.588
5063,4.596
5065,3.161
5067,4.831
5069,3.405
5071,4.084
5073,4.183
5075,3.644
5077,4.54
5079,3.437
5081,2.752
5083,3.341
5085,3.807
5087,4.932
5089,3.243
5091,4.879
5093,4.199
5095,4.582
5097,5.842
5099,4.132
5101,2.348
5103,3.475
5105,2.615
5107,4.197
5109,4.541
5111,5.646
5113,5.237
5115,4.031
5117,3.521
5119,4.255
5121,4.045
5123,5.393
5125,3.026
5127,3.675
5129,2.936
5131,5.818
5133,8.465
5135,3.215
5137,4.061
5139,3.716
5141,5.104
5143,6.248
5145,4.975
5147,2.936
5149,3.894
6001,2.329
6003,3.919
6005,2.694
6007,3.374
6009,2.848
6011,4.547
6013,2.699
6015,3.109
6017,2.253
6019,4.391
6021,4.997
6023,4.308
6025,3.991
6027,3.448
6029,4.343
6031,4.218
6033,4.077
6035,2.161
6037,5.052
6039,4.285
6041,1.686
6043,3.673
6045,5.084
6047,4.492
6049,5.707
6051,6.453
6053,5.116
6055,3.154
6057,2.952
6059,3.835
6061,1.926
6063,1.699
6065,4.677
6067,3.082
6069,3.568
6071,4.609
6073,4.127
6075,1.977
6077,3.573
6079,3.168
6081,2.018
6083,5.366
6085,2.253
6087,2.863
6089,3.383
6091,3.829
6093,3.541
6095,2.732
6097,3.198
6099,3.229
6101,3.809
6103,3.261
6105,5.546
6107,4.395
6109,3.283
6111,4.503
6113,2.45
6115,3.954
8001,5.463
8003,6.066
8005,4.123
8007,6.389
8009,4.16
8011,4.905
8013,2.357
8014,3.057
8015,5.567
8017,3.37
8019,5.773
8021,6.199
8023,6.015
8025,3.715
8027,5.157
8029,5.175
8031,5.081
8033,2.756
8035,1.799
8037,6.14
8039,3.067
8041,3.808
8043,3.658
8045,9.155
8047,2.705
8049,6.588
8051,4.401
8053,7.67
8055,4.117
8057,4.71
8059,2.742
8061,1.581
8063,5.362
8065,7.726
8067,4.63
8069,3.146
8071,4.021
8073,2.721
8075,5.112
8077,5.048
8079,7.72
8081,6.839
8083,6.606
8085,6.102
8087,5.167
8089,4.649
8091,5.765
8093,4.822
8095,6.91
8097,4.398
8099,5.762
8101,3.705
8103,5.847
8105,6.126
8107,3.668
8109,6.05
8111,5.655
8113,4.862
8115,5.157
8117,7.74
8119,4.184
8121,2.078
8123,4.746
8125,6.164
9001,4.075
9003,2.212
9005,1.923
9007,1.722
9009,2.697
9011,2.24
9013,1.434
9015,2.234
10001,3.986
10003,2.75
10005,3.436
11001,2.096
12001,4.463
12003,5.942
12005,7.107
12007,5.679
12009,5.322
12011,7.504
12013,8.418
12015,5.514
12017,5.706
12019,5.048
12021,7.13
12023,7.118
12027,10.149
12029,8.849
12031,6.274
12033,5.829
12035,6.708
12037,9.873
12039,6.888
12041,8.068
12043,10.733
12045,4.207
12047,8.637
12049,6.333
12051,12.648
12053,6.676
12055,6.625
12057,6.484
12059,9.357
12061,5.889
12063,6.141
12065,4.012
12067,7.266
12069,5.651
12071,7.055
12073,4.225
12075,8.162
12077,7.884
12079,6.312
12081,6.319
12083,6.296
12085,5.029
12086,8.579
12087,8.782
12089,5.201
12091,6.137
12093,8.1
12095,7.015
12097,7.039
12099,7.149
12101,6.123
12103,5.652
12105,6.948
12107,8.698
12109,4.107
12111,7.264
12113,5.723
12115,5.643
12117,4.889
12119,2.993
12121,6.739
12123,4.28
12125,5.267
12127,5.97
12129,4.338
12131,7.507
12133,8.425
13001,6.54
13003,10.921
13005,9.94
13007,7.24
13009,6.305
13011,7.15
13013,8.005
13015,7.863
13017,10.521
13019,11.317
13021,6.537
13023,5.522
13025,8.787
13027,8.164
13029,5.162
13031,6.874
13033,5.402
13035,5.65
13037,8.123
13039,5.736
13043,9.645
13045,6.388
13047,5.562
13049,9.285
13051,7.425
13053,2.668
13055,6.341
13057,5.684
13059,6.653
13061,7.548
13063,9.645
13065,11.052
13067,6.35
13069,8.252
13071,11.549
13073,4.353
13075,9.886
13077,5.093
13079,6.446
13081,9.947
13083,6.536
13085,6.82
13087,8.625
13089,7.065
13091,5.652
13093,8.553
13095,8.348
13097,6.9
13099,10.188
13101,12.962
13103,4.906
13105,7.082
13107,9.892
13109,9.38
13111,6.27
13113,3.8
13115,7.915
13117,4.362
13119,7.991
13121,5.35
13123,9.688
13125,3.68
13127,7.162
13129,8.671
13131,9.939
13133,8.593
13135,8.19
13137,7.675
13139,8.801
13141,6.659
13143,6.264
13145,3.674
13147,6.764
13149,6.412
13151,5.721
13153,5.675
13155,9.526
13157,5.656
13159,6.963
13161,9.896
13163,6.759
13165,9.558
13167,8.026
13169,3.795
13171,6.675
13173,6.708
13175,6.932
13177,4.947
13179,5.272
13181,6.753
13183,7.973
13185,8.058
13187,5.706
13189,7.393
13191,6.551
13193,10.895
13195,7.644
13197,6.727
13199,7.192
13201,8.259
13205,10.497
13207,5.895
13209,8.28
13211,5.824
13213,7.961
13215,6.474
13217,7.221
13219,3.388
13221,6.12
13223,6.078
13225,6.913
13227,5.853
13229,8.448
13231,6.155
13233,8.312
13235,6.852
13237,7.124
13239,12.736
13241,8.732
13243,6.526
13245,7.194
13247,7.368
13249,7.2
13251,7.191
13253,9.493
13255,7.531
13257,7.917
13259,6.712
13261,6.557
13263,7.318
13265,6.949
13267,8.053
13269,8.182
13271,5.105
13273,9.434
13275,7.044
13277,9.555
13279,9.436
13281,6.729
13283,9.485
13285,5.888
13287,6.961
13289,5.395
13291,6.909
13293,6.39
13295,7.518
13297,6.385
13299,8.294
13301,5.821
13303,6.004
13305,8.527
13307,9.425
13309,9.614
13311,6.591
13313,9.342
13315,8.862
13317,6.935
13319,5.686
13321,9.027
15001,2.623
15003,1.808
15005,0.0
15007,2.532
15009,2.692
16001,3.976
16003,5.724
16005,4.425
16007,3.016
16009,5.885
16011,5.556
16013,6.174
16015,6.938
16017,5.109
16019,4.578
16021,9.495
16023,6.325
16025,6.761
16027,6.998
16029,5.561
16031,5.808
16033,13.369
16035,7.259
16037,3.241
16039,7.551
16041,5.326
16043,7.206
16045,8.64
16047,9.268
16049,6.756
16051,4.553
16053,9.575
16055,5.39
16057,3.754
16059,5.161
16061,7.075
16063,9.216
16065,3.3
16067,9.644
16069,5.585
16071,4.312
16073,11.366
16075,5.722
16077,7.524
16079,8.231
16081,4.866
16083,5.543
16085,5.794
16087,7.741
17001,2.528
17003,4.305
17005,3.163
17007,2.894
17009,3.234
17011,2.552
17013,0.511
17015,2.781
17017,2.641
17019,2.386
17021,2.544
17023,1.888
17025,2.799
17027,2.117
17029,3.834
17031,4.743
17033,3.564
17035,2.481
17037,2.784
17039,2.027
17041,8.222
17043,2.821
17045,2.509
17047,3.185
17049,2.756
17051,4.088
17053,2.552
17055,3.191
17057,3.1
17059,1.949
17061,2.858
17063,1.861
17065,4.364
17067,1.885
17069,2.92
17071,2.169
17073,2.336
17075,3.348
17077,3.816
17079,3.428
17081,3.364
17083,1.993
17085,2.598
17087,2.114
17089,4.386
17091,2.961
17093,2.23
17095,2.876
17097,3.403
17099,2.221
17101,4.129
17103,1.892
17105,2.508
17107,1.98
17109,2.957
17111,2.563
17113,2.09
17115,2.41
17117,2.219
17119,2.63
17121,3.58
17123,2.306
17125,2.941
