FIPS,AGE019,AGE2029,AGE3039,AGE4049,AGE5064,AGE6579,AGE80PLUS
1001,0.207509,0.121896,0.169386,0.16615,0.205315,0.076601,0.053143
1003,0.194165,0.105009,0.135752,0.14957,0.231079,0.118725,0.065699
1005,0.187135,0.130402,0.168607,0.147109,0.194967,0.106419,0.065361
1007,0.175423,0.130396,0.185897,0.169277,0.20364,0.080603,0.054764
1009,0.208854,0.117434,0.1421,0.155864,0.214735,0.09891,0.062101
1011,0.182673,0.124764,0.197465,0.157962,0.195051,0.081465,0.060619
1013,0.202297,0.115638,0.138972,0.140229,0.21111,0.106168,0.085586
1015,0.203295,0.133331,0.153077,0.140886,0.213995,0.09653,0.058886
1017,0.189559,0.127772,0.129051,0.139488,0.236098,0.109803,0.068228
1019,0.174466,0.112413,0.091862,0.139609,0.265736,0.137979,0.077936
1021,0.21696,0.123624,0.144102,0.156216,0.213997,0.089377,0.055723
1023,0.185317,0.11099,0.097956,0.129859,0.257443,0.130159,0.088276
1025,0.199693,0.125434,0.113875,0.13976,0.234465,0.106434,0.080338
1027,0.186386,0.115387,0.123202,0.140878,0.244761,0.109305,0.080081
1029,0.20839,0.111373,0.132681,0.148398,0.222655,0.107976,0.068526
1031,0.210867,0.120825,0.165601,0.163869,0.192683,0.086457,0.059698
1033,0.190516,0.123018,0.147589,0.136434,0.224043,0.105368,0.073032
1035,0.192906,0.114398,0.104355,0.12317,0.245477,0.131984,0.08771
1037,0.147988,0.102721,0.097598,0.143585,0.293255,0.137963,0.07689
1039,0.200428,0.111186,0.131499,0.129335,0.230735,0.113342,0.083473
1041,0.208696,0.119096,0.132097,0.140526,0.226109,0.104359,0.069116
1043,0.202991,0.121856,0.15078,0.149334,0.213873,0.10018,0.060986
1045,0.20961,0.140904,0.175411,0.127592,0.196429,0.089687,0.060366
1047,0.221717,0.123612,0.128137,0.122333,0.234069,0.104751,0.065381
1049,0.221638,0.124249,0.130616,0.162372,0.210824,0.093856,0.056446
1051,0.196814,0.126207,0.178108,0.161035,0.209698,0.080389,0.047748
1053,0.202274,0.12752,0.157038,0.155049,0.199218,0.093246,0.065654
1055,0.196354,0.12437,0.139797,0.153516,0.219701,0.104182,0.062081
1057,0.195412,0.116728,0.127251,0.138427,0.226839,0.117951,0.077392
1059,0.226721,0.123855,0.147787,0.159321,0.196206,0.085577,0.060533
1061,0.199607,0.105855,0.131411,0.1441,0.234345,0.112072,0.07261
1063,0.206229,0.120256,0.113814,0.104758,0.226638,0.135347,0.092959
1065,0.217136,0.131348,0.128214,0.11657,0.226188,0.107043,0.073502
1067,0.18705,0.10322,0.122581,0.16244,0.216888,0.131122,0.076698
1069,0.207447,0.120334,0.16129,0.146106,0.207094,0.09384,0.063889
1071,0.188483,0.114868,0.121121,0.159711,0.234807,0.113753,0.067257
1073,0.207279,0.135479,0.186086,0.143335,0.191116,0.080108,0.056598
1075,0.197689,0.107438,0.116219,0.149422,0.226129,0.116804,0.086299
1077,0.193514,0.152441,0.1285,0.121761,0.217765,0.11103,0.074988
1079,0.196042,0.116232,0.134622,0.141791,0.248509,0.101964,0.060839
1081,0.21669,0.208187,0.168542,0.139578,0.167703,0.060755,0.038545
1083,0.193445,0.115339,0.175737,0.173198,0.220385,0.074441,0.047455
1085,0.204618,0.123753,0.134698,0.109768,0.247565,0.103553,0.076046
1087,0.206806,0.195908,0.095308,0.088871,0.214577,0.123796,0.074733
1089,0.197442,0.137322,0.179047,0.136739,0.223844,0.07177,0.053836
1091,0.207485,0.124024,0.125496,0.139288,0.219826,0.106274,0.077606
1093,0.188834,0.11267,0.125252,0.148825,0.231794,0.109222,0.083404
1095,0.231813,0.123174,0.14552,0.141663,0.209309,0.089118,0.059403
1097,0.214174,0.136715,0.171065,0.134541,0.201864,0.085655,0.055986
1099,0.195819,0.123945,0.10293,0.14284,0.240925,0.115817,0.077725
1101,0.216992,0.142418,0.184402,0.138663,0.187221,0.076972,0.053333
1103,0.207813,0.118721,0.146805,0.149554,0.223733,0.092481,0.060893
1105,0.231672,0.15393,0.096147,0.119045,0.201857,0.10877,0.088579
1107,0.175669,0.125941,0.168054,0.140121,0.222178,0.099044,0.068992
1109,0.219611,0.259919,0.110701,0.098753,0.170006,0.080016,0.060993
1111,0.199792,0.118083,0.107219,0.135526,0.249531,0.115457,0.074391
1113,0.21492,0.137988,0.187192,0.13892,0.20198,0.071617,0.047384
1117,0.196787,0.11177,0.174569,0.16101,0.216197,0.088283,0.051384
1115,0.205708,0.115917,0.161198,0.181878,0.205652,0.080415,0.049232
1119,0.214887,0.222692,0.075332,0.08703,0.208941,0.104105,0.087013
1121,0.191506,0.127658,0.151824,0.148912,0.22322,0.098508,0.058372
1123,0.189712,0.117304,0.112565,0.119212,0.258708,0.129284,0.073215
1125,0.218682,0.193518,0.176324,0.134935,0.163933,0.06754,0.045068
1127,0.204195,0.12315,0.125138,0.146266,0.227723,0.109016,0.064513
1129,0.199516,0.123034,0.115444,0.135819,0.24819,0.110547,0.067451
1131,0.222526,0.132175,0.117297,0.126838,0.211793,0.113659,0.075712
1133,0.185517,0.110477,0.109848,0.141395,0.251912,0.121037,0.079814
2013,0.056157,0.137952,0.181252,0.305555,0.258173,0.039928,0.020982
2016,0.092833,0.131444,0.221181,0.254776,0.266094,0.02558,0.008092
2020,0.211282,0.155895,0.237495,0.134586,0.174673,0.054636,0.031432
2050,0.348212,0.164988,0.195218,0.096042,0.144724,0.03427,0.016546
2060,0.171694,0.111668,0.208476,0.100169,0.259078,0.093706,0.055209
2068,0.138136,0.124409,0.225835,0.203636,0.230101,0.054824,0.023059
2070,0.301298,0.162207,0.197508,0.066816,0.193589,0.051843,0.02674
2090,0.218359,0.203082,0.239072,0.111638,0.146199,0.056142,0.025509
2100,0.164247,0.097785,0.126229,0.113843,0.297441,0.146133,0.054322
2105,0.167085,0.089794,0.108638,0.103643,0.31879,0.153782,0.058268
2110,0.184167,0.129225,0.211225,0.152093,0.21626,0.073635,0.033394
2122,0.202847,0.113944,0.167186,0.130009,0.23135,0.109947,0.044716
2130,0.188972,0.122455,0.194696,0.136026,0.226066,0.090101,0.041685
2150,0.210388,0.139793,0.262249,0.119875,0.183033,0.05744,0.02722
2158,0.424947,0.173522,0.191006,0.050166,0.122984,0.021419,0.015956
2164,0.266065,0.130262,0.16392,0.142647,0.21147,0.050964,0.034672
2170,0.233121,0.123069,0.205907,0.149386,0.195242,0.065049,0.028225
2180,0.327077,0.161168,0.205155,0.112439,0.142011,0.034593,0.017557
2185,0.240186,0.133014,0.228817,0.137962,0.218912,0.027685,0.013422
2188,0.347777,0.157126,0.193653,0.093932,0.155208,0.021748,0.030557
2195,0.193055,0.109899,0.170337,0.127391,0.234425,0.118743,0.046151
2198,0.202381,0.104955,0.150124,0.121736,0.268198,0.114575,0.038031
2220,0.178515,0.118895,0.198545,0.163413,0.208473,0.080705,0.051453
2230,0.109433,0.096553,0.314132,0.19552,0.180815,0.068648,0.0349
2240,0.231029,0.113095,0.183313,0.134636,0.214843,0.085961,0.037125
2261,0.208387,0.111422,0.192673,0.123018,0.248472,0.084893,0.031136
2275,0.181438,0.103052,0.107669,0.082279,0.285917,0.151463,0.088182
2282,0.182849,0.105301,0.169981,0.10622,0.266603,0.100091,0.068956
2290,0.266131,0.12362,0.164575,0.108314,0.203296,0.09512,0.038946
4001,0.254408,0.136068,0.152706,0.116812,0.200635,0.084474,0.054896
4003,0.204454,0.126692,0.155733,0.102374,0.194049,0.132797,0.083902
4005,0.231625,0.227474,0.16197,0.105649,0.162371,0.070548,0.040362
4007,0.189538,0.102089,0.098773,0.067835,0.249362,0.186592,0.105811
4009,0.249969,0.152223,0.195128,0.146092,0.139856,0.064536,0.052194
