FIPS,UNDER5,AGE517,AGE1829,AGE3039,AGE4049,AGE5064,AGE6574,AGE75PLUS
1001,0.059612,0.172457,0.146766,0.131463,0.13214,0.196472,0.092215,0.068876
1003,0.053038,0.158657,0.125374,0.115747,0.123133,0.209436,0.128625,0.085991
1005,0.053343,0.151631,0.15228,0.130091,0.122668,0.188058,0.11784,0.084091
1007,0.055498,0.145682,0.154917,0.140322,0.135276,0.198387,0.099509,0.070409
1009,0.059604,0.169026,0.138335,0.11838,0.125872,0.199216,0.110457,0.07911
1011,0.056716,0.152438,0.148955,0.145075,0.129851,0.192338,0.101692,0.072935
1013,0.056184,0.164097,0.13516,0.116773,0.11872,0.196261,0.117132,0.095672
1015,0.057184,0.156987,0.161067,0.122801,0.119187,0.198445,0.111078,0.073252
1017,0.054564,0.151232,0.146322,0.112644,0.118373,0.211707,0.119676,0.085483
1019,0.046278,0.139861,0.12945,0.09685,0.117786,0.228352,0.143091,0.098332
1021,0.061283,0.176599,0.144359,0.119121,0.12592,0.19855,0.104104,0.070063
1023,0.05229,0.144518,0.12904,0.099206,0.113401,0.222712,0.130564,0.108269
1025,0.055945,0.156723,0.146038,0.105949,0.117959,0.20942,0.112745,0.095222
1027,0.054592,0.148799,0.134884,0.110554,0.119373,0.218066,0.11656,0.097172
1029,0.061365,0.166333,0.130008,0.114049,0.122129,0.203125,0.116987,0.086004
1031,0.060309,0.174492,0.143021,0.129101,0.130342,0.187096,0.102521,0.073119
1033,0.0572,0.152052,0.142215,0.120826,0.117541,0.20539,0.116187,0.088589
1035,0.051744,0.152466,0.131164,0.101476,0.110114,0.21419,0.133932,0.104914
1037,0.042974,0.119558,0.119745,0.100272,0.12115,0.25007,0.144369,0.101863
1039,0.057795,0.161274,0.127781,0.113373,0.11367,0.207634,0.121023,0.097451
1041,0.055714,0.170276,0.138409,0.113615,0.118501,0.204769,0.119011,0.079705
1043,0.059957,0.162952,0.142227,0.122131,0.123162,0.198971,0.112017,0.078583
1045,0.066265,0.162177,0.161443,0.131999,0.113334,0.187383,0.102555,0.074843
1047,0.058615,0.174061,0.145206,0.111108,0.109763,0.207281,0.116709,0.077257
1049,0.059667,0.180146,0.145247,0.113041,0.127986,0.195426,0.106232,0.072254
1051,0.056674,0.163587,0.151655,0.135555,0.130204,0.199932,0.098186,0.064206
1053,0.060944,0.162564,0.148318,0.125079,0.126014,0.190451,0.105058,0.081571
1055,0.058059,0.155276,0.145996,0.117494,0.124929,0.202484,0.117952,0.077809
1057,0.05546,0.155608,0.13511,0.111597,0.117567,0.205158,0.124215,0.095285
1059,0.069877,0.177547,0.145398,0.120446,0.127041,0.187058,0.100409,0.072223
1061,0.054844,0.162715,0.125862,0.113779,0.120559,0.211045,0.121695,0.089501
1063,0.055265,0.159447,0.136047,0.104556,0.101568,0.200523,0.142644,0.09995
1065,0.065426,0.166224,0.147005,0.110952,0.107136,0.202004,0.116132,0.085122
1067,0.049991,0.153578,0.12213,0.110097,0.128524,0.20014,0.139976,0.095565
1069,0.062914,0.165475,0.14186,0.126748,0.121971,0.195181,0.10731,0.078542
1071,0.054452,0.151466,0.134561,0.109717,0.127648,0.21194,0.122962,0.087255
1073,0.06347,0.163808,0.161198,0.137793,0.121291,0.186181,0.099569,0.06669
1075,0.058666,0.155983,0.125961,0.107179,0.12248,0.205076,0.123713,0.100943
1077,0.051376,0.143425,0.178901,0.111367,0.109631,0.197673,0.11861,0.089017
1079,0.054438,0.161032,0.135898,0.115419,0.119892,0.220704,0.113258,0.07936
1081,0.05638,0.15283,0.248756,0.128091,0.117632,0.167944,0.079803,0.048564
1083,0.054678,0.166044,0.141065,0.135626,0.136799,0.208839,0.094093,0.062857
1085,0.061017,0.158293,0.142754,0.114369,0.104941,0.217135,0.113436,0.088056
1087,0.049214,0.124401,0.235648,0.09592,0.093691,0.189054,0.125516,0.086557
1089,0.058315,0.157745,0.165644,0.135485,0.118901,0.208132,0.09056,0.065217
1091,0.059437,0.162401,0.144043,0.110626,0.11765,0.200181,0.117012,0.08865
1093,0.053212,0.153719,0.132173,0.1115,0.122962,0.210226,0.117248,0.098961
1095,0.071149,0.179926,0.143031,0.118885,0.11873,0.193851,0.10103,0.073398
1097,0.065359,0.167029,0.159615,0.130345,0.116482,0.191025,0.101511,0.068634
1099,0.049854,0.15809,0.143129,0.101267,0.119006,0.212719,0.122856,0.09308
1101,0.067623,0.166641,0.169053,0.136325,0.118624,0.182565,0.095096,0.064074
1103,0.06067,0.167977,0.139903,0.120597,0.123392,0.20542,0.105688,0.076354
1105,0.053461,0.15056,0.200937,0.09687,0.106694,0.183687,0.110235,0.097555
1107,0.052671,0.138893,0.15196,0.130821,0.120428,0.207104,0.113163,0.08496
1109,0.053524,0.136796,0.290454,0.10171,0.097556,0.163028,0.088398,0.068535
1111,0.054759,0.154357,0.140809,0.103007,0.115855,0.217944,0.122717,0.090552
