end_of_week,UNDER5,AGE1829,AGE3039,AGE4049,AGE5064,AGE6574,AGE75PLUS,AGE517,Overall
2020-03-07,38,743,1033,1267,2449,1171,854,159,7714
2020-03-14,139,4370,5165,5647,9212,4070,2643,480,31726
2020-03-21,413,15878,18440,19056,30614,12449,8136,1631,106617
2020-03-28,616,19871,25565,26928,44210,17535,15037,1981,151743
2020-04-04,855,23397,29213,31599,53222,21335,22374,2862,184857
2020-04-11,1114,24650,28626,31090,51680,21442,28309,3497,190408
2020-04-18,1146,25145,27216,28205,45142,18938,27999,4160,177951
2020-04-25,1472,29533,30254,30640,45271,17679,26399,5794,187042
2020-05-02,1860,34218,32754,32367,45077,16740,23117,7263,193396
2020-05-09,2024,30882,28863,27079,38207,14408,18782,8146,168391
2020-05-16,2533,32162,28992,27015,37278,13479,17290,9483,168232
2020-05-23,2744,32996,28572,26588,34973,12627,14637,10226,163363
2020-05-30,2669,33257,28482,25681,33830,11641,13730,10116,159406
2020-06-06,3152,36807,28833,26517,33207,11458,12083,11637,163694
2020-06-13,3842,48930,36781,33239,42197,14502,14310,13904,207705
2020-06-20,4883,69764,45408,37868,44792,15053,12788,17365,247921
2020-06-27,6031,96129,60623,48887,58944,19314,16902,22762,329592
2020-07-04,6858,105472,67298,55953,66454,21778,16700,27013,367526
2020-07-11,7967,118643,77643,66321,79999,26710,19835,34254,431372
2020-07-18,8469,110370,76215,66753,82406,28362,22096,36573,431244
2020-07-25,8303,96450,67742,61660,76396,27524,21664,34329,394068
2020-08-01,7496,86845,61137,56178,71205,26052,21076,31926,361915
2020-08-08,7237,83404,57841,53366,67807,24674,20341,31255,345925
2020-08-15,7180,86017,58762,53534,67476,24262,19878,30579,347688
2020-08-22,6538,87874,53655,48415,62555,23007,19161,27642,328847
2020-08-29,5590,90301,43329,39596,51583,18985,16033,24291,289708
2020-09-05,4480,87074,35238,32708,43383,16285,14185,21349,254702
2020-09-12,4171,78728,35661,32587,44372,16943,14263,22031,248756
2020-09-19,5606,87151,46339,42431,56187,21282,17829,28412,305237
2020-09-26,5965,84469,50611,46223,61631,23980,19272,29860,322011
2020-10-03,6296,81383,53126,48450,66690,27326,21635,31776,336682
2020-10-10,6655,83274,55888,51808,72203,29256,23229,35030,357343
2020-10-17,8007,97631,68919,63469,88291,34664,28084,41030,430095
2020-10-24,9412,116225,84608,77645,106645,41968,33330,50654,520487
2020-10-31,11526,142794,104959,96779,131776,49973,38966,62814,639587
2020-11-07,14973,197493,138569,125466,168462,63962,49424,87715,846064
2020-11-14,18281,228349,165546,151919,206773,80175,60990,105359,1017392
2020-11-21,21061,250582,186766,169971,233672,90482,70307,115593,1138434
2020-11-28,19997,229927,178717,163798,227503,88330,72193,104965,1085430
2020-12-05,26556,290304,221704,200022,270260,101782,82446,139832,1332906
2020-12-12,27991,280538,220306,200537,273498,103880,84513,139982,1331245
2020-12-19,27513,270063,216463,198812,271716,103110,81691,137375,1306743
2020-12-26,24812,257697,208399,192574,268357,105486,82268,121232,1260825
2021-01-02,29966,320342,252337,227079,311620,122016,93284,149058,1505702
2021-01-09,35667,373379,275113,248750,338139,129097,98968,184951,1684064
2021-01-16,31967,288070,214746,196928,273354,106244,80980,155260,1347549
2021-01-23,26671,223245,172043,158052,219531,85210,64771,130671,1080194
2021-01-30,24098,203976,154351,139985,193438,73922,55122,119081,963973
2021-02-06,18488,150924,113455,104010,143166,54850,40362,95353,720608
2021-02-13,15670,126876,94776,86158,118036,43768,30907,78010,594201
2021-02-20,11540,99674,72049,64834,90219,32423,22129,57230,450098
2021-02-27,11870,102876,74096,64996,89387,31640,20574,59018,454457
2021-03-06,10991,90231,69903,63159,86048,27509,17374,53891,419106
2021-03-13,10334,84361,61639,55190,74209,23014,13979,52185,374911
2021-03-20,10559,88961,63880,56419,75320,21592,12965,53733,383429
2021-03-27,11935,105747,73850,63262,83996,21872,13032,62027,435721
2021-04-03,12397,107024,74871,63519,80779,20625,11950,60784,431949
2021-04-10,13639,108609,77360,64625,80953,21192,13124,68804,448306
2021-04-17,13787,101985,73088,60208,73115,19602,12334,68733,422852
2021-04-24,12710,91264,66218,54530,64753,18219,11569,64551,383814
2021-05-01,11517,76805,57028,46901,54002,15877,9959,59645,331734
2021-05-08,10405,67316,50564,41723,49663,14696,9293,52416,296076
2021-05-15,9765,64529,47464,38978,48661,14997,9457,46179,280030
2021-05-22,5860,37847,30108,24563,29647,9302,6415,27231,170973
2021-05-29,4380,27530,22118,17827,22066,7511,4940,18934,125306
2021-06-05,3682,22533,18142,14723,17506,5996,4169,14342,101093
2021-06-12,3182,21170,16719,13373,16203,5672,3752,11870,91941
2021-06-19,3309,24410,18664,15181,18707,6656,4804,13007,104738
2021-06-26,3774,27555,20926,16825,20266,7196,4548,15833,116923
2021-07-03,4882,34081,27355,21919,25315,8676,5947,22704,150879
2021-07-10,5988,48391,38184,29641,33401,11311,7301,27254,201471
2021-07-17,10371,84673,66683,52844,59499,19880,12961,47888,354799
2021-07-24,14543,105876,85279,64517,71483,25124,15317,63944,446083
2021-07-31,21435,146807,115220,88141,97505,35360,22366,91893,618727
2021-08-07,28578,183924,148222,116721,134326,49786,33752,119461,814770
2021-08-14,33069,180437,149311,118124,135356,50996,32999,145056,845348
2021-08-21,38027,185759,156798,123399,143064,55322,35709,189455,927533
2021-08-28,42816,202143,170281,134656,155298,59464,38062,231676,1034396
2021-09-04,37678,176720,151175,119749,138476,54441,35389,220053,933681
2021-09-11,36042,171239,148092,119087,136992,53580,35275,207069,907376
2021-09-18,37500,176800,155016,125824,149085,58928,38401,196900,938454
2021-09-25,30540,131780,120610,98551,118784,48875,32419,158484,740043
2021-10-02,30014,130955,124308,102216,125129,51953,34872,154530,753977
2021-10-09,24201,104159,101148,83806,104316,44593,29865,124199,616287
2021-10-16,20699,85497,84002,69850,88617,37665,26343,100811,513484
2021-10-23,19492,81083,79829,65963,85638,35803,25003,93306,486117
2021-10-30,19156,82539,81190,66916,86073,34713,24407,95127,490121
2021-11-06,20287,90433,84789,69150,86742,33688,23489,104248,512826
2021-11-13,23227,95205,92275,76330,96655,36251,25247,115710,560900
2021-11-20,24497,99468,98960,81273,105159,39182,26486,117730,592755
2021-11-27,23547,95925,96293,80225,103463,38726,26436,99664,564279
