STATE,COUNTY,FIPS,STNAME,CTYNAME,Name,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
1,1,1001,Alabama,Autauga County,"Alabama, Autauga",56130,27231,28899,3346,1739,1607,6566,3366,3200,3114,1553,1561,4416,2267,2149,44657,21353,23304,43104,20573,22531,21567,10606,10961,14798,7166,7632,14848,7161,7687,9042,3979,5063,3346,1739,1607,3494,1785,1709,3833,1961,1872,3622,1825,1797,3147,1615,1532,3822,1893,1929,3636,1756,1880,3743,1818,1925,3597,1699,1898,3820,1844,1976,3675,1811,1864,3912,1915,1997,3441,1591,1850,2790,1351,1439,2386,1032,1354,1796,749,1047,1142,494,648,928,353,575,39.3,37.8,40.5
1,3,1003,Alabama,Baldwin County,"Alabama, Baldwin",227989,110420,117569,12092,6319,5773,24636,12572,12064,11536,5787,5749,16067,8055,8012,185376,88563,96813,179725,85742,93983,77312,38054,39258,52651,25693,26958,62077,29384,32693,48930,22610,26320,12092,6319,5773,13356,6874,6482,14222,7179,7043,13371,6684,6687,11290,5677,5613,12517,6254,6263,12865,6256,6609,13524,6579,6945,13745,6604,7141,14328,6941,7387,14519,6963,7556,16420,7756,8664,16810,7724,9086,15519,7146,8373,13806,6532,7274,9457,4503,4954,5607,2554,3053,4541,1875,2666,43.8,42.5,45.2
1,5,1005,Alabama,Barbour County,"Alabama, Barbour",24652,13018,11634,1315,673,642,2574,1275,1299,1164,593,571,1992,1162,830,20183,10777,9406,19599,10477,9122,9300,5525,3775,6441,3917,2524,6188,3234,2954,4978,2164,2814,1315,673,642,1351,659,692,1520,763,757,1394,726,668,1465,882,583,1762,1113,649,1648,1004,644,1559,899,660,1472,901,571,1552,869,683,1467,795,672,1659,827,832,1510,743,767,1499,689,810,1406,619,787,971,439,532,587,245,342,515,172,343,40.9,38.9,44.5
1,7,1007,Alabama,Bibb County,"Alabama, Bibb",22199,11807,10392,1232,600,632,2177,1139,1038,1057,567,490,1735,1013,722,18284,9795,8489,17733,9501,8232,8753,5088,3665,6217,3642,2575,6009,3169,2840,3772,1677,2095,1232,600,632,1199,628,571,1234,645,589,1224,675,549,1312,771,541,1704,1001,703,1607,962,645,1508,888,620,1398,791,607,1605,885,720,1492,796,696,1543,805,738,1369,683,686,1162,551,611,1047,492,555,700,310,390,467,188,279,396,136,260,40.3,38.4,42.9
1,9,1009,Alabama,Blount County,"Alabama, Blount",57932,28636,29296,3453,1798,1655,6674,3363,3311,3118,1525,1593,4440,2347,2093,46253,22734,23519,44687,21950,22737,20732,10473,10259,13939,6972,6967,15326,7652,7674,10982,4979,6003,3453,1798,1655,3611,1827,1784,3828,1907,1921,3603,1831,1772,3190,1670,1520,3574,1822,1752,3410,1692,1718,3448,1707,1741,3507,1751,1756,3785,1897,1888,3850,1917,1933,4007,2010,1997,3684,1828,1856,3333,1609,1724,3066,1407,1659,2146,959,1187,1320,593,727,1117,411,706,41.2,40.2,42.3
1,11,1011,Alabama,Bullock County,"Alabama, Bullock",10050,5499,4551,570,274,296,1085,563,522,447,241,206,764,440,324,8157,4532,3625,7948,4421,3527,3942,2382,1560,2859,1772,1087,2570,1441,1129,1755,768,987,570,274,296,595,290,305,618,344,274,514,273,241,569,337,232,733,478,255,740,466,274,718,445,273,668,383,285,637,410,227,554,317,237,665,345,320,714,369,345,592,300,292,430,187,243,302,122,180,224,95,129,207,64,143,39.8,38.2,42.1
1,13,1013,Alabama,Butler County,"Alabama, Butler",19525,9091,10434,1097,547,550,2223,1172,1051,981,541,440,1511,773,738,15707,7104,8603,15224,6831,8393,6833,3308,3525,4596,2129,2467,4962,2236,2726,4155,1693,2462,1097,547,550,1194,631,563,1284,676,608,1132,627,505,1105,552,553,1128,567,561,1089,492,597,1191,555,636,1188,515,673,1130,500,630,1128,506,622,1298,555,743,1406,675,731,1296,570,726,991,457,534,742,335,407,548,194,354,578,137,441,42.2,39.1,44.8
1,15,1015,Alabama,Calhoun County,"Alabama, Calhoun",113704,54668,59036,6502,3347,3155,12201,6225,5976,5649,2942,2707,10730,5321,5409,92208,43623,48585,89352,42154,47198,43356,21361,21995,28371,13821,14550,29292,14035,15257,20959,8977,11982,6502,3347,3155,6531,3284,3247,7064,3664,3400,7531,3825,3706,7454,3715,3739,7584,3728,3856,7171,3513,3658,6792,3291,3501,6824,3289,3535,6728,3255,3473,6962,3358,3604,7753,3762,3991,7849,3660,4189,6929,3164,3765,5701,2553,3148,3804,1642,2162,2367,963,1404,2158,655,1503,40.2,38.5,41.7
1,17,1017,Alabama,Chambers County,"Alabama, Chambers",32989,15740,17249,1800,920,880,3470,1765,1705,1519,769,750,2518,1296,1222,26948,12687,14261,26200,12286,13914,11512,5643,5869,7867,3758,4109,9047,4331,4716,6768,2901,3867,1800,920,880,1930,985,945,1932,960,972,1787,953,834,1858,932,926,2309,1128,1181,1948,949,999,1768,816,952,1842,865,977,2063,969,1094,2193,1076,1117,2399,1158,1241,2392,1128,1264,2127,973,1154,1821,834,987,1304,553,751,765,319,446,751,222,529,43.2,41.3,44.8
1,19,1019,Alabama,Cherokee County,"Alabama, Cherokee",26319,13037,13282,1218,599,619,2478,1298,1180,1203,581,622,1859,927,932,22021,10845,11176,21420,10559,10861,8246,4119,4127,5482,2760,2722,7725,3870,3855,6354,3002,3352,1218,599,619,1313,689,624,1463,758,705,1418,686,732,1346,673,673,1548,822,726,1328,673,655,1221,586,635,1385,679,706,1715,858,857,1797,931,866,2009,995,1014,2204,1086,1118,1925,942,983,1841,925,916,1221,554,667,762,343,419,605,238,367,47.8,47.1,48.4
