FIPS,% Fair or Poor Health,% Smokers,% Adults with Obesity,Primary Care Physicians Rate,% Flu Vaccinated,% Unemployed,Average Daily PM2.5,% Severe Housing Problems
1001,19.839178869,19.810765873,33.0,46.76175,42.0,2.7281063732,10.4,13.630966516
1003,16.460675293,18.513318262,30.0,70.1764,46.0,2.7258342923,7.2,12.996650686
1005,29.841499915,25.53076754,41.2,32.15305,39.0,3.795244231,9.4,13.710554951
1007,23.853283551,23.084812535,37.4,53.57142999999999,40.0,3.062751871,10.0,9.255242227
1009,21.985609556,22.95495894,33.0,20.74689,40.0,2.6686668509,10.6,10.125664572
1011,31.444931886,24.905712949,46.6,29.591639999999998,29.0,3.6322125363,9.2,20.29972752
1013,27.886720948,22.826806546,46.8,25.406499999999998,35.0,3.648925834,8.9,11.843971631
1015,23.66105737,21.234317808,39.7,63.879870000000004,40.0,3.5382717652,10.8,12.594235033
1017,25.073923371,23.216156424,42.3,41.648070000000004,43.0,2.9337058674,10.2,14.859437751
1019,22.88776803,23.559697438,38.4,38.41426,50.0,2.9127886936,10.3,11.672070403
1021,24.153332673,23.432042227,41.9,22.64852,42.0,2.7147038046,10.2,14.639236732
1023,26.382311475,23.289764357,47.2,38.93778,34.0,4.6680942184,8.9,11.436413541
1025,26.788858047,24.336501142,36.1,54.34783,30.0,5.7694852455,9.1,12.8125
1027,25.204724489,25.230843336,37.3,37.66478,44.0,2.9995082773,7.4,9.5505617978
1029,22.82258171,24.088050258,34.0,20.01735,41.0,3.1519118154,9.8,12.727272727
1031,21.534752697,21.383378454,36.7,46.23476,38.0,2.9109429025,9.1,10.626911315
1033,21.664346791,22.041454603,37.0,63.912929999999996,47.0,3.7427048972,7.5,13.577439163
1035,29.317166611,25.840455606,42.1,40.72656,45.0,3.9708802118,8.8,13.467656416
1037,25.644055719,24.60221405,44.8,,42.0,2.9676852055,9.8,12.960760999
1039,23.403439344,23.424990112,35.8,48.66706,40.0,3.411486616,8.8,12.037945698
1041,24.517561746,23.101701874,35.3,14.46759,40.0,2.8258184064,9.0,9.7947761194
1043,21.807464602,22.625123931,35.7,52.73124,44.0,2.5824147389,10.5,12.413571314
1045,22.124722819,21.493210399,41.8,20.42651,42.0,3.0978575565,9.2,13.386454183
1047,30.07072839,24.919678839,42.2,75.69825,36.0,5.4856909795,9.7,19.441916894
1049,27.167320846,25.08273446,30.3,39.22393,44.0,2.8017519,7.7,11.14599686
1051,19.367015034,19.310227625,34.8,25.6451,41.0,2.6061493411,10.6,11.162630946
1053,28.167851759,25.433022539,36.5,32.65484,37.0,3.4819130199,8.8,11.190926276
1055,21.978549324,23.134361746,36.2,79.99922,38.0,3.3424619058,8.2,10.61187916
1057,23.827757986,24.326008398,37.6,103.45037,47.0,3.146374829,9.2,11.646297628
1059,25.550358776,22.693219664,36.6,44.63859,40.0,2.7558519325,9.1,11.270047681
1061,26.304787752,25.201688227,41.3,30.40207,45.0,2.8972385695,8.8,10.238429173
1063,34.468846386,26.785551127,38.0,48.58496,32.0,5.5844606313,9.1,19.008264463
1065,29.098478362,24.025942095,45.3,20.37213,34.0,3.938552051,9.4,15.269196823
1067,23.443707799,23.102655914,35.0,29.054560000000002,41.0,3.5570276498,9.0,9.5910780669
