FIPS,County,State,Population Density (people per square kilometer),Total Population,Population 0-4,Population 5-17,Population 18-24,Population 25-44,Population 45-64,Population 65+,Population Under 18,Population 18-54,Population 55+,Male Population,Female Population
1001,Autauga County,Alabama,35.8534189940189,55869.0,3277.0,9688.0,4465.0,14597.0,14918.0,8924.0,12965.0,26714.0,16190.0,27078.0,28691.0
1003,Baldwin County,Alabama,50.5415035640023,223234.0,12039.0,35515.0,15805.0,51839.0,61206.0,46830.0,47554.0,96435.0,79245.0,108396.0,115169.0
1005,Barbour County,Alabama,11.247981205619,24686.0,1309.0,3773.0,2000.0,6412.0,6331.0,4861.0,5082.0,11494.0,8110.0,13030.0,11627.0
1007,Bibb County,Alabama,13.9731140005546,22394.0,1246.0,3311.0,1768.0,6278.0,6058.0,3733.0,4557.0,11198.0,6639.0,11878.0,10435.0
1009,Blount County,Alabama,34.5158164233531,57826.0,3438.0,9817.0,4460.0,13941.0,15356.0,10814.0,13255.0,26111.0,18460.0,28554.0,29286.0
1011,Bullock County,Alabama,6.41761954967603,10101.0,565.0,1541.0,811.0,2868.0,2605.0,1711.0,2106.0,4874.0,3121.0,5547.0,4597.0
1013,Butler County,Alabama,9.95277078503475,19448.0,1100.0,3174.0,1515.0,4587.0,5023.0,4049.0,4274.0,8363.0,6811.0,9076.0,10425.0
1015,Calhoun County,Alabama,73.3486880019654,113605.0,6568.0,17905.0,10255.0,28614.0,29716.0,20547.0,24473.0,52777.0,36355.0,54818.0,59252.0
1017,Chambers County,Alabama,21.8926380821564,33254.0,1882.0,5031.0,2562.0,7874.0,9190.0,6715.0,6913.0,14781.0,11560.0,15910.0,17334.0
1019,Cherokee County,Alabama,18.0333282957246,26196.0,1213.0,3734.0,1851.0,5506.0,7728.0,6164.0,4947.0,10909.0,10340.0,12977.0,13277.0
1021,Chilton County,Alabama,24.4806693894376,44428.0,2711.0,7880.0,3483.0,11064.0,11690.0,7600.0,10591.0,20292.0,13545.0,21731.0,22582.0
1023,Choctaw County,Alabama,5.52650860439243,12589.0,662.0,1818.0,908.0,2656.0,3576.0,2969.0,2480.0,5172.0,4937.0,5934.0,6643.0
1025,Clarke County,Alabama,7.60313165232808,23622.0,1371.0,3662.0,1974.0,5352.0,6420.0,4843.0,5033.0,10352.0,8237.0,11189.0,12462.0
1027,Clay County,Alabama,8.55233134503563,13235.0,700.0,1969.0,1053.0,2944.0,3784.0,2785.0,2669.0,5810.0,4756.0,6470.0,6795.0
1029,Cleburne County,Alabama,10.2973539136845,14910.0,897.0,2464.0,1053.0,3426.0,4062.0,3008.0,3361.0,6537.0,5012.0,7347.0,7605.0
