,FIPS,Median,MAD
0,1001,1.0,0.0
1,1003,3.0,2.0
2,1005,7.0,0.0
3,1007,2.0,0.0
4,1009,3.0,1.0
5,1011,2.0,0.0
6,1013,7.0,1.0
7,1015,1.0,0.0
8,1017,4.0,0.0
9,1019,2.5,0.5
10,1021,7.0,2.0
11,1023,10.0,0.0
12,1025,8.0,2.0
13,1027,3.5,1.5
14,1029,2.0,0.0
15,1031,5.0,1.0
16,1033,1.0,0.0
17,1035,7.0,1.0
18,1037,5.0,2.0
19,1039,7.0,0.0
20,1041,2.0,0.0
21,1043,5.0,0.0
22,1045,4.0,0.5
23,1047,4.0,0.0
24,1049,8.5,1.5
25,1051,2.0,1.0
26,1053,7.0,0.0
27,1055,1.0,0.0
28,1057,3.0,1.0
29,1059,2.0,0.0
30,1061,2.0,0.0
31,1063,2.0,0.0
32,1065,2.0,0.0
33,1067,2.0,0.0
34,1069,1.0,0.0
35,1071,4.0,2.0
36,1073,1.0,0.0
37,1075,6.0,0.0
38,1077,1.0,0.0
39,1079,2.0,0.0
40,1081,1.0,0.0
41,1083,4.0,1.0
42,1085,2.0,0.0
43,1087,7.0,1.0
44,1089,1.0,0.0
45,1091,10.0,0.0
46,1093,10.0,0.0
47,1095,4.0,0.0
48,1097,1.0,0.0
49,1099,10.0,0.0
50,1101,1.0,0.0
51,1103,1.0,0.0
52,1105,10.0,0.0
53,1107,2.0,0.0
54,1109,4.0,1.5
55,1111,7.0,3.0
56,1113,1.0,0.0
57,1115,2.0,0.0
58,1117,1.0,0.0
59,1119,5.5,0.5
60,1121,4.0,0.5
61,1123,7.0,1.5
62,1125,1.0,0.0
63,1127,2.0,0.0
64,1129,2.0,0.0
65,1131,10.0,0.0
66,1133,7.0,3.0
67,2013,10.0,0.0
68,2016,10.0,0.0
69,2020,1.0,0.0
70,2050,10.0,0.0
71,2060,10.0,0.0
72,2068,10.0,0.0
73,2070,10.0,0.0
74,2090,1.0,0.0
75,2100,10.0,0.0
76,2105,10.0,0.0
77,2110,4.0,0.0
78,2122,10.0,0.0
79,2130,4.0,0.0
80,2150,7.0,0.0
81,2164,10.0,0.0
82,2170,4.0,0.0
83,2180,8.5,1.5
84,2185,10.0,0.0
85,2188,8.5,1.5
86,2195,10.0,0.0
87,2198,10.0,0.0
88,2220,7.0,0.0
89,2230,10.0,0.0
90,2240,10.0,0.0
91,2261,10.0,0.0
92,2270,10.0,0.0
93,2275,10.0,0.0
94,2282,10.0,0.0
95,2290,10.0,0.0
96,4001,8.5,1.5
97,4003,3.5,2.5
98,4005,1.0,0.0
99,4007,4.0,0.0
100,4009,4.0,0.0
101,4011,7.0,0.0
102,4012,8.0,1.0
103,4013,1.0,0.0
104,4015,4.0,0.0
105,4017,7.0,2.0
106,4019,1.0,0.0
107,4021,1.0,0.0
108,4023,4.0,0.0
109,4025,2.0,1.0
110,4027,1.0,0.0
111,5001,7.0,0.0
112,5003,8.0,0.0
113,5005,5.0,0.0
114,5007,1.0,0.0
115,5009,5.0,0.0
116,5011,7.0,0.0
117,5013,8.0,2.0
118,5015,9.0,1.0
119,5017,7.5,0.5
120,5019,4.0,0.0
121,5021,6.5,1.0
122,5023,10.0,0.0
123,5025,2.0,0.0
124,5027,5.0,0.0
125,5029,7.5,0.5
126,5031,1.0,0.0
127,5033,1.0,0.0
128,5035,1.0,0.0
129,5037,7.5,1.5
130,5039,7.0,1.0
131,5041,7.0,0.0
132,5043,7.0,0.0
133,5045,1.0,0.0
134,5047,2.0,0.0
135,5049,10.0,0.0
136,5051,1.0,0.0
137,5053,2.0,0.0
138,5055,4.0,0.0
139,5057,8.0,0.0
140,5059,4.0,1.0
141,5061,8.0,1.0
142,5063,4.5,0.5
143,5065,10.0,0.0
144,5067,8.0,1.0
145,5069,1.0,0.0
146,5071,7.5,0.5
147,5073,6.0,3.0
148,5075,8.5,1.5
149,5077,7.5,1.5
150,5079,2.0,0.0
151,5081,7.0,1.0
152,5083,6.5,1.0
153,5085,1.5,0.5
154,5087,2.0,0.0
155,5089,7.5,2.5
156,5091,1.0,0.0
157,5093,6.0,2.0
158,5095,8.0,0.0
159,5097,10.0,0.0
160,5099,8.0,1.0
161,5101,7.5,2.5
162,5103,4.5,0.5
163,5105,2.0,0.0
164,5107,4.0,0.0
165,5109,10.0,0.0
166,5111,2.0,0.0
167,5113,8.0,1.0
168,5115,5.0,0.0
169,5117,8.0,2.0
170,5119,1.0,0.0
171,5121,8.0,1.0
172,5123,4.0,0.5
173,5125,1.0,0.0
174,5127,7.0,3.0
175,5129,10.0,0.0
176,5131,1.0,0.0
177,5133,8.0,0.5
178,5135,8.5,1.5
179,5137,10.0,0.0
180,5139,4.5,0.5
181,5141,3.0,1.0
182,5143,1.0,0.0
183,5145,4.0,1.0
184,5147,7.5,2.5
185,5149,5.0,0.0
186,6001,1.0,0.0
187,6003,10.0,0.0
188,6005,7.0,3.0
189,6007,4.0,3.0
190,6009,10.0,0.0
191,6011,7.0,0.0
192,6013,1.0,0.0
193,6015,4.0,0.0
194,6017,2.0,1.0
195,6019,1.0,0.0
196,6021,7.0,1.5
197,6023,4.0,0.0
198,6025,1.0,0.0
199,6027,7.5,0.5
200,6029,1.0,0.0
201,6031,1.0,0.0
202,6033,4.0,0.0
203,6035,5.0,1.0
204,6037,1.0,0.0
205,6039,2.0,1.0
206,6041,1.0,0.0
207,6043,10.0,0.0
208,6045,5.0,1.0
209,6047,1.0,0.0
210,6049,10.0,0.0
211,6051,8.0,1.0
212,6053,1.0,0.0
213,6055,1.0,0.0
214,6057,4.0,0.5
215,6059,1.0,0.0
216,6061,1.0,0.0
217,6063,8.0,2.0
218,6065,1.0,0.0
219,6067,1.0,0.0
220,6069,4.0,0.0
221,6071,1.0,0.0
222,6073,1.0,0.0
223,6075,1.0,0.0
224,6077,1.0,0.0
225,6079,1.0,0.0
226,6081,1.0,0.0
227,6083,1.0,0.0
228,6085,1.0,0.0
229,6087,1.0,0.0
230,6089,1.0,0.0
231,6091,10.0,0.0
232,6093,8.0,1.0
233,6095,1.0,0.0
234,6097,1.0,0.0
235,6099,1.0,0.0
236,6101,1.0,0.0
237,6103,4.0,1.0
238,6105,10.0,0.0
239,6107,1.0,0.0
240,6109,4.0,0.0
241,6111,1.0,0.0
242,6113,1.0,0.0
243,6115,1.0,0.0
244,8001,1.0,0.0
245,8003,7.5,0.5
246,8005,1.0,0.0
247,8007,7.5,0.5
248,8009,10.0,0.0
249,8011,7.0,0.0
250,8013,1.0,0.0
251,8014,1.0,0.0
252,8015,7.0,0.0
253,8017,10.0,0.0
254,8019,2.0,0.0
255,8021,9.0,1.0
256,8023,10.0,0.0
257,8025,10.0,0.0
258,8027,10.0,0.0
259,8029,7.0,0.0
260,8031,1.0,0.0
261,8033,10.0,0.0
262,8035,1.0,0.0
263,8037,7.0,0.0
264,8039,2.0,0.0
265,8041,1.0,0.0
266,8043,4.0,0.0
267,8045,5.0,1.0
268,8047,2.0,0.0
269,8049,10.0,0.0
270,8051,9.0,1.0
271,8053,10.0,0.0
272,8055,8.5,1.5
273,8057,10.0,0.0
274,8059,1.0,0.0
275,8061,10.0,0.0
276,8063,10.0,0.0
277,8065,7.0,0.0
278,8067,5.0,0.5
279,8069,1.0,0.0
280,8071,7.0,0.0
281,8073,10.0,0.0
282,8075,4.0,0.0
283,8077,1.0,0.0
284,8079,10.0,0.0
285,8081,4.0,0.0
286,8083,8.0,0.0
287,8085,4.5,0.5
288,8087,4.5,0.5
289,8089,7.0,0.0
290,8091,10.0,0.0
291,8093,10.0,0.0
292,8095,10.0,0.0
293,8097,7.0,0.0
294,8099,8.0,1.0
295,8101,1.0,0.0
296,8103,10.0,0.0
297,8105,10.0,0.0
298,8107,4.5,0.5
299,8109,10.0,0.0
300,8111,10.0,0.0
301,8113,10.0,0.0
302,8115,10.0,0.0
303,8117,4.0,0.0
304,8119,2.0,0.0
305,8121,10.0,0.0
306,8123,1.0,0.0
307,8125,8.5,1.5
308,9001,1.0,0.0
309,9003,1.0,0.0
310,9005,4.0,2.0
311,9007,1.0,0.0
312,9009,1.0,0.0
313,9011,1.0,0.0
314,9013,1.0,0.0
315,9015,2.0,1.0
316,10001,1.0,0.0
317,10003,1.0,0.0
318,10005,4.0,2.0
319,11001,1.0,0.0
320,12001,1.0,0.0
321,12003,2.0,0.0
322,12005,1.0,0.0
323,12007,2.0,0.0
324,12009,1.0,0.0
325,12011,1.0,0.0
326,12013,2.0,0.0
327,12015,1.0,0.0
328,12017,1.0,0.0
329,12019,1.0,0.0
330,12021,1.0,0.0
331,12023,4.0,0.5
332,12027,3.0,1.0
333,12029,2.5,0.5
334,12031,1.0,0.0
335,12033,1.0,0.0
336,12035,1.0,0.0
337,12037,7.0,2.5
338,12039,2.0,0.0
339,12041,2.0,0.0
340,12043,7.0,1.0
341,12045,7.0,2.5
342,12047,7.0,3.0
343,12049,4.0,0.5
344,12051,4.0,2.0
345,12053,1.0,0.0
346,12055,1.0,0.0
347,12057,1.0,0.0
348,12059,5.0,2.0
349,12061,1.0,0.0
350,12063,8.0,1.0
351,12065,2.0,0.0
352,12067,9.0,1.0
353,12069,1.0,0.0
354,12071,1.0,0.0
355,12073,1.0,0.0
356,12075,2.5,0.5
357,12077,2.0,0.0
358,12079,2.0,0.0
359,12081,1.0,0.0
360,12083,1.0,0.0
361,12085,1.0,0.0
362,12086,1.0,0.0
363,12087,4.0,0.0
364,12089,4.0,2.0
365,12091,1.0,0.0
366,12093,4.0,0.0
367,12095,1.0,0.0
368,12097,1.0,0.0
369,12099,1.0,0.0
370,12101,1.0,0.0
371,12103,1.0,0.0
372,12105,1.0,0.0
373,12107,4.0,1.0
374,12109,1.0,0.0
375,12111,1.0,0.0
376,12113,1.0,0.0
377,12115,1.0,0.0
378,12117,1.0,0.0
379,12119,2.0,1.0
380,12121,8.0,2.0
381,12123,7.0,0.0
382,12125,6.0,1.0
383,12127,1.0,0.0
384,12129,2.0,0.0
385,12131,2.0,1.0
