FIPS,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-26,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-02,2022-04-03
1001,4506.0,4566.0,4665.0,4761.0,4791.0,4818.0,4884.0,4919.0,5054.0,5234.0,5269.0,5303.0,5313.0,5388.0,5405.0,5485.0,5552.0,5673.0,5673.0,5759.0,5802.0,5842.0,5930.0,6004.0,6092.0,6139.0,6200.0,6230.0,6307.0,6370.0,6460.0,6518.0,6526.0,6555.0,6594.0,6635.0,6661.0,6770.0,6770.0,7037.0,7046.0,7085.0,7152.0,7154.0,7198.0,7203.0,7233.0,7245.0,7271.0,7288.0,7319.0,7346.0,7366.0,7383.0,7394.0,7421.0,7436.0,7441.0,7477.0,7489.0,7494.0,7497.0,7521.0,7522.0,7537.0,7546.0,7548.0,7591.0,7597.0,7612.0,7612.0,7632.0,7646.0,7649.0,7658.0,7674.0,7683.0,7690.0,7700.0,7713.0,7718.0,7719.0,7728.0,7729.0,7734.0,7748.0,7761.0,7766.0,7767.0,7772.0,7777.0,7789.0,7798.0,7803.0,7814.0,7821.0,7825.0,7826.0,7828.0,7832.0,7835.0,7842.0,7842.0,7842.0,7857.0,7863.0,7875.0,7879.0,7889.0,7890.0
1003,25344.0,25475.0,25883.0,26261.0,26321.0,26532.0,26746.0,27037.0,27413.0,28167.0,28202.0,28367.0,28400.0,28682.0,28735.0,29038.0,29339.0,29599.0,29599.0,29911.0,30102.0,30173.0,30442.0,30743.0,31019.0,31190.0,31368.0,31471.0,31763.0,31991.0,32309.0,32485.0,32552.0,32686.0,32794.0,32931.0,32958.0,33532.0,33534.0,35397.0,35438.0,35632.0,35926.0,35937.0,36161.0,36177.0,36264.0,36335.0,36400.0,36521.0,36619.0,36715.0,36790.0,36860.0,36951.0,37049.0,37120.0,37132.0,37260.0,37320.0,37336.0,37385.0,37499.0,37509.0,37609.0,37655.0,37683.0,37791.0,37818.0,37869.0,37873.0,37922.0,37980.0,38034.0,38093.0,38116.0,38130.0,38224.0,38257.0,38313.0,38354.0,38357.0,38404.0,38413.0,38450.0,38505.0,38547.0,38589.0,38598.0,38621.0,38668.0,38706.0,38740.0,38786.0,38826.0,38866.0,38877.0,38877.0,38906.0,38943.0,38981.0,39016.0,39019.0,39020.0,39077.0,39098.0,39152.0,39196.0,39256.0,39266.0
1005,1864.0,1889.0,1942.0,1969.0,1991.0,2009.0,2020.0,2118.0,2173.0,2219.0,2222.0,2236.0,2242.0,2320.0,2339.0,2363.0,2390.0,2439.0,2439.0,2459.0,2463.0,2471.0,2501.0,2526.0,2568.0,2585.0,2613.0,2619.0,2638.0,2666.0,2709.0,2718.0,2723.0,2738.0,2760.0,2775.0,2787.0,2809.0,2809.0,2980.0,3006.0,3042.0,3111.0,3170.0,3201.0,3206.0,3231.0,3259.0,3263.0,3267.0,3282.0,3289.0,3301.0,3309.0,3312.0,3336.0,3349.0,3349.0,3370.0,3383.0,3384.0,3390.0,3391.0,3391.0,3401.0,3406.0,3408.0,3452.0,3459.0,3466.0,3468.0,3473.0,3481.0,3491.0,3495.0,3496.0,3497.0,3515.0,3521.0,3527.0,3536.0,3536.0,3540.0,3542.0,3545.0,3553.0,3555.0,3565.0,3567.0,3568.0,3569.0,3573.0,3583.0,3588.0,3593.0,3593.0,3593.0,3593.0,3598.0,3608.0,3613.0,3619.0,3619.0,3619.0,3628.0,3631.0,3637.0,3641.0,3642.0,3642.0
1007,1538.0,1545.0,1573.0,1609.0,1625.0,1630.0,1634.0,1678.0,1712.0,1759.0,1774.0,1778.0,1778.0,1794.0,1802.0,1828.0,1857.0,1868.0,1868.0,1886.0,1917.0,1925.0,1942.0,1961.0,1987.0,2011.0,2039.0,2042.0,2066.0,2090.0,2115.0,2149.0,2166.0,2169.0,2174.0,2185.0,2191.0,2215.0,2215.0,2271.0,2271.0,2278.0,2295.0,2301.0,2330.0,2331.0,2340.0,2340.0,2342.0,2347.0,2357.0,2367.0,2372.0,2391.0,2394.0,2409.0,2416.0,2417.0,2433.0,2440.0,2448.0,2449.0,2463.0,2469.0,2515.0,2529.0,2529.0,2537.0,2537.0,2538.0,2538.0,2544.0,2547.0,2551.0,2557.0,2557.0,2559.0,2565.0,2569.0,2576.0,2579.0,2579.0,2580.0,2582.0,2586.0,2590.0,2597.0,2600.0,2611.0,2612.0,2613.0,2614.0,2618.0,2622.0,2626.0,2629.0,2630.0,2630.0,2635.0,2639.0,2641.0,2643.0,2643.0,2643.0,2645.0,2649.0,2654.0,2655.0,2657.0,2659.0
1009,3506.0,3527.0,3607.0,3678.0,3704.0,3729.0,3755.0,3842.0,3923.0,4045.0,4066.0,4080.0,4081.0,4168.0,4192.0,4253.0,4314.0,4417.0,4417.0,4461.0,4499.0,4516.0,4570.0,4625.0,4663.0,4693.0,4747.0,4761.0,4843.0,4888.0,4961.0,4994.0,5029.0,5044.0,5067.0,5105.0,5121.0,5158.0,5158.0,5292.0,5293.0,5319.0,5366.0,5368.0,5401.0,5411.0,5457.0,5465.0,5473.0,5494.0,5530.0,5559.0,5571.0,5576.0,5589.0,5605.0,5617.0,5622.0,5647.0,5652.0,5664.0,5677.0,5697.0,5701.0,5717.0,5731.0,5734.0,5762.0,5763.0,5767.0,5768.0,5775.0,5782.0,5794.0,5805.0,5810.0,5811.0,5830.0,5832.0,5846.0,5851.0,5851.0,5854.0,5854.0,5869.0,5871.0,5881.0,5892.0,5893.0,5897.0,5901.0,5906.0,5914.0,5920.0,5925.0,5933.0,5933.0,5933.0,5945.0,5948.0,5950.0,5954.0,5954.0,5954.0,5963.0,5967.0,5975.0,5985.0,5993.0,5997.0
1011,962.0,963.0,988.0,1004.0,1011.0,1015.0,1031.0,1056.0,1076.0,1096.0,1097.0,1102.0,1102.0,1111.0,1111.0,1130.0,1148.0,1162.0,1162.0,1182.0,1192.0,1193.0,1203.0,1224.0,1236.0,1241.0,1247.0,1256.0,1272.0,1284.0,1303.0,1311.0,1313.0,1315.0,1320.0,1325.0,1327.0,1349.0,1349.0,1369.0,1371.0,1375.0,1384.0,1388.0,1399.0,1400.0,1403.0,1405.0,1414.0,1423.0,1428.0,1440.0,1440.0,1445.0,1446.0,1450.0,1458.0,1460.0,1464.0,1468.0,1468.0,1471.0,1486.0,1486.0,1488.0,1494.0,1494.0,1516.0,1516.0,1530.0,1530.0,1534.0,1543.0,1546.0,1547.0,1547.0,1550.0,1559.0,1565.0,1565.0,1567.0,1567.0,1571.0,1571.0,1571.0,1571.0,1573.0,1577.0,1577.0,1577.0,1577.0,1583.0,1586.0,1591.0,1592.0,1594.0,1594.0,1596.0,1599.0,1601.0,1602.0,1602.0,1602.0,1602.0,1602.0,1605.0,1669.0,1670.0,1671.0,1671.0
1013,1463.0,1471.0,1507.0,1530.0,1534.0,1539.0,1548.0,1576.0,1595.0,1640.0,1656.0,1662.0,1662.0,1685.0,1706.0,1737.0,1756.0,1790.0,1790.0,1808.0,1818.0,1830.0,1841.0,1858.0,1880.0,1894.0,1921.0,1927.0,1970.0,2004.0,2041.0,2062.0,2076.0,2083.0,2099.0,2109.0,2110.0,2127.0,2127.0,2149.0,2149.0,2159.0,2172.0,2175.0,2181.0,2185.0,2197.0,2197.0,2201.0,2202.0,2218.0,2228.0,2234.0,2238.0,2246.0,2255.0,2258.0,2258.0,2268.0,2275.0,2279.0,2284.0,2293.0,2295.0,2299.0,2305.0,2307.0,2330.0,2330.0,2331.0,2332.0,2335.0,2345.0,2349.0,2354.0,2355.0,2356.0,2365.0,2369.0,2371.0,2372.0,2372.0,2372.0,2372.0,2375.0,2381.0,2383.0,2390.0,2392.0,2393.0,2394.0,2397.0,2399.0,2402.0,2404.0,2405.0,2406.0,2406.0,2407.0,2410.0,2412.0,2416.0,2416.0,2416.0,2423.0,2424.0,2429.0,2432.0,2433.0,2434.0
1015,11970.0,12012.0,12223.0,12391.0,12447.0,12520.0,12588.0,12709.0,12912.0,13257.0,13292.0,13362.0,13366.0,13487.0,13532.0,13733.0,13908.0,14082.0,14082.0,14224.0,14343.0,14372.0,14551.0,14697.0,14886.0,14977.0,15109.0,15165.0,15288.0,15421.0,15604.0,15763.0,15830.0,15893.0,15940.0,15999.0,16018.0,16198.0,16198.0,16724.0,16741.0,16808.0,16946.0,16956.0,17106.0,17134.0,17195.0,17221.0,17248.0,17284.0,17368.0,17420.0,17448.0,17472.0,17494.0,17544.0,17588.0,17595.0,17650.0,17683.0,17687.0,17710.0,17778.0,17782.0,17844.0,17865.0,17871.0,17963.0,17973.0,17999.0,18000.0,18046.0,18080.0,18108.0,18141.0,18164.0,18175.0,18209.0,18231.0,18252.0,18281.0,18281.0,18304.0,18316.0,18335.0,18355.0,18384.0,18400.0,18400.0,18412.0,18419.0,18434.0,18455.0,18469.0,18482.0,18497.0,18500.0,18500.0,18514.0,18543.0,18559.0,18578.0,18578.0,18578.0,18616.0,18621.0,18660.0,18676.0,18690.0,18694.0
1017,2413.0,2427.0,2451.0,2478.0,2501.0,2508.0,2524.0,2550.0,2593.0,2674.0,2691.0,2710.0,2710.0,2743.0,2753.0,2805.0,2855.0,2884.0,2884.0,2934.0,2952.0,2964.0,2982.0,3027.0,3057.0,3069.0,3106.0,3118.0,3165.0,3185.0,3217.0,3231.0,3239.0,3249.0,3262.0,3270.0,3260.0,3279.0,3279.0,3337.0,3337.0,3354.0,3373.0,3374.0,3394.0,3397.0,3420.0,3431.0,3439.0,3447.0,3458.0,3465.0,3481.0,3483.0,3484.0,3502.0,3517.0,3521.0,3538.0,3550.0,3550.0,3553.0,3568.0,3568.0,3577.0,3588.0,3591.0,3603.0,3604.0,3611.0,3611.0,3615.0,3621.0,3623.0,3631.0,3631.0,3632.0,3645.0,3652.0,3658.0,3665.0,3665.0,3668.0,3669.0,3673.0,3678.0,3685.0,3687.0,3688.0,3692.0,3693.0,3698.0,3702.0,3707.0,3710.0,3713.0,3714.0,3714.0,3716.0,3724.0,3729.0,3734.0,3734.0,3734.0,3743.0,3745.0,3752.0,3761.0,3767.0,3770.0
1019,1976.0,1983.0,2022.0,2049.0,2053.0,2058.0,2068.0,2104.0,2136.0,2189.0,2198.0,2204.0,2204.0,2213.0,2219.0,2247.0,2300.0,2323.0,2323.0,2347.0,2354.0,2357.0,2378.0,2423.0,2439.0,2461.0,2473.0,2475.0,2512.0,2526.0,2565.0,2590.0,2593.0,2597.0,2605.0,2616.0,2617.0,2641.0,2642.0,2658.0,2658.0,2673.0,2682.0,2685.0,2725.0,2727.0,2747.0,2747.0,2748.0,2753.0,2756.0,2771.0,2777.0,2796.0,2796.0,2808.0,2810.0,2810.0,2819.0,2833.0,2833.0,2836.0,2840.0,2840.0,2849.0,2850.0,2850.0,2881.0,2882.0,2898.0,2899.0,2905.0,2918.0,2928.0,2935.0,2936.0,2937.0,2939.0,2947.0,2949.0,2954.0,2954.0,2955.0,2957.0,2960.0,2965.0,2970.0,2974.0,2978.0,2982.0,2983.0,2983.0,2986.0,2990.0,2994.0,2996.0,2997.0,2997.0,2997.0,2999.0,3003.0,3004.0,3004.0,3004.0,3010.0,3011.0,3019.0,3021.0,3023.0,3023.0
